FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
39125,0,USOhioPaulding,Ohio,Paulding,2021-02-17 07:49:33.066339,2020-03-09 00:00:00.000000,0.00358184,0.01641276,0.04350090,0,3,8,0,1,4,0.00195832,0.00935636,0.02341262,0.40183267,0.51958286,0.75537892
39125,0,USOhioPaulding,Ohio,Paulding,2021-02-17 07:49:33.066339,2020-03-10 00:00:00.000000,0.00401673,0.01834201,0.04615572,0,3,8,0,1,4,0.00204784,0.00935969,0.02193004,0.40183269,0.51956877,0.75537875
39125,0,USOhioPaulding,Ohio,Paulding,2021-02-17 07:49:33.066339,2020-03-11 00:00:00.000000,0.00443977,0.02016012,0.05077883,0,3,9,0,1,4,0.00215068,0.00956716,0.02205223,0.40183272,0.51938839,0.75537836
39125,0,USOhioPaulding,Ohio,Paulding,2021-02-17 07:49:33.066339,2020-03-12 00:00:00.000000,0.00485792,0.02130046,0.05606989,0,3,10,0,1,4,0.00229403,0.00990488,0.02262550,0.40183277,0.51898955,0.75537747
39125,0,USOhioPaulding,Ohio,Paulding,2021-02-17 07:49:33.066339,2020-03-13 00:00:00.000000,0.00527648,0.02263261,0.06232259,0,4,11,0,1,4,0.00247058,0.01041821,0.02418043,0.40183284,0.51883281,0.75537545
39125,0,USOhioPaulding,Ohio,Paulding,2021-02-17 07:49:33.066339,2020-03-14 00:00:00.000000,0.00569964,0.02432352,0.06931288,1,4,12,0,1,5,0.00267647,0.01057175,0.02695913,0.40183289,0.51862411,0.75537085
39125,0,USOhioPaulding,Ohio,Paulding,2021-02-17 07:49:33.066339,2020-03-15 00:00:00.000000,0.00613073,0.02573167,0.07491932,1,4,13,0,2,5,0.00291005,0.01122504,0.02903810,0.40183201,0.51824083,0.75536038
39125,0,USOhioPaulding,Ohio,Paulding,2021-02-17 07:49:33.066339,2020-03-16 00:00:00.000000,0.00657240,0.02725032,0.07947106,1,5,14,0,2,6,0.00317109,0.01176644,0.03226589,0.40181694,0.51771777,0.75533663
39125,0,USOhioPaulding,Ohio,Paulding,2021-02-17 07:49:33.066339,2020-03-17 00:00:00.000000,0.00702698,0.02874777,0.08454402,1,5,15,0,2,6,0.00346039,0.01232912,0.03557603,0.37986088,0.51283669,0.75528313
39125,0,USOhioPaulding,Ohio,Paulding,2021-02-17 07:49:33.066339,2020-03-18 00:00:00.000000,0.00749658,0.03020427,0.08959533,1,5,16,0,2,7,0.00377936,0.01315220,0.03919102,0.35755337,0.49404919,0.75516447
39125,0,USOhioPaulding,Ohio,Paulding,2021-02-17 07:49:33.066339,2020-03-19 00:00:00.000000,0.00798127,0.03216796,0.09614535,1,6,17,0,2,8,0.00406011,0.01410727,0.04365487,0.35059432,0.48140303,0.75490979
39125,0,USOhioPaulding,Ohio,Paulding,2021-02-17 07:49:33.066339,2020-03-20 00:00:00.000000,0.00846757,0.03461624,0.10415455,1,6,19,0,2,8,0.00434716,0.01522171,0.04736967,0.32625088,0.46737014,0.75389463
39125,0,USOhioPaulding,Ohio,Paulding,2021-02-17 07:49:33.066339,2020-03-21 00:00:00.000000,0.00889962,0.03695961,0.11082842,1,6,20,0,3,9,0.00464154,0.01615490,0.04980121,0.27791592,0.42869390,0.68002267
39125,0,USOhioPaulding,Ohio,Paulding,2021-02-17 07:49:33.066339,2020-03-22 00:00:00.000000,0.00940524,0.03916443,0.11616448,1,7,21,0,3,9,0.00492711,0.01742849,0.05234681,0.27392527,0.40549453,0.64431865
39125,0,USOhioPaulding,Ohio,Paulding,2021-02-17 07:49:33.066339,2020-03-23 00:00:00.000000,0.01722342,0.04800661,0.12619249,3,8,23,0,3,10,0.00520204,0.01855840,0.05492237,0.26348927,0.39157110,0.62498517
39125,0,USOhioPaulding,Ohio,Paulding,2021-02-17 07:49:33.066339,2020-03-24 00:00:00.000000,0.02402999,0.05545654,0.13592414,4,10,25,1,3,10,0.00662346,0.02085014,0.05821650,0.25607265,0.38626286,0.60001256
39125,0,USOhioPaulding,Ohio,Paulding,2021-02-17 07:49:33.066339,2020-03-25 00:00:00.000000,0.02873089,0.06641609,0.14577005,5,12,27,1,4,11,0.00860454,0.02384084,0.06201146,0.24723290,0.36025739,0.55882408
39125,0,USOhioPaulding,Ohio,Paulding,2021-02-17 07:49:33.066339,2020-03-26 00:00:00.000000,0.03471063,0.07542275,0.16114210,6,14,30,2,5,12,0.01110081,0.02742238,0.06681382,0.23916694,0.34721751,0.52220790
39125,0,USOhioPaulding,Ohio,Paulding,2021-02-17 07:49:33.066339,2020-03-27 00:00:00.000000,0.04037868,0.08493963,0.17263945,7,15,32,2,5,13,0.01389349,0.03154303,0.07325429,0.23151179,0.33475738,0.52011607
