FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-09 00:00:00.000000,0.00142598,0.01240588,0.04347988,0,2,9,0,1,5,0.00096792,0.00654164,0.02331816,0.33673442,0.47367733,0.64407706
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-10 00:00:00.000000,0.00150334,0.01372833,0.04536143,0,2,9,0,1,5,0.00096524,0.00664481,0.02475577,0.33669279,0.47286370,0.64407694
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-11 00:00:00.000000,0.00158825,0.01507272,0.04732698,0,3,10,0,1,5,0.00098837,0.00711552,0.02661319,0.33660099,0.47107775,0.64407624
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-12 00:00:00.000000,0.00168051,0.01629271,0.05048295,0,3,10,0,1,6,0.00102676,0.00771642,0.02872529,0.33639888,0.46995007,0.64407107
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-13 00:00:00.000000,0.00178017,0.01746763,0.05586481,0,3,12,0,1,6,0.00107549,0.00828404,0.03094468,0.33595568,0.46719644,0.64403041
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-14 00:00:00.000000,0.00188743,0.01875998,0.06121297,0,4,13,0,1,7,0.00113219,0.00902404,0.03319735,0.33499215,0.46718932,0.64370473
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-15 00:00:00.000000,0.00200254,0.02011003,0.06478573,0,4,14,0,2,7,0.00119542,0.00985649,0.03521293,0.33434846,0.46237966,0.64112158
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-16 00:00:00.000000,0.00626110,0.02644613,0.07389984,1,5,16,0,2,8,0.00126474,0.01079185,0.03685417,0.32837338,0.46067393,0.62293305
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-17 00:00:00.000000,0.01053367,0.03412189,0.08200778,2,7,17,0,2,8,0.00265238,0.01270857,0.04013654,0.32025296,0.45146450,0.59647491
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-18 00:00:00.000000,0.01512143,0.04061548,0.09015765,3,8,19,1,3,9,0.00477806,0.01577503,0.04421020,0.29996133,0.44068129,0.59304735
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-19 00:00:00.000000,0.02002164,0.04947886,0.09833790,4,10,21,1,4,10,0.00736407,0.01943087,0.04866859,0.28350763,0.41628546,0.59107924
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-20 00:00:00.000000,0.02433793,0.05959434,0.10654363,5,12,23,2,5,11,0.00944699,0.02412920,0.05331783,0.25844369,0.40375272,0.58035348
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-21 00:00:00.000000,0.02746350,0.06947808,0.11594899,5,15,25,2,6,12,0.01155394,0.02954714,0.05806560,0.22418108,0.37642176,0.56263221
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-22 00:00:00.000000,0.03069048,0.07752020,0.12647716,6,16,27,2,7,13,0.01370859,0.03469830,0.06350703,0.21630446,0.34709935,0.52811934
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-23 00:00:00.000000,0.03796931,0.08624958,0.13740234,8,18,29,3,8,15,0.01538461,0.03972706,0.06984965,0.21586377,0.33542741,0.49100850
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-24 00:00:00.000000,0.04402452,0.09533764,0.15219852,9,20,33,4,9,16,0.01936437,0.04537138,0.07679154,0.21430868,0.31391050,0.45979654
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-25 00:00:00.000000,0.05095966,0.10801091,0.17054488,11,23,37,4,11,19,0.02248576,0.05131667,0.08728976,0.20306747,0.29966066,0.42189192
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-26 00:00:00.000000,0.05616552,0.11672493,0.18873867,12,25,41,5,12,21,0.02573514,0.05700380,0.09849667,0.16247907,0.28258030,0.40541230
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-27 00:00:00.000000,0.06091318,0.12497560,0.20054211,13,27,43,6,13,23,0.02903250,0.06174197,0.10986607,0.14830862,0.26838374,0.40311341
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-28 00:00:00.000000,0.06738227,0.13428877,0.21802229,14,29,47,7,14,25,0.03234970,0.06743852,0.11753861,0.14664235,0.25892068,0.39975519
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-29 00:00:00.000000,0.07394779,0.14152030,0.23600822,16,30,51,7,16,27,0.03569017,0.07394851,0.12694276,0.14606605,0.24833773,0.38262001
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-30 00:00:00.000000,0.08114146,0.14955872,0.24489053,17,32,53,8,17,30,0.03809622,0.07999640,0.13826990,0.14574259,0.23310318,0.34975230
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-03-31 00:00:00.000000,0.08814667,0.15886449,0.24997789,19,34,54,8,18,32,0.03991264,0.08497623,0.14984184,0.14547356,0.22121766,0.33410372
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-01 00:00:00.000000,0.09449361,0.16730287,0.25398404,20,36,55,9,19,34,0.04269869,0.08934249,0.15678714,0.14498976,0.21171082,0.32926273
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-02 00:00:00.000000,0.10009495,0.17373134,0.25746477,21,37,56,10,20,35,0.04636913,0.09528087,0.16099144,0.13407223,0.20423725,0.32726334
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-03 00:00:00.000000,0.11149892,0.17917979,0.27186193,24,39,59,10,21,35,0.04984200,0.09935231,0.16432476,0.13069600,0.19797480,0.32198864
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-04 00:00:00.000000,0.11774381,0.18576641,0.27654588,25,40,60,11,22,36,0.05317304,0.10337266,0.16692777,0.12260213,0.18382846,0.30923904
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-05 00:00:00.000000,0.11658195,0.18799866,0.30131653,25,40,65,12,22,36,0.05646067,0.10518450,0.16884011,0.10823015,0.17395563,0.29075606
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-06 00:00:00.000000,0.12953245,0.19075784,0.30780519,28,41,67,13,23,38,0.06215362,0.10786456,0.17850708,0.10801189,0.16845213,0.28534647
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-07 00:00:00.000000,0.13222610,0.19313841,0.31266570,28,42,68,14,24,40,0.06783487,0.11178351,0.18553430,0.10059719,0.16696091,0.28127011
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-08 00:00:00.000000,0.13452691,0.19691619,0.31559665,29,42,68,15,24,41,0.07296577,0.11459092,0.19010998,0.09592045,0.16126119,0.27924893
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-09 00:00:00.000000,0.13654914,0.20116814,0.31730742,29,43,69,16,25,42,0.07760891,0.11595529,0.19315715,0.10384781,0.15392961,0.27799321
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-10 00:00:00.000000,0.13765465,0.20739475,0.31808471,29,45,69,17,25,42,0.08044491,0.11891547,0.19522762,0.09665695,0.14936498,0.25796190
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-11 00:00:00.000000,0.13963806,0.21235212,0.31810941,30,46,69,17,26,42,0.08218381,0.12063599,0.19663067,0.09437678,0.14758922,0.22341772
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-12 00:00:00.000000,0.14077112,0.21265122,0.31886649,30,46,69,17,26,43,0.08240628,0.12349097,0.19753519,0.09343248,0.13978655,0.21424848
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-13 00:00:00.000000,0.14359049,0.21134325,0.32913636,31,46,71,17,27,43,0.08154807,0.12479581,0.20055098,0.08758659,0.13629949,0.21239629
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-14 00:00:00.000000,0.14780877,0.21507243,0.33876350,32,46,73,18,27,44,0.08427742,0.12548455,0.20489553,0.08306303,0.13295919,0.21134612
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-15 00:00:00.000000,0.14581695,0.21952421,0.34027518,31,47,74,18,28,45,0.08540873,0.12958859,0.20910956,0.07268509,0.12886735,0.21018359
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-16 00:00:00.000000,0.14702365,0.21758926,0.34298030,32,47,74,18,28,46,0.08440186,0.13161415,0.21470288,0.07092362,0.12586747,0.20824877
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-17 00:00:00.000000,0.14648196,0.21780039,0.34922246,31,47,76,18,28,47,0.08602689,0.13233885,0.21920000,0.07076874,0.12410679,0.20510294
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-18 00:00:00.000000,0.14358571,0.22001211,0.35443873,31,47,77,19,29,47,0.08751937,0.13575727,0.21846125,0.06870592,0.12337055,0.19876622
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-19 00:00:00.000000,0.14068895,0.22059921,0.35746953,30,48,77,18,30,46,0.08640229,0.13857339,0.21528029,0.06036553,0.11974032,0.18010456
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-20 00:00:00.000000,0.14351582,0.22304831,0.35631816,31,48,77,18,30,47,0.08483713,0.13838214,0.21667625,0.05975363,0.11719245,0.16625931
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-21 00:00:00.000000,0.14639986,0.22161628,0.35352934,31,48,76,18,29,47,0.08457079,0.13728423,0.21799131,0.05987374,0.11436585,0.16222770
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-22 00:00:00.000000,0.14810868,0.22213798,0.34953022,32,48,76,18,29,47,0.08513446,0.13563333,0.21926254,0.06038827,0.11053930,0.16096942
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-23 00:00:00.000000,0.14817743,0.22286365,0.34460791,32,48,75,18,29,47,0.08622001,0.13379824,0.21988320,0.06093242,0.10892515,0.16033510
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-24 00:00:00.000000,0.14857004,0.22147265,0.34168859,32,48,74,19,29,47,0.08774800,0.13388743,0.21973588,0.06112706,0.10774911,0.16082459
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-25 00:00:00.000000,0.14530554,0.22089991,0.34249448,31,48,74,19,29,47,0.08916207,0.13355484,0.21903861,0.06114403,0.10552864,0.16085643
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-26 00:00:00.000000,0.14229544,0.21788112,0.34282976,30,47,74,19,29,47,0.08729820,0.13373295,0.21791694,0.06108611,0.10415055,0.16070964
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-27 00:00:00.000000,0.13950227,0.21649366,0.34423180,30,47,74,19,29,47,0.08763707,0.13343365,0.21633209,0.06096326,0.10351400,0.15893166
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-28 00:00:00.000000,0.13612353,0.21240467,0.34090752,29,46,74,18,29,46,0.08568184,0.13335423,0.21340529,0.05799981,0.10304110,0.15911041
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-29 00:00:00.000000,0.13271866,0.20935786,0.32927342,28,45,71,18,29,45,0.08370835,0.13419396,0.20920612,0.05746551,0.10297114,0.15915993
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-04-30 00:00:00.000000,0.12930931,0.20891610,0.32336935,28,45,70,17,29,44,0.08172700,0.13417375,0.20403865,0.05827307,0.10228848,0.15918124
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-05-01 00:00:00.000000,0.12418009,0.20784811,0.32539656,27,45,70,17,28,43,0.07973627,0.13179818,0.19839129,0.05596358,0.09887764,0.15989639
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-05-02 00:00:00.000000,0.11961970,0.20782490,0.32703468,26,45,71,16,28,42,0.07773460,0.13263013,0.19697843,0.05283524,0.09805570,0.16132497
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-05-03 00:00:00.000000,0.11626583,0.20497158,0.33490568,25,44,72,16,28,42,0.07572435,0.13179704,0.19695486,0.05093421,0.09721283,0.16513003
39175,0,USOhioWyandot,Ohio,Wyandot,2021-11-24 18:38:27.672302,2020-05-04 00:00:00.000000,0.12149389,0.20419731,0.32457366,26,44,70,16,28,42,0.07371460,0.12896282,0.19653575,0.05163547,0.09619449,0.16845725
