FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
40009,0,USOklahomaBeckham,Oklahoma,Beckham,2021-07-21 08:43:24.805271,2020-03-09 00:00:00.000000,0.00093060,0.01020904,0.04123757,0,2,9,0,1,5,0.00044383,0.00584386,0.02530239,0.33674177,0.47245936,0.67973853
40009,0,USOklahomaBeckham,Oklahoma,Beckham,2021-07-21 08:43:24.805271,2020-03-10 00:00:00.000000,0.00099462,0.01132327,0.04358380,0,2,9,0,1,5,0.00044141,0.00563229,0.02466510,0.33674072,0.47245935,0.67942750
40009,0,USOklahomaBeckham,Oklahoma,Beckham,2021-07-21 08:43:24.805271,2020-03-11 00:00:00.000000,0.00105440,0.01274391,0.04598982,0,2,10,0,1,5,0.00047258,0.00577526,0.02493249,0.33673763,0.47245934,0.67893501
40009,0,USOklahomaBeckham,Oklahoma,Beckham,2021-07-21 08:43:24.805271,2020-03-12 00:00:00.000000,0.00111622,0.01389639,0.04846319,0,3,10,0,1,5,0.00052390,0.00602206,0.02573190,0.33672847,0.47245932,0.67815687
40009,0,USOklahomaBeckham,Oklahoma,Beckham,2021-07-21 08:43:24.805271,2020-03-13 00:00:00.000000,0.00118061,0.01494227,0.05101234,0,3,11,0,1,5,0.00056176,0.00651072,0.02685114,0.33670118,0.47245928,0.67693125
40009,0,USOklahomaBeckham,Oklahoma,Beckham,2021-07-21 08:43:24.805271,2020-03-14 00:00:00.000000,0.00124800,0.01590959,0.05238437,0,3,11,0,1,6,0.00059314,0.00707856,0.02817060,0.33661923,0.47245915,0.67500747
40009,0,USOklahomaBeckham,Oklahoma,Beckham,2021-07-21 08:43:24.805271,2020-03-15 00:00:00.000000,0.00131873,0.01696934,0.05453058,0,3,11,0,1,6,0.00062783,0.00767861,0.02960314,0.33636953,0.47100603,0.67198758
40009,0,USOklahomaBeckham,Oklahoma,Beckham,2021-07-21 08:43:24.805271,2020-03-16 00:00:00.000000,0.00697309,0.02386361,0.06248900,1,5,13,0,1,6,0.00066509,0.00843709,0.02986327,0.33557500,0.46972722,0.66715732
40009,0,USOklahomaBeckham,Oklahoma,Beckham,2021-07-21 08:43:24.805271,2020-03-17 00:00:00.000000,0.01069143,0.02972827,0.06863895,2,6,15,0,2,6,0.00180506,0.01006129,0.03060144,0.33286331,0.46170787,0.64355176
40009,0,USOklahomaBeckham,Oklahoma,Beckham,2021-07-21 08:43:24.805271,2020-03-18 00:00:00.000000,0.01465461,0.03674344,0.07499882,3,8,16,0,2,7,0.00368191,0.01248340,0.03350045,0.32614070,0.45684281,0.64322997
