FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-09 00:00:00.000000,0.00086979,0.00525022,0.02409868,0,2,11,0,1,6,0.00053684,0.00294094,0.01346438,0.35075074,0.51252989,0.65853895
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-10 00:00:00.000000,0.00096823,0.00588090,0.02649692,0,2,12,0,1,6,0.00050604,0.00284536,0.01339354,0.35075074,0.51262569,0.65853588
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-11 00:00:00.000000,0.00106395,0.00649560,0.02898070,0,3,14,0,1,6,0.00049049,0.00291481,0.01387785,0.35075074,0.51278017,0.65852717
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-12 00:00:00.000000,0.00116055,0.00709188,0.03161145,0,3,15,0,1,7,0.00049064,0.00304016,0.01472246,0.35075073,0.51302518,0.65850211
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-13 00:00:00.000000,0.00126054,0.00771886,0.03359409,0,3,16,0,1,7,0.00050601,0.00320132,0.01581958,0.35075067,0.51339333,0.65842918
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-14 00:00:00.000000,0.00136577,0.00819352,0.03521704,0,3,17,0,1,8,0.00053292,0.00337421,0.01712907,0.35075027,0.51383847,0.65821525
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-15 00:00:00.000000,0.00147766,0.00878950,0.03688076,0,4,17,0,1,9,0.00056791,0.00358201,0.01859521,0.35074746,0.51345585,0.65758460
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-16 00:00:00.000000,0.00372620,0.01099293,0.04230760,1,5,20,0,1,9,0.00060736,0.00386104,0.02022362,0.35072792,0.49976268,0.65572570
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-17 00:00:00.000000,0.00574843,0.01368844,0.04843490,2,6,23,0,2,10,0.00117899,0.00445228,0.02228768,0.35059176,0.49233320,0.65352929
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-18 00:00:00.000000,0.00840735,0.01608198,0.05371132,4,7,26,0,2,11,0.00189597,0.00525191,0.02459917,0.34965312,0.47954299,0.64543722
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-19 00:00:00.000000,0.01031668,0.01905228,0.05613492,5,9,27,1,2,13,0.00261847,0.00612581,0.02703368,0.31071221,0.44762348,0.62962188
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-20 00:00:00.000000,0.01229639,0.02264729,0.06036786,5,11,29,1,3,13,0.00345496,0.00744047,0.02872026,0.27987037,0.42958363,0.61229462
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-21 00:00:00.000000,0.01434335,0.02639212,0.06649205,6,12,32,2,4,14,0.00437653,0.00912629,0.03001589,0.25491546,0.39218483,0.59775122
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-22 00:00:00.000000,0.01621343,0.02914368,0.07212119,7,14,35,2,5,15,0.00536199,0.01090047,0.03271981,0.23907505,0.37607807,0.58693508
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-23 00:00:00.000000,0.01898579,0.03329841,0.07773917,9,16,37,3,6,17,0.00639530,0.01285517,0.03678669,0.23338294,0.35276237,0.55421400
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-24 00:00:00.000000,0.02177957,0.03748186,0.08307305,10,18,40,3,7,19,0.00762704,0.01491632,0.03913435,0.23002460,0.33902136,0.50083735
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-25 00:00:00.000000,0.02462894,0.04126828,0.09025221,11,20,43,4,8,20,0.00932233,0.01678839,0.04152963,0.21428199,0.32791585,0.47948818
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-26 00:00:00.000000,0.02646429,0.04548809,0.09711534,12,22,47,5,9,22,0.01065418,0.01895965,0.04560043,0.19996995,0.31464930,0.46835828
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-27 00:00:00.000000,0.02793002,0.05035224,0.10378600,13,24,50,5,10,24,0.01204781,0.02094122,0.04990695,0.18810758,0.29883763,0.43987554
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-28 00:00:00.000000,0.02932705,0.05450541,0.11039940,14,26,53,6,11,25,0.01348220,0.02317487,0.05252486,0.18209098,0.28746711,0.42033110
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-29 00:00:00.000000,0.03072015,0.05793719,0.11703492,14,28,56,7,12,26,0.01474917,0.02552294,0.05464091,0.17630940,0.26843909,0.39992429
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-30 00:00:00.000000,0.03266197,0.06130454,0.12280115,15,29,59,7,13,27,0.01568478,0.02772173,0.05664520,0.16942842,0.26142574,0.38862767
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-03-31 00:00:00.000000,0.03461640,0.06456719,0.12652788,16,31,61,8,14,28,0.01691994,0.03000860,0.05918476,0.16490007,0.25734576,0.38350310
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-04-01 00:00:00.000000,0.03660508,0.06936976,0.13002614,17,33,63,8,15,30,0.01829584,0.03225898,0.06249189,0.14844365,0.25647960,0.37493609
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-04-02 00:00:00.000000,0.03841192,0.07407310,0.13349017,18,36,64,9,16,32,0.01887074,0.03458466,0.06699913,0.13880297,0.24838924,0.35532681
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-04-03 00:00:00.000000,0.03810272,0.07871738,0.14048934,18,38,68,9,17,34,0.01922723,0.03697015,0.07171767,0.12709409,0.23781110,0.34495454
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-04-04 00:00:00.000000,0.03883456,0.08124811,0.14850307,18,39,72,9,18,36,0.01940061,0.03856306,0.07476094,0.10817234,0.22913371,0.33031396
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-04-05 00:00:00.000000,0.04068015,0.08375284,0.15076314,19,40,73,9,19,38,0.02020974,0.04039921,0.07982758,0.10771578,0.21310794,0.31486130
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-04-06 00:00:00.000000,0.04268501,0.08630848,0.15095641,20,41,73,10,20,41,0.02096696,0.04164541,0.08494167,0.10372428,0.20037116,0.30240529
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-04-07 00:00:00.000000,0.04469055,0.08776947,0.15037554,21,42,73,10,21,43,0.02187972,0.04388263,0.08915096,0.09763580,0.19756715,0.29153269
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-04-08 00:00:00.000000,0.04670083,0.08989253,0.15215403,22,43,74,11,22,45,0.02288880,0.04638946,0.09260425,0.09669867,0.19128200,0.27935682
40021,0,USOklahomaCherokee,Oklahoma,Cherokee,2021-02-17 07:38:16.035656,2020-04-09 00:00:00.000000,0.04872405,0.09096909,0.15716153,23,44,76,11,23,46,0.02394518,0.04785590,0.09544509,0.09846849,0.18505596,0.27857383
