FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-09 00:00:00.000000,0.00895510,0.05088914,0.14912383,0,2,8,0,1,5,0.00500023,0.02745947,0.09610527,0.36292868,0.51308809,0.69644460
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-10 00:00:00.000000,0.01032234,0.05361165,0.15813226,0,3,8,0,1,4,0.00476995,0.02529726,0.08819341,0.36292719,0.51308777,0.69644013
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-11 00:00:00.000000,0.01163098,0.05735461,0.16751799,0,3,9,0,1,4,0.00488415,0.02519541,0.08478559,0.36292319,0.51308658,0.69642829
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-12 00:00:00.000000,0.01293294,0.06050186,0.17739776,0,3,10,0,1,4,0.00521147,0.02667192,0.08479331,0.36291254,0.51308219,0.69639219
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-13 00:00:00.000000,0.01426739,0.06518840,0.18780490,0,3,10,0,1,4,0.00567515,0.02881948,0.08696929,0.36288411,0.51265905,0.69627003
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-14 00:00:00.000000,0.01565336,0.07195449,0.19869020,0,4,11,0,1,5,0.00623132,0.03226469,0.09012966,0.36280832,0.51021903,0.69582965
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-15 00:00:00.000000,0.01710677,0.07871244,0.20990104,0,4,11,0,1,5,0.00685585,0.03518649,0.09415917,0.35861390,0.50279011,0.69419292
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-16 00:00:00.000000,0.03539614,0.09857604,0.25347490,2,5,14,0,2,5,0.00753641,0.03765162,0.10051287,0.34342623,0.49852501,0.68812375
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-17 00:00:00.000000,0.04853902,0.11874386,0.28709436,2,6,16,0,2,6,0.01233519,0.04300618,0.10998061,0.32804797,0.49035735,0.66714529
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-18 00:00:00.000000,0.06136594,0.13950551,0.30179415,3,7,17,1,2,6,0.01903443,0.05075210,0.12203657,0.29905214,0.48589561,0.62272997
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-19 00:00:00.000000,0.07504307,0.16845947,0.33366339,4,9,18,1,3,7,0.02583350,0.06238362,0.13554298,0.24940728,0.46189642,0.61865906
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-20 00:00:00.000000,0.08939005,0.19455835,0.39365339,5,11,22,1,4,8,0.03338257,0.07477127,0.14948824,0.24674224,0.43133504,0.60992606
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-21 00:00:00.000000,0.10401447,0.21975323,0.43635656,5,12,24,2,4,9,0.04075781,0.08768148,0.16795014,0.23401408,0.39872115,0.59218883
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-22 00:00:00.000000,0.11880614,0.24697316,0.46443587,6,13,26,2,5,10,0.04773523,0.10191375,0.18966544,0.23375228,0.36995477,0.56076661
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-23 00:00:00.000000,0.13711060,0.27315452,0.51247483,7,15,29,3,6,11,0.05302097,0.11753324,0.21085244,0.21816274,0.35435349,0.53629564
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-24 00:00:00.000000,0.15650524,0.30326889,0.54278960,8,17,30,3,7,12,0.06509860,0.13104663,0.22942092,0.20540564,0.34586978,0.50651700
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-25 00:00:00.000000,0.17568051,0.32593744,0.60347817,9,18,34,4,8,14,0.07578198,0.14712503,0.24794812,0.20519749,0.32851991,0.49942995
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-26 00:00:00.000000,0.19487001,0.34767111,0.65754536,11,19,37,4,8,15,0.08648050,0.15860347,0.27480047,0.20508879,0.31492946,0.47430680
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-27 00:00:00.000000,0.20373106,0.37151961,0.70583385,11,21,39,5,10,16,0.09636212,0.17669951,0.29673274,0.19105960,0.29781040,0.44880246
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-28 00:00:00.000000,0.21219719,0.39706307,0.74993834,12,22,42,6,10,18,0.10876086,0.19325552,0.32795553,0.17030886,0.27185615,0.42704836
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-29 00:00:00.000000,0.22031807,0.41790307,0.78766084,12,23,44,6,11,19,0.11388261,0.20275266,0.35236755,0.15643123,0.26115281,0.40340360
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-30 00:00:00.000000,0.25846820,0.44836033,0.79210734,14,25,44,6,11,21,0.12143112,0.20952599,0.37470409,0.14208820,0.25137211,0.38340353
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-03-31 00:00:00.000000,0.26716380,0.45518525,0.79478844,15,25,45,7,12,21,0.12913431,0.22358656,0.38759441,0.13032984,0.24297706,0.33742425
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-04-01 00:00:00.000000,0.27549790,0.48159602,0.79680533,15,27,45,7,13,22,0.13624662,0.23635779,0.40327435,0.12426670,0.23393220,0.33268701
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-04-02 00:00:00.000000,0.28350115,0.49966556,0.79713760,16,28,45,8,14,23,0.14271522,0.24960312,0.41462611,0.12178162,0.22650800,0.31784965
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-04-03 00:00:00.000000,0.29965772,0.51110395,0.83870291,16,28,47,8,14,24,0.14844073,0.25791874,0.43135119,0.12057908,0.22167936,0.31756077
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-04-04 00:00:00.000000,0.30699703,0.53080591,0.86799803,17,30,49,8,15,25,0.15339869,0.26753829,0.45662345,0.11991737,0.20977050,0.31691369
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-04-05 00:00:00.000000,0.31230936,0.54583219,0.89202140,17,30,50,8,15,26,0.15764199,0.27983663,0.46592389,0.11899976,0.19747478,0.30837072
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-04-06 00:00:00.000000,0.32914029,0.55791129,0.93084790,18,31,52,9,16,27,0.16127450,0.29105770,0.48957733,0.11749378,0.19008036,0.30693905
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-04-07 00:00:00.000000,0.34552386,0.56450391,0.93115603,19,31,52,9,16,28,0.16711541,0.29285329,0.50678666,0.11342685,0.18616874,0.29021616
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-04-08 00:00:00.000000,0.36185400,0.56737815,0.94940421,20,32,53,9,16,29,0.16789185,0.29708858,0.51926974,0.10946818,0.17836446,0.26949289
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-04-09 00:00:00.000000,0.35018322,0.59068962,0.97682230,19,33,55,9,17,31,0.16525920,0.30411867,0.54827958,0.10153534,0.17404625,0.25670868
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-04-10 00:00:00.000000,0.34424216,0.59489112,1.00277220,19,33,56,9,17,31,0.16922547,0.31044822,0.56374442,0.09537053,0.17139534,0.24854221
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-04-11 00:00:00.000000,0.35188775,0.60795479,1.02678057,19,34,58,9,17,32,0.17346174,0.31646550,0.57796245,0.08942028,0.16304363,0.24405389
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-04-12 00:00:00.000000,0.36810091,0.61336262,1.04833721,20,34,59,10,18,33,0.17757530,0.32234514,0.58965562,0.08828176,0.16011732,0.23700639
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-04-13 00:00:00.000000,0.35151005,0.59117566,1.03719288,19,33,58,10,18,33,0.18148849,0.33049153,0.59865198,0.08825061,0.15839534,0.22895330
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-04-14 00:00:00.000000,0.33247909,0.57364632,1.02018878,18,32,57,10,18,33,0.18086211,0.33155878,0.59680678,0.08631412,0.16006597,0.22199337
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-04-15 00:00:00.000000,0.31318154,0.55522515,1.00085781,17,31,56,9,18,33,0.17492184,0.32614476,0.58764568,0.07552682,0.15627491,0.21749447
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-04-16 00:00:00.000000,0.29481136,0.54005517,0.97815149,16,30,55,9,18,32,0.16614877,0.31914051,0.57972380,0.06882586,0.15389530,0.21241228
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-04-17 00:00:00.000000,0.27022378,0.52041248,0.95264114,15,29,53,8,17,32,0.15682553,0.31085002,0.57320986,0.06856390,0.15042371,0.20291704
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-04-18 00:00:00.000000,0.24678947,0.49569047,0.92462820,13,28,52,8,17,31,0.14736561,0.30163846,0.56384772,0.06861167,0.14527474,0.19545987
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-04-19 00:00:00.000000,0.22504475,0.46882798,0.89428324,12,26,50,7,16,31,0.13803889,0.29120948,0.55192983,0.06883912,0.14349162,0.19404689
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-04-20 00:00:00.000000,0.20500673,0.44523913,0.86249797,11,25,48,7,15,30,0.12902402,0.27761507,0.53808336,0.06911455,0.14116086,0.19630181
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-04-21 00:00:00.000000,0.18794309,0.42359874,0.82985232,10,24,47,6,15,29,0.12044606,0.26522473,0.52269989,0.06931769,0.14190143,0.19099938
40033,0,USOklahomaCotton,Oklahoma,Cotton,2021-01-20 19:48:44.041237,2020-04-22 00:00:00.000000,0.17306046,0.40370517,0.79686031,9,22,45,6,14,28,0.11238993,0.25069735,0.50615244,0.06940793,0.14112263,0.18721489
