FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
40067,0,USOklahomaJefferson,Oklahoma,Jefferson,2021-01-05 12:34:32.546462,2020-03-09 00:00:00.000000,0.00253644,0.03713585,0.15111140,0,2,9,0,1,4,0.00145879,0.02150030,0.07829695,0.36418079,0.49494271,0.67444896
40067,0,USOklahomaJefferson,Oklahoma,Jefferson,2021-01-05 12:34:32.546462,2020-03-10 00:00:00.000000,0.00293112,0.04146048,0.15280392,0,2,9,0,1,4,0.00144201,0.02083779,0.07643126,0.36418078,0.49494121,0.67444634
40067,0,USOklahomaJefferson,Oklahoma,Jefferson,2021-01-05 12:34:32.546462,2020-03-11 00:00:00.000000,0.00332055,0.04577472,0.15510086,0,2,9,0,1,4,0.00152275,0.02138358,0.07574195,0.36418071,0.49492863,0.67443990
40067,0,USOklahomaJefferson,Oklahoma,Jefferson,2021-01-05 12:34:32.546462,2020-03-12 00:00:00.000000,0.00371930,0.04884277,0.15793834,0,2,9,0,1,4,0.00166393,0.02241758,0.07582821,0.36418046,0.49482075,0.67442410
40067,0,USOklahomaJefferson,Oklahoma,Jefferson,2021-01-05 12:34:32.546462,2020-03-13 00:00:00.000000,0.00413737,0.05298021,0.16126089,0,3,9,0,1,4,0.00184512,0.02385983,0.07653005,0.36417963,0.49459835,0.67438525
40067,0,USOklahomaJefferson,Oklahoma,Jefferson,2021-01-05 12:34:32.546462,2020-03-14 00:00:00.000000,0.00458223,0.05704109,0.16501541,0,3,9,0,1,4,0.00205552,0.02575026,0.07769764,0.36417697,0.49456917,0.67428969
40067,0,USOklahomaJefferson,Oklahoma,Jefferson,2021-01-05 12:34:32.546462,2020-03-15 00:00:00.000000,0.00505995,0.06117326,0.17602597,0,3,10,0,1,4,0.00228993,0.02816208,0.08072829,0.35900687,0.49413219,0.67405517
40067,0,USOklahomaJefferson,Oklahoma,Jefferson,2021-01-05 12:34:32.546462,2020-03-16 00:00:00.000000,0.00557593,0.06579821,0.19213941,0,3,11,0,1,5,0.00254642,0.03013713,0.08704132,0.31957098,0.48816332,0.67348429
40067,0,USOklahomaJefferson,Oklahoma,Jefferson,2021-01-05 12:34:32.546462,2020-03-17 00:00:00.000000,0.00613514,0.07179379,0.20947072,0,4,12,0,1,5,0.00282497,0.03223037,0.09459621,0.30268706,0.48064960,0.67212580
40067,0,USOklahomaJefferson,Oklahoma,Jefferson,2021-01-05 12:34:32.546462,2020-03-18 00:00:00.000000,0.00674193,0.07665882,0.22237451,0,4,13,0,2,6,0.00312671,0.03489134,0.10125232,0.29605669,0.46476010,0.65473552
40067,0,USOklahomaJefferson,Oklahoma,Jefferson,2021-01-05 12:34:32.546462,2020-03-19 00:00:00.000000,0.00739840,0.08030579,0.23177243,0,4,13,0,2,6,0.00345337,0.03770707,0.10851704,0.28825592,0.43561657,0.62486003
40067,0,USOklahomaJefferson,Oklahoma,Jefferson,2021-01-05 12:34:32.546462,2020-03-20 00:00:00.000000,0.00809831,0.08599780,0.24150113,0,5,14,0,2,6,0.00380657,0.04024172,0.11526958,0.26255957,0.41358739,0.61234528
40067,0,USOklahomaJefferson,Oklahoma,Jefferson,2021-01-05 12:34:32.546462,2020-03-21 00:00:00.000000,0.00881018,0.09226567,0.25101432,0,5,15,0,2,7,0.00418611,0.04284353,0.12093001,0.22688696,0.38493046,0.59304059
40067,0,USOklahomaJefferson,Oklahoma,Jefferson,2021-01-05 12:34:32.546462,2020-03-22 00:00:00.000000,0.00946125,0.09567504,0.25960046,0,5,15,0,2,7,0.00458529,0.04570626,0.12581539,0.21209681,0.36242108,0.55128398
40067,0,USOklahomaJefferson,Oklahoma,Jefferson,2021-01-05 12:34:32.546462,2020-03-23 00:00:00.000000,0.02872100,0.11114089,0.30953894,1,6,18,0,2,7,0.00498440,0.04786210,0.13007622,0.21063222,0.35173973,0.53458002
40067,0,USOklahomaJefferson,Oklahoma,Jefferson,2021-01-05 12:34:32.546462,2020-03-24 00:00:00.000000,0.04757294,0.12919648,0.35216421,2,7,21,0,3,8,0.00924837,0.05323978,0.13668021,0.20928260,0.33291253,0.53231630
40067,0,USOklahomaJefferson,Oklahoma,Jefferson,2021-01-05 12:34:32.546462,2020-03-25 00:00:00.000000,0.05869837,0.15065177,0.38205797,3,9,22,0,3,8,0.01612049,0.06025865,0.14709650,0.20545893,0.32642413,0.53014700
40067,0,USOklahomaJefferson,Oklahoma,Jefferson,2021-01-05 12:34:32.546462,2020-03-26 00:00:00.000000,0.07030322,0.17772569,0.40937326,4,10,24,1,4,9,0.02232637,0.06914376,0.16433151,0.19047264,0.32378870,0.51273732
40067,0,USOklahomaJefferson,Oklahoma,Jefferson,2021-01-05 12:34:32.546462,2020-03-27 00:00:00.000000,0.08350716,0.19522025,0.43572696,5,11,26,1,4,11,0.02650545,0.08020737,0.18339264,0.17728823,0.31075719,0.48896667
40067,0,USOklahomaJefferson,Oklahoma,Jefferson,2021-01-05 12:34:32.546462,2020-03-28 00:00:00.000000,0.09395303,0.21461682,0.46104455,5,12,27,1,5,12,0.03099829,0.08875014,0.20364343,0.17432385,0.29519289,0.44356609
40067,0,USOklahomaJefferson,Oklahoma,Jefferson,2021-01-05 12:34:32.546462,2020-03-29 00:00:00.000000,0.10562172,0.23371748,0.48405403,6,14,29,2,5,13,0.03566122,0.09790187,0.22443385,0.16532466,0.28078539,0.41854649
