FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
40147,0,USOklahomaWashington,Oklahoma,Washington,2021-03-04 17:46:52.246251,2020-03-09 00:00:00.000000,0.00885281,0.02213791,0.04743611,4,11,24,1,4,10,0.00234069,0.00871892,0.01998562,0.50521189,0.75368373,1.04314210
40147,0,USOklahomaWashington,Oklahoma,Washington,2021-03-04 17:46:52.246251,2020-03-10 00:00:00.000000,0.01284445,0.02815224,0.05908840,6,14,30,1,5,12,0.00363566,0.01051698,0.02338521,0.50521255,0.75368823,1.04314204
40147,0,USOklahomaWashington,Oklahoma,Washington,2021-03-04 17:46:52.246251,2020-03-11 00:00:00.000000,0.01672631,0.03547609,0.07150504,8,18,36,2,6,14,0.00539499,0.01218887,0.02729545,0.50521416,0.75369495,1.04314182
40147,0,USOklahomaWashington,Oklahoma,Washington,2021-03-04 17:46:52.246251,2020-03-12 00:00:00.000000,0.02119866,0.04248338,0.08404887,10,21,43,3,7,16,0.00760589,0.01543705,0.03164657,0.50521814,0.75370540,1.04314105
40147,0,USOklahomaWashington,Oklahoma,Washington,2021-03-04 17:46:52.246251,2020-03-13 00:00:00.000000,0.02653377,0.05219185,0.09718396,13,26,50,5,9,18,0.00976282,0.01928427,0.03667519,0.50522790,0.75372262,1.04313830
40147,0,USOklahomaWashington,Oklahoma,Washington,2021-03-04 17:46:52.246251,2020-03-14 00:00:00.000000,0.03157521,0.06211171,0.11399145,16,32,58,6,12,22,0.01222894,0.02348299,0.04374843,0.50525187,0.75375329,1.04312847
40147,0,USOklahomaWashington,Oklahoma,Washington,2021-03-04 17:46:52.246251,2020-03-15 00:00:00.000000,0.03713329,0.07364252,0.13755850,19,37,70,7,14,27,0.01472362,0.02823884,0.05266149,0.50531063,0.75381282,1.04309341
40147,0,USOklahomaWashington,Oklahoma,Washington,2021-03-04 17:46:52.246251,2020-03-16 00:00:00.000000,0.04473065,0.08720921,0.15621313,23,44,80,9,17,32,0.01812178,0.03377575,0.06323399,0.50545440,0.75127128,1.04296831
40147,0,USOklahomaWashington,Oklahoma,Washington,2021-03-04 17:46:52.246251,2020-03-17 00:00:00.000000,0.05697706,0.10222178,0.17734634,29,52,91,11,20,37,0.02156631,0.04071485,0.07357785,0.50616202,0.75027199,1.04252250
40147,0,USOklahomaWashington,Oklahoma,Washington,2021-03-04 17:46:52.246251,2020-03-18 00:00:00.000000,0.06776334,0.11984788,0.20289366,34,61,104,13,24,43,0.02601570,0.04844382,0.08439961,0.52331728,0.74786160,1.04094011
