FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
41005,0,USOregonClackamas,Oregon,Clackamas,2021-03-04 18:05:11.585247,2020-03-09 00:00:00.000000,0.00130295,0.00242215,0.00643081,5,10,26,1,3,11,0.00032319,0.00095570,0.00269472,0.49243353,0.66024038,0.94075650
41005,0,USOregonClackamas,Oregon,Clackamas,2021-03-04 18:05:11.585247,2020-03-10 00:00:00.000000,0.00185610,0.00334531,0.00761471,7,13,31,2,4,12,0.00050910,0.00107262,0.00299315,0.49237397,0.66024038,0.94075616
41005,0,USOregonClackamas,Oregon,Clackamas,2021-03-04 18:05:11.585247,2020-03-11 00:00:00.000000,0.00242927,0.00456100,0.00932510,10,19,38,2,5,14,0.00062451,0.00130950,0.00343776,0.49226968,0.66024038,0.94075542
41005,0,USOregonClackamas,Oregon,Clackamas,2021-03-04 18:05:11.585247,2020-03-12 00:00:00.000000,0.00303555,0.00603739,0.01130525,12,25,47,3,7,16,0.00082969,0.00180288,0.00405214,0.49208754,0.66024037,0.94075385
41005,0,USOregonClackamas,Oregon,Clackamas,2021-03-04 18:05:11.585247,2020-03-13 00:00:00.000000,0.00370976,0.00766865,0.01356039,15,32,56,4,9,19,0.00108206,0.00233870,0.00473039,0.49177078,0.66024037,0.94075036
41005,0,USOregonClackamas,Oregon,Clackamas,2021-03-04 18:05:11.585247,2020-03-14 00:00:00.000000,0.00448200,0.00944455,0.01598033,18,39,66,5,12,23,0.00137834,0.00309806,0.00550360,0.49122419,0.66024036,0.94074224
41005,0,USOregonClackamas,Oregon,Clackamas,2021-03-04 18:05:11.585247,2020-03-15 00:00:00.000000,0.00537029,0.01128353,0.01862625,22,47,77,7,16,28,0.00171845,0.00395477,0.00687398,0.49029353,0.66024034,0.94072146
41005,0,USOregonClackamas,Oregon,Clackamas,2021-03-04 18:05:11.585247,2020-03-16 00:00:00.000000,0.00632877,0.01317718,0.02129213,26,55,89,8,19,34,0.00210492,0.00478097,0.00818283,0.48874404,0.65998601,0.94066056
41005,0,USOregonClackamas,Oregon,Clackamas,2021-03-04 18:05:11.585247,2020-03-17 00:00:00.000000,0.00767393,0.01523755,0.02409591,32,63,100,10,23,39,0.00258780,0.00565925,0.00943959,0.48625523,0.65998561,0.94045208
41005,0,USOregonClackamas,Oregon,Clackamas,2021-03-04 18:05:11.585247,2020-03-18 00:00:00.000000,0.00951830,0.01749004,0.02725945,39,73,113,13,28,44,0.00315602,0.00673420,0.01074345,0.48246721,0.65998109,0.93963815
41005,0,USOregonClackamas,Oregon,Clackamas,2021-03-04 18:05:11.585247,2020-03-19 00:00:00.000000,0.01088244,0.02000453,0.03079863,45,83,128,15,33,50,0.00380346,0.00801277,0.01215154,0.47496003,0.65936469,0.93619340
41005,0,USOregonClackamas,Oregon,Clackamas,2021-03-04 18:05:11.585247,2020-03-20 00:00:00.000000,0.01220983,0.02280210,0.03470464,51,95,145,18,38,57,0.00452220,0.00926093,0.01369331,0.45855066,0.65745341,0.92084025
41005,0,USOregonClackamas,Oregon,Clackamas,2021-03-04 18:05:11.585247,2020-03-21 00:00:00.000000,0.01376797,0.02582234,0.03896029,57,107,162,22,44,64,0.00530251,0.01065491,0.01542055,0.43805523,0.63774528,0.86166332
41005,0,USOregonClackamas,Oregon,Clackamas,2021-03-04 18:05:11.585247,2020-03-22 00:00:00.000000,0.01527643,0.02847936,0.04349375,63,119,181,25,50,72,0.00614068,0.01213963,0.01741888,0.42275412,0.55773481,0.73446888
41005,0,USOregonClackamas,Oregon,Clackamas,2021-03-04 18:05:11.585247,2020-03-23 00:00:00.000000,0.01743052,0.03083868,0.04867087,72,128,203,29,56,81,0.00702700,0.01362931,0.01959005,0.39710975,0.52556776,0.69329767
