FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
41055,0,USOregonSherman,Oregon,Sherman,2021-10-14 08:25:13.581671,2020-03-09 00:00:00.000000,0.02039298,0.10150079,0.35216376,0,1,6,0,0,3,0.01015974,0.05060081,0.21402239,0.33921986,0.49721126,0.70476162
41055,0,USOregonSherman,Oregon,Sherman,2021-10-14 08:25:13.581671,2020-03-10 00:00:00.000000,0.02276388,0.11001023,0.34552558,0,1,6,0,0,3,0.01048788,0.05204829,0.19512362,0.33921410,0.49709251,0.70476111
41055,0,USOregonSherman,Oregon,Sherman,2021-10-14 08:25:13.581671,2020-03-11 00:00:00.000000,0.02536405,0.11898343,0.33808535,0,2,6,0,0,3,0.01115085,0.05443682,0.18785033,0.33919958,0.49691822,0.70475969
41055,0,USOregonSherman,Oregon,Sherman,2021-10-14 08:25:13.581671,2020-03-12 00:00:00.000000,0.02824611,0.13005547,0.34606934,0,2,6,0,1,3,0.01206384,0.05868872,0.19204983,0.33916297,0.49665308,0.70475539
41055,0,USOregonSherman,Oregon,Sherman,2021-10-14 08:25:13.581671,2020-03-13 00:00:00.000000,0.03145472,0.14299186,0.36969195,0,2,6,0,1,3,0.01318815,0.06485091,0.19876873,0.33907071,0.49633582,0.70463338
41055,0,USOregonSherman,Oregon,Sherman,2021-10-14 08:25:13.581671,2020-03-14 00:00:00.000000,0.03503262,0.15438526,0.39512875,0,2,7,0,1,3,0.01451004,0.07154293,0.19475597,0.33883855,0.49588037,0.70260325
41055,0,USOregonSherman,Oregon,Sherman,2021-10-14 08:25:13.581671,2020-03-15 00:00:00.000000,0.03617302,0.16391258,0.42246563,0,2,7,0,1,3,0.01602992,0.07679611,0.20546893,0.33825672,0.49484905,0.68592846
41055,0,USOregonSherman,Oregon,Sherman,2021-10-14 08:25:13.581671,2020-03-16 00:00:00.000000,0.03723845,0.17826896,0.45615740,0,3,8,0,1,3,0.01775674,0.08360462,0.21379841,0.33681304,0.49210975,0.66263983
41055,0,USOregonSherman,Oregon,Sherman,2021-10-14 08:25:13.581671,2020-03-17 00:00:00.000000,0.03828725,0.18870229,0.48440459,0,3,8,0,1,3,0.01970515,0.09038196,0.21781172,0.33331573,0.48771048,0.65869317
41055,0,USOregonSherman,Oregon,Sherman,2021-10-14 08:25:13.581671,2020-03-18 00:00:00.000000,0.03927248,0.19655997,0.51924148,0,3,9,0,1,3,0.02026573,0.09725777,0.22155345,0.32530051,0.47882022,0.65471354
41055,0,USOregonSherman,Oregon,Sherman,2021-10-14 08:25:13.581671,2020-03-19 00:00:00.000000,0.04015282,0.20197995,0.54386191,0,3,9,0,1,4,0.02073560,0.10397607,0.23045746,0.30701445,0.46698727,0.64448779
41055,0,USOregonSherman,Oregon,Sherman,2021-10-14 08:25:13.581671,2020-03-20 00:00:00.000000,0.04092727,0.20960609,0.54617217,0,3,9,0,1,4,0.02120351,0.11068686,0.24669008,0.28265577,0.44657783,0.62037428
41055,0,USOregonSherman,Oregon,Sherman,2021-10-14 08:25:13.581671,2020-03-21 00:00:00.000000,0.04162617,0.21830232,0.54403029,0,3,9,0,2,4,0.02229438,0.11740845,0.26395610,0.26644795,0.42593505,0.57456081
41055,0,USOregonSherman,Oregon,Sherman,2021-10-14 08:25:13.581671,2020-03-22 00:00:00.000000,0.04381031,0.22913890,0.57690866,0,4,10,0,2,5,0.02424494,0.12410048,0.28217412,0.26115772,0.39604233,0.53770971
41055,0,USOregonSherman,Oregon,Sherman,2021-10-14 08:25:13.581671,2020-03-23 00:00:00.000000,0.08162323,0.28011725,0.64663806,1,4,11,0,2,5,0.02606809,0.12840458,0.30151565,0.24545710,0.37819463,0.53371300
41055,0,USOregonSherman,Oregon,Sherman,2021-10-14 08:25:13.581671,2020-03-24 00:00:00.000000,0.09993393,0.33421556,0.75204275,1,5,13,0,2,5,0.03216154,0.14543182,0.32832061,0.22007688,0.36089497,0.51586028
41055,0,USOregonSherman,Oregon,Sherman,2021-10-14 08:25:13.581671,2020-03-25 00:00:00.000000,0.11729213,0.40247138,0.86372102,2,7,15,0,2,6,0.04165583,0.16443163,0.35900361,0.21950418,0.33857957,0.51168368
