FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
42047,0,USPennsylvaniaElk,Pennsylvania,Elk,2021-12-10 23:03:13.041411,2020-03-09 00:00:00.000000,0.00093406,0.00589545,0.01389043,0,1,4,0,1,2,0.00050089,0.00339007,0.00894843,0.34276759,0.48300596,0.65506573
42047,0,USPennsylvaniaElk,Pennsylvania,Elk,2021-12-10 23:03:13.041411,2020-03-10 00:00:00.000000,0.00100345,0.00656043,0.01493436,0,1,4,0,1,2,0.00053999,0.00339360,0.00876800,0.34273149,0.48300591,0.65506464
42047,0,USPennsylvaniaElk,Pennsylvania,Elk,2021-12-10 23:03:13.041411,2020-03-11 00:00:00.000000,0.00105064,0.00728834,0.01608701,0,2,4,0,1,2,0.00059242,0.00359495,0.00902332,0.34265739,0.48300565,0.65506240
42047,0,USPennsylvaniaElk,Pennsylvania,Elk,2021-12-10 23:03:13.041411,2020-03-12 00:00:00.000000,0.00117119,0.00794104,0.01729429,0,2,5,0,1,2,0.00060875,0.00387163,0.00952098,0.34250541,0.48300445,0.65505736
42047,0,USPennsylvaniaElk,Pennsylvania,Elk,2021-12-10 23:03:13.041411,2020-03-13 00:00:00.000000,0.00129871,0.00857468,0.01870428,0,2,5,0,1,3,0.00065200,0.00426401,0.01017218,0.34219390,0.48299884,0.65504479
42047,0,USPennsylvaniaElk,Pennsylvania,Elk,2021-12-10 23:03:13.041411,2020-03-14 00:00:00.000000,0.00140677,0.00926276,0.02028668,0,2,6,0,1,3,0.00072642,0.00473603,0.01093704,0.34155622,0.48237010,0.65501047
42047,0,USPennsylvaniaElk,Pennsylvania,Elk,2021-12-10 23:03:13.041411,2020-03-15 00:00:00.000000,0.00152306,0.01006424,0.02199454,0,3,6,0,1,3,0.00080910,0.00525941,0.01179831,0.34025357,0.47580620,0.65490954
42047,0,USPennsylvaniaElk,Pennsylvania,Elk,2021-12-10 23:03:13.041411,2020-03-16 00:00:00.000000,0.00164825,0.01094217,0.02382322,0,3,7,0,1,3,0.00089971,0.00567765,0.01274852,0.33760539,0.47356348,0.65459769
42047,0,USPennsylvaniaElk,Pennsylvania,Elk,2021-12-10 23:03:13.041411,2020-03-17 00:00:00.000000,0.00178300,0.01193919,0.02575249,0,3,7,0,1,4,0.00098558,0.00616470,0.01378253,0.33250029,0.46445296,0.65360668
42047,0,USPennsylvaniaElk,Pennsylvania,Elk,2021-12-10 23:03:13.041411,2020-03-18 00:00:00.000000,0.00192778,0.01279178,0.02773751,0,3,8,0,2,4,0.00107047,0.00678418,0.01489162,0.31376210,0.45100380,0.65043142
42047,0,USPennsylvaniaElk,Pennsylvania,Elk,2021-12-10 23:03:13.041411,2020-03-19 00:00:00.000000,0.00208240,0.01391183,0.02971133,0,4,8,0,2,4,0.00116114,0.00743811,0.01605783,0.29462407,0.43296793,0.64047753
42047,0,USPennsylvaniaElk,Pennsylvania,Elk,2021-12-10 23:03:13.041411,2020-03-20 00:00:00.000000,0.00224497,0.01520658,0.03161518,0,4,9,0,2,5,0.00125779,0.00811360,0.01725174,0.25492863,0.40428768,0.61200874
42047,0,USPennsylvaniaElk,Pennsylvania,Elk,2021-12-10 23:03:13.041411,2020-03-21 00:00:00.000000,0.00240996,0.01622510,0.03343632,0,4,10,0,2,5,0.00135992,0.00872392,0.01844024,0.22976893,0.37717449,0.60554587
42047,0,USPennsylvaniaElk,Pennsylvania,Elk,2021-12-10 23:03:13.041411,2020-03-22 00:00:00.000000,0.00256755,0.01686938,0.03520557,0,5,10,0,2,5,0.00146554,0.00922358,0.01960199,0.22747547,0.35043104,0.59056599
42047,0,USPennsylvaniaElk,Pennsylvania,Elk,2021-12-10 23:03:13.041411,2020-03-23 00:00:00.000000,0.00456242,0.02154331,0.04066201,1,6,12,0,2,6,0.00157051,0.00987718,0.02073504,0.22734218,0.32666299,0.56508071
