FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
42133,0,USPennsylvaniaYork,Pennsylvania,York,2021-01-29 19:24:59.981868,2020-03-09 00:00:00.000000,0.00154133,0.00380044,0.00623635,6,17,28,1,6,12,0.00039281,0.00139514,0.00276107,0.52335102,0.74392547,1.03769945
42133,0,USPennsylvaniaYork,Pennsylvania,York,2021-01-29 19:24:59.981868,2020-03-10 00:00:00.000000,0.00247673,0.00490217,0.00761362,11,22,34,2,7,14,0.00061473,0.00170474,0.00318521,0.52336924,0.74388125,1.03769940
42133,0,USPennsylvaniaYork,Pennsylvania,York,2021-01-29 19:24:59.981868,2020-03-11 00:00:00.000000,0.00336740,0.00618080,0.00955374,15,27,42,4,10,17,0.00101769,0.00223334,0.00383204,0.52341611,0.74381253,1.03769929
42133,0,USPennsylvaniaYork,Pennsylvania,York,2021-01-29 19:24:59.981868,2020-03-12 00:00:00.000000,0.00432331,0.00761867,0.01247140,19,34,56,6,12,20,0.00151453,0.00282624,0.00464902,0.52353661,0.74370592,1.03769904
42133,0,USPennsylvaniaYork,Pennsylvania,York,2021-01-29 19:24:59.981868,2020-03-13 00:00:00.000000,0.00546380,0.00932814,0.01517363,24,41,68,8,16,25,0.00194441,0.00356858,0.00576960,0.52384569,0.74354092,1.03769843
42133,0,USPennsylvaniaYork,Pennsylvania,York,2021-01-29 19:24:59.981868,2020-03-14 00:00:00.000000,0.00654152,0.01126598,0.01824251,29,50,81,11,20,32,0.00245450,0.00461705,0.00730126,0.52463354,0.74328657,1.03769683
42133,0,USPennsylvaniaYork,Pennsylvania,York,2021-01-29 19:24:59.981868,2020-03-15 00:00:00.000000,0.00769154,0.01342020,0.02181855,34,60,97,13,25,41,0.00305545,0.00564073,0.00931584,0.52661006,0.74118315,1.03769227
42133,0,USPennsylvaniaYork,Pennsylvania,York,2021-01-29 19:24:59.981868,2020-03-16 00:00:00.000000,0.00948707,0.01590659,0.02500335,42,71,112,16,30,51,0.00376128,0.00679025,0.01152313,0.53137566,0.73869226,1.03767822
42133,0,USPennsylvaniaYork,Pennsylvania,York,2021-01-29 19:24:59.981868,2020-03-17 00:00:00.000000,0.01145784,0.01888078,0.02902095,51,84,130,20,36,61,0.00466879,0.00821388,0.01359882,0.54184395,0.73592844,1.03763244
42133,0,USPennsylvaniaYork,Pennsylvania,York,2021-01-29 19:24:59.981868,2020-03-18 00:00:00.000000,0.01350454,0.02212996,0.03395698,60,99,152,25,43,69,0.00567179,0.00963297,0.01542385,0.56079282,0.72769148,1.03747760
42133,0,USPennsylvaniaYork,Pennsylvania,York,2021-01-29 19:24:59.981868,2020-03-19 00:00:00.000000,0.01577544,0.02594664,0.03941075,70,116,176,30,50,78,0.00670341,0.01118146,0.01737223,0.55657902,0.71682747,1.03694245
42133,0,USPennsylvaniaYork,Pennsylvania,York,2021-01-29 19:24:59.981868,2020-03-20 00:00:00.000000,0.01835645,0.03009606,0.04487551,82,135,201,35,58,91,0.00788446,0.01295538,0.02048705,0.54018164,0.70458873,1.02839856
42133,0,USPennsylvaniaYork,Pennsylvania,York,2021-01-29 19:24:59.981868,2020-03-21 00:00:00.000000,0.02129423,0.03500214,0.05243161,95,157,235,44,66,108,0.00983508,0.01489790,0.02410914,0.51387581,0.68479847,0.98491019
42133,0,USPennsylvaniaYork,Pennsylvania,York,2021-01-29 19:24:59.981868,2020-03-22 00:00:00.000000,0.02465107,0.04014332,0.06176763,110,180,277,52,78,127,0.01168851,0.01745391,0.02829404,0.50411286,0.67720827,0.92768191
42133,0,USPennsylvaniaYork,Pennsylvania,York,2021-01-29 19:24:59.981868,2020-03-23 00:00:00.000000,0.02926030,0.04647878,0.07093666,131,208,318,61,91,147,0.01359813,0.02031596,0.03292522,0.48114479,0.66776034,0.92319988
42133,0,USPennsylvaniaYork,Pennsylvania,York,2021-01-29 19:24:59.981868,2020-03-24 00:00:00.000000,0.03399433,0.05253380,0.08073526,152,235,362,71,106,171,0.01599378,0.02365817,0.03824074,0.46208293,0.66047621,0.91575728
42133,0,USPennsylvaniaYork,Pennsylvania,York,2021-01-29 19:24:59.981868,2020-03-25 00:00:00.000000,0.03898310,0.05854890,0.09214096,175,262,413,81,123,200,0.01807201,0.02761080,0.04475999,0.44046041,0.65150461,0.91589603
