FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-09 00:00:00.000000,0.00059884,0.00399458,0.01880792,0,2,10,0,1,5,0.00032853,0.00207048,0.01011405,0.38401109,0.52321118,0.77673172
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-10 00:00:00.000000,0.00064386,0.00444867,0.02045994,0,2,11,0,1,5,0.00031441,0.00199415,0.01035576,0.38401094,0.52321046,0.77673147
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-11 00:00:00.000000,0.00068896,0.00487933,0.02203467,0,2,12,0,1,5,0.00031616,0.00206832,0.01028790,0.38401058,0.52320897,0.77673057
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-12 00:00:00.000000,0.00073437,0.00529945,0.02357971,0,3,13,0,1,5,0.00032827,0.00219969,0.01028835,0.38400964,0.52320573,0.77672718
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-13 00:00:00.000000,0.00078299,0.00571832,0.02512850,0,3,14,0,1,6,0.00034725,0.00226482,0.01053298,0.38400720,0.52319810,0.77671346
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-14 00:00:00.000000,0.00084211,0.00614259,0.02670514,0,3,15,0,1,6,0.00037094,0.00235620,0.01094488,0.38400073,0.52271238,0.77665548
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-15 00:00:00.000000,0.00090328,0.00657685,0.02818759,0,3,16,0,1,6,0.00039802,0.00248971,0.01146581,0.38398299,0.52154667,0.77640340
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-16 00:00:00.000000,0.00282041,0.00878699,0.03051663,1,5,17,0,1,6,0.00042771,0.00264611,0.01206956,0.37956387,0.51428143,0.77529343
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-17 00:00:00.000000,0.00361053,0.01191925,0.03391659,2,6,19,0,1,7,0.00067152,0.00304984,0.01281460,0.37618060,0.49082003,0.77047949
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-18 00:00:00.000000,0.00442567,0.01446173,0.03697146,2,8,21,0,2,7,0.00103458,0.00381426,0.01366850,0.36595235,0.48887155,0.75167224
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-19 00:00:00.000000,0.00538418,0.01704302,0.04295959,3,9,24,0,2,8,0.00149415,0.00475545,0.01488660,0.34000904,0.47996147,0.70126357
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-20 00:00:00.000000,0.00611661,0.01952122,0.04886823,3,11,28,1,3,9,0.00205585,0.00607830,0.01699068,0.32183253,0.45873145,0.63962817
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-21 00:00:00.000000,0.00700971,0.02210051,0.05119073,4,12,29,1,4,10,0.00270264,0.00735573,0.01916037,0.25973045,0.43895717,0.62931928
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-22 00:00:00.000000,0.00795094,0.02483694,0.05357661,4,14,30,1,5,11,0.00315616,0.00877308,0.02040471,0.23975802,0.40983237,0.60666109
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-23 00:00:00.000000,0.00960049,0.02788862,0.05735481,5,15,32,2,5,12,0.00351740,0.01001742,0.02139573,0.23773423,0.39770523,0.59197199
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-24 00:00:00.000000,0.01184983,0.03173904,0.06238391,6,18,35,2,6,13,0.00420900,0.01123450,0.02387601,0.23064072,0.38271459,0.57033721
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-25 00:00:00.000000,0.01421009,0.03622078,0.07149201,8,20,40,2,7,15,0.00499915,0.01268892,0.02627262,0.22256746,0.36717434,0.55389143
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-26 00:00:00.000000,0.01668484,0.04024857,0.08019688,9,23,45,3,8,16,0.00569860,0.01406590,0.02961821,0.21844232,0.34719658,0.55059636
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-27 00:00:00.000000,0.01927541,0.04411215,0.08690157,11,25,49,3,9,19,0.00645665,0.01590648,0.03362571,0.21620109,0.32929471,0.54832381
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-28 00:00:00.000000,0.02154696,0.04778305,0.09083789,12,27,52,4,10,21,0.00698654,0.01768447,0.03707263,0.20910048,0.30653708,0.54591525
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-29 00:00:00.000000,0.02337023,0.05232858,0.09450121,13,29,54,4,10,22,0.00739017,0.01913337,0.03913678,0.17647435,0.29412713,0.54285486
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-30 00:00:00.000000,0.02523150,0.05522992,0.10093370,14,31,57,4,11,23,0.00804008,0.02087745,0.04104268,0.16279770,0.28735052,0.52270493
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-03-31 00:00:00.000000,0.02666415,0.05775007,0.10715914,15,33,61,4,13,24,0.00851626,0.02279444,0.04334710,0.15824594,0.27230133,0.50863224
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-04-01 00:00:00.000000,0.02794607,0.06167633,0.11326427,16,35,64,5,14,26,0.00910265,0.02475353,0.04590709,0.15641570,0.26916926,0.49337350
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-04-02 00:00:00.000000,0.02958547,0.06503835,0.11927475,16,37,68,5,15,27,0.00978537,0.02669124,0.04861469,0.15423607,0.26519889,0.46800048
45021,0,USSouthCarolinaCherokee,South Carolina,Cherokee,2021-02-10 04:31:04.911042,2020-04-03 00:00:00.000000,0.03096689,0.06917878,0.12522285,17,39,71,6,16,29,0.01053810,0.02815504,0.05138350,0.15111893,0.25731960,0.43495202
