FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
45023,0,USSouthCarolinaChester,South Carolina,Chester,2021-09-02 01:59:45.649695,2020-03-09 00:00:00.000000,0.00109291,0.00566789,0.02129752,0,1,6,0,1,4,0.00061451,0.00341557,0.01435618,0.34378190,0.46278236,0.65061195
45023,0,USSouthCarolinaChester,South Carolina,Chester,2021-09-02 01:59:45.649695,2020-03-10 00:00:00.000000,0.00122336,0.00629131,0.02333241,0,2,7,0,1,4,0.00063139,0.00331516,0.01390242,0.34377992,0.46262842,0.65060841
45023,0,USSouthCarolinaChester,South Carolina,Chester,2021-09-02 01:59:45.649695,2020-03-11 00:00:00.000000,0.00133687,0.00697898,0.02538750,0,2,8,0,1,4,0.00065660,0.00343909,0.01411977,0.34377616,0.46237057,0.65059904
45023,0,USSouthCarolinaChester,South Carolina,Chester,2021-09-02 01:59:45.649695,2020-03-12 00:00:00.000000,0.00145325,0.00770337,0.02750849,0,2,8,0,1,4,0.00071132,0.00377549,0.01475149,0.34376905,0.46194023,0.65057406
45023,0,USSouthCarolinaChester,South Carolina,Chester,2021-09-02 01:59:45.649695,2020-03-13 00:00:00.000000,0.00157517,0.00851260,0.02972697,0,2,9,0,1,5,0.00078458,0.00430925,0.01565111,0.34375550,0.46122604,0.65050735
45023,0,USSouthCarolinaChester,South Carolina,Chester,2021-09-02 01:59:45.649695,2020-03-14 00:00:00.000000,0.00170477,0.00956077,0.03296743,0,3,10,0,1,5,0.00087008,0.00464627,0.01674096,0.34372906,0.46005086,0.65032907
45023,0,USSouthCarolinaChester,South Carolina,Chester,2021-09-02 01:59:45.649695,2020-03-15 00:00:00.000000,0.00184401,0.01065728,0.03661396,0,3,11,0,1,5,0.00093854,0.00511000,0.01797644,0.34367281,0.45765019,0.64985312
45023,0,USSouthCarolinaChester,South Carolina,Chester,2021-09-02 01:59:45.649695,2020-03-16 00:00:00.000000,0.00497793,0.01472493,0.04468638,1,4,14,0,1,6,0.00101404,0.00558542,0.01933481,0.33389254,0.45259033,0.64858893
45023,0,USSouthCarolinaChester,South Carolina,Chester,2021-09-02 01:59:45.649695,2020-03-17 00:00:00.000000,0.00819649,0.01953138,0.05275254,2,6,17,0,2,7,0.00177772,0.00630918,0.02217217,0.31795289,0.44929661,0.64527981
45023,0,USSouthCarolinaChester,South Carolina,Chester,2021-09-02 01:59:45.649695,2020-03-18 00:00:00.000000,0.01080336,0.02368012,0.06086590,3,7,19,0,2,8,0.00290825,0.00817290,0.02594824,0.29511180,0.43447759,0.63694521
