FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
45049,0,USSouthCarolinaHampton,South Carolina,Hampton,2021-10-14 07:58:24.518774,2020-03-09 00:00:00.000000,0.00272137,0.01239774,0.03318111,0,2,6,0,1,4,0.00135037,0.00765170,0.02102115,0.37034734,0.46385210,0.62661165
45049,0,USSouthCarolinaHampton,South Carolina,Hampton,2021-10-14 07:58:24.518774,2020-03-10 00:00:00.000000,0.00305320,0.01369221,0.03516561,0,2,6,0,1,3,0.00146872,0.00752080,0.02061243,0.37033783,0.46384415,0.62660917
45049,0,USSouthCarolinaHampton,South Carolina,Hampton,2021-10-14 07:58:24.518774,2020-03-11 00:00:00.000000,0.00339439,0.01521151,0.03736147,0,2,7,0,1,3,0.00164884,0.00774152,0.02068875,0.37032025,0.46382530,0.62660486
45049,0,USSouthCarolinaHampton,South Carolina,Hampton,2021-10-14 07:58:24.518774,2020-03-12 00:00:00.000000,0.00374560,0.01682876,0.03966385,0,3,7,0,1,4,0.00185540,0.00834708,0.02146047,0.37028778,0.46377763,0.62659570
45049,0,USSouthCarolinaHampton,South Carolina,Hampton,2021-10-14 07:58:24.518774,2020-03-13 00:00:00.000000,0.00411109,0.01849433,0.04241722,0,3,8,0,1,4,0.00207459,0.00918348,0.02306134,0.37022789,0.46364618,0.62656338
45049,0,USSouthCarolinaHampton,South Carolina,Hampton,2021-10-14 07:58:24.518774,2020-03-14 00:00:00.000000,0.00449128,0.02024235,0.04594371,0,3,8,0,1,4,0.00230323,0.01009628,0.02501728,0.37011757,0.46324712,0.62636680
45049,0,USSouthCarolinaHampton,South Carolina,Hampton,2021-10-14 07:58:24.518774,2020-03-15 00:00:00.000000,0.00488837,0.02194452,0.04974371,0,4,9,0,2,5,0.00253965,0.01102880,0.02712198,0.36991508,0.46083682,0.62486368
45049,0,USSouthCarolinaHampton,South Carolina,Hampton,2021-10-14 07:58:24.518774,2020-03-16 00:00:00.000000,0.01058808,0.02766860,0.05983914,2,5,11,0,2,5,0.00278436,0.01193794,0.02907007,0.36869781,0.45563325,0.61306583
45049,0,USSouthCarolinaHampton,South Carolina,Hampton,2021-10-14 07:58:24.518774,2020-03-17 00:00:00.000000,0.01602940,0.03447872,0.07273741,3,6,13,0,2,6,0.00492681,0.01474087,0.03276853,0.33314442,0.44370231,0.56042669
45049,0,USSouthCarolinaHampton,South Carolina,Hampton,2021-10-14 07:58:24.518774,2020-03-18 00:00:00.000000,0.01998465,0.04389635,0.08493970,3,8,16,1,3,7,0.00683206,0.01738223,0.03782021,0.29201452,0.43007078,0.55452267
45049,0,USSouthCarolinaHampton,South Carolina,Hampton,2021-10-14 07:58:24.518774,2020-03-19 00:00:00.000000,0.02417860,0.05386274,0.10101122,4,10,19,1,4,8,0.00981962,0.02324462,0.04399502,0.25389931,0.41409243,0.53907493
