FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-09 00:00:00.000000,0.00100485,0.00424076,0.01521488,0,2,10,0,1,5,0.00047857,0.00226075,0.00845662,0.40472956,0.52244774,0.72449995
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-10 00:00:00.000000,0.00111312,0.00481031,0.01676548,0,3,11,0,1,5,0.00050686,0.00222985,0.00832858,0.40472759,0.52244768,0.72449993
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-11 00:00:00.000000,0.00122157,0.00526047,0.01832479,0,3,12,0,1,5,0.00058032,0.00241608,0.00860934,0.40472384,0.52244741,0.72449987
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-12 00:00:00.000000,0.00133374,0.00578269,0.01993672,0,3,13,0,1,6,0.00064977,0.00258765,0.00910115,0.40471675,0.52244605,0.72449968
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-13 00:00:00.000000,0.00145143,0.00635095,0.02163246,0,4,14,0,1,6,0.00069933,0.00283615,0.00967390,0.40470330,0.52243906,0.72449909
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-14 00:00:00.000000,0.00157597,0.00701065,0.02343558,1,4,15,0,2,7,0.00075690,0.00314727,0.01044713,0.40462863,0.52240104,0.72449709
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-15 00:00:00.000000,0.00170831,0.00768975,0.02536519,1,5,17,0,2,7,0.00082094,0.00347979,0.01125733,0.40417562,0.52159843,0.72449021
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-16 00:00:00.000000,0.00352414,0.01073594,0.02770606,2,7,18,0,2,8,0.00089073,0.00385882,0.01214312,0.40311073,0.51788074,0.72446616
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-17 00:00:00.000000,0.00490972,0.01419433,0.03023996,3,9,20,0,3,8,0.00137615,0.00468098,0.01327639,0.40066719,0.51380956,0.72438168
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-18 00:00:00.000000,0.00578784,0.01740588,0.03568553,3,11,24,1,3,9,0.00173887,0.00564635,0.01476380,0.39535772,0.50256253,0.72409007
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-19 00:00:00.000000,0.00678296,0.02010006,0.04229758,4,13,28,1,4,11,0.00216101,0.00692765,0.01682555,0.37161097,0.48863035,0.72315758
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-20 00:00:00.000000,0.00812963,0.02375759,0.04927746,5,16,33,1,5,12,0.00257841,0.00845545,0.01912418,0.36468911,0.47070649,0.70463502
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-21 00:00:00.000000,0.00965417,0.02790956,0.05476100,6,18,36,2,6,14,0.00304431,0.00990673,0.02127688,0.30794647,0.45225430,0.67798206
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-22 00:00:00.000000,0.01100513,0.03132209,0.06241908,7,21,42,2,8,16,0.00354846,0.01187137,0.02445311,0.28599596,0.43084703,0.62249480
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-23 00:00:00.000000,0.01325132,0.03533423,0.06698836,8,23,45,2,9,18,0.00407694,0.01360663,0.02746477,0.27504886,0.40606420,0.67500933
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-24 00:00:00.000000,0.01550578,0.03883085,0.07184847,10,26,48,3,10,20,0.00544101,0.01551161,0.03086606,0.26646237,0.39825727,0.60659882
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-25 00:00:00.000000,0.01779512,0.04253054,0.07664153,12,28,51,4,12,22,0.00731780,0.01795216,0.03373384,0.24095641,0.38846666,0.57198659
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-26 00:00:00.000000,0.02007143,0.04633199,0.08373119,13,31,56,5,13,24,0.00849898,0.02039343,0.03623611,0.22988305,0.37330620,0.53139344
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-27 00:00:00.000000,0.02225476,0.05170580,0.08955635,15,34,60,6,15,26,0.00974546,0.02224406,0.03978889,0.21705902,0.35935401,0.53196678
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-28 00:00:00.000000,0.02441854,0.05576048,0.09655121,16,37,65,7,16,29,0.01101265,0.02436986,0.04341127,0.20635555,0.34744807,0.53189063
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-29 00:00:00.000000,0.02684854,0.05988739,0.10421906,18,40,70,8,18,31,0.01228808,0.02687202,0.04688993,0.19384267,0.32785937,0.53070270
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-30 00:00:00.000000,0.03226585,0.06486310,0.11399227,21,43,76,9,19,33,0.01356712,0.02862849,0.05027167,0.18984280,0.31756365,0.51343029
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-03-31 00:00:00.000000,0.03569058,0.06844984,0.11973669,24,46,80,10,20,36,0.01515247,0.03091265,0.05418585,0.18525476,0.30239354,0.50240711
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-01 00:00:00.000000,0.04001643,0.07326233,0.12542243,27,49,84,11,22,39,0.01735064,0.03295066,0.05874315,0.18144910,0.29477481,0.49931166
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-02 00:00:00.000000,0.04339030,0.07747725,0.13105900,29,52,88,13,23,42,0.01969058,0.03532581,0.06358492,0.18027137,0.28913898,0.47938350
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-03 00:00:00.000000,0.04542590,0.08187150,0.13804433,30,55,93,14,26,46,0.02189111,0.03865686,0.06839706,0.18037610,0.27953913,0.44531087
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-04 00:00:00.000000,0.04749289,0.08536321,0.14299861,32,57,96,15,28,48,0.02310611,0.04173317,0.07130068,0.18166494,0.26452450,0.41460235
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-05 00:00:00.000000,0.04962081,0.08956975,0.14921512,33,60,100,16,30,49,0.02484563,0.04463137,0.07399457,0.17705316,0.25369496,0.41310248
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-06 00:00:00.000000,0.05191525,0.09326574,0.15564713,35,62,105,17,31,52,0.02546514,0.04690744,0.07736185,0.15728213,0.24263355,0.37542650
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-07 00:00:00.000000,0.05476642,0.09741985,0.16200849,36,65,109,17,33,54,0.02665282,0.04898693,0.08122915,0.14829581,0.23901057,0.37176876
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-08 00:00:00.000000,0.05756326,0.10138883,0.17351172,38,68,117,18,34,57,0.02791990,0.05128402,0.08572886,0.14557408,0.23707676,0.36802601
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-09 00:00:00.000000,0.06105547,0.10454532,0.17756143,41,70,119,19,36,62,0.02927304,0.05373660,0.09257130,0.14520234,0.23460602,0.35631457
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-10 00:00:00.000000,0.06480954,0.10965803,0.18167084,43,74,122,20,38,65,0.03095393,0.05643754,0.09689288,0.14663848,0.23017731,0.35519241
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-11 00:00:00.000000,0.06871477,0.11240389,0.19058545,46,75,128,21,39,69,0.03245615,0.05843098,0.10296226,0.14637980,0.22586371,0.34787417
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-12 00:00:00.000000,0.07015472,0.11545802,0.20061082,47,77,135,22,40,72,0.03330688,0.06000442,0.10745998,0.14093517,0.22277352,0.34720811
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-13 00:00:00.000000,0.07139247,0.11771358,0.20967511,48,79,141,22,41,73,0.03379628,0.06155563,0.10889084,0.13879020,0.21571349,0.34708465
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-14 00:00:00.000000,0.07255271,0.12085821,0.21643296,48,81,146,23,42,76,0.03451140,0.06304790,0.11263487,0.13800989,0.21367736,0.34630503
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-15 00:00:00.000000,0.07359778,0.12503744,0.22488578,49,84,151,23,44,79,0.03554521,0.06586781,0.11715220,0.13770813,0.21007156,0.34495515
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-16 00:00:00.000000,0.07448351,0.13063504,0.23148578,50,88,156,25,45,82,0.03728006,0.06784475,0.12223478,0.13316115,0.20685208,0.34268729
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-17 00:00:00.000000,0.07662333,0.13196413,0.23753393,51,89,160,25,47,85,0.03838855,0.07014243,0.12738136,0.13015091,0.20523322,0.33899569
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-18 00:00:00.000000,0.07957822,0.13400348,0.24319791,53,90,164,26,47,89,0.03962889,0.07109810,0.13248201,0.12886816,0.20323653,0.33336073
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-19 00:00:00.000000,0.08253833,0.13632912,0.24853691,55,92,167,27,49,92,0.04116078,0.07326708,0.13722900,0.12807737,0.20211519,0.33326203
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-20 00:00:00.000000,0.08457068,0.13902460,0.25037663,57,93,168,28,50,95,0.04278971,0.07467079,0.14158581,0.12779572,0.20434335,0.33643834
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-21 00:00:00.000000,0.08658200,0.14343231,0.25173521,58,96,169,30,51,98,0.04449740,0.07686906,0.14598667,0.12791770,0.20157024,0.33212336
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-22 00:00:00.000000,0.08728343,0.14854796,0.25818079,58,100,174,31,52,101,0.04629391,0.07845711,0.15042814,0.12773365,0.20088326,0.32243967
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-23 00:00:00.000000,0.08990017,0.15228089,0.26881202,60,102,181,32,53,106,0.04802035,0.07958951,0.15800933,0.12797098,0.19980032,0.31869447
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-24 00:00:00.000000,0.09211662,0.15523017,0.27961745,62,104,188,33,55,108,0.04913638,0.08160849,0.16127242,0.12890710,0.19690214,0.30138207
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-25 00:00:00.000000,0.09371267,0.15920912,0.29046288,63,107,196,33,56,110,0.05020396,0.08371333,0.16398272,0.13151315,0.19747525,0.30201068
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-26 00:00:00.000000,0.09542506,0.16677304,0.30121988,64,112,203,34,58,113,0.05123519,0.08618955,0.16837097,0.13286913,0.20158747,0.30627813
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-27 00:00:00.000000,0.09554287,0.16767990,0.31517410,64,113,212,34,60,116,0.05125816,0.08904211,0.17264960,0.12912841,0.20868716,0.31061435
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-28 00:00:00.000000,0.09554653,0.17074942,0.32878249,64,115,221,34,61,119,0.05116939,0.09165933,0.17683589,0.13150441,0.20795629,0.31426146
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-29 00:00:00.000000,0.09550238,0.17679993,0.33043689,64,119,223,34,63,122,0.05117229,0.09375408,0.18095980,0.13825573,0.20780537,0.31781388
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-04-30 00:00:00.000000,0.09545515,0.17966785,0.32972359,64,121,222,34,63,124,0.05125420,0.09468548,0.18503771,0.13828045,0.20845686,0.31758024
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-05-01 00:00:00.000000,0.09545701,0.18307331,0.32895095,64,123,222,34,64,127,0.05139568,0.09585321,0.18896360,0.13970796,0.20696055,0.31406074
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-05-02 00:00:00.000000,0.09488371,0.18673458,0.32806583,64,126,221,34,66,130,0.05158052,0.09841970,0.19289382,0.13995014,0.20864534,0.31099679
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-05-03 00:00:00.000000,0.09329765,0.18919381,0.32695959,62,127,220,34,66,132,0.05180269,0.09914029,0.19687134,0.13944202,0.21124461,0.30657821
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-05-04 00:00:00.000000,0.09420995,0.19317591,0.33416193,63,130,225,35,67,135,0.05207410,0.09988996,0.20098568,0.14399763,0.21130716,0.31440344
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2021-01-05 11:17:18.064889,2020-05-05 00:00:00.000000,0.09630944,0.19732860,0.34225846,65,133,231,35,68,138,0.05252250,0.10128337,0.20572073,0.14589863,0.21821052,0.31935324
