FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
45073,0,USSouthCarolinaOconee,South Carolina,Oconee,2021-02-22 19:04:59.343750,2020-03-09 00:00:00.000000,0.00077281,0.00463280,0.01664811,0,3,13,0,2,8,0.00042262,0.00253200,0.01054509,0.37062049,0.48775140,0.67917037
45073,0,USSouthCarolinaOconee,South Carolina,Oconee,2021-02-22 19:04:59.343750,2020-03-10 00:00:00.000000,0.00083048,0.00498958,0.01699632,0,3,13,0,2,7,0.00042124,0.00261297,0.00992841,0.37061937,0.48715903,0.67907276
45073,0,USSouthCarolinaOconee,South Carolina,Oconee,2021-02-22 19:04:59.343750,2020-03-11 00:00:00.000000,0.00090042,0.00535228,0.01742120,0,4,13,0,2,7,0.00045059,0.00274901,0.00966994,0.37061656,0.48675498,0.67894628
45073,0,USSouthCarolinaOconee,South Carolina,Oconee,2021-02-22 19:04:59.343750,2020-03-12 00:00:00.000000,0.00097957,0.00571663,0.01789711,0,4,14,0,2,7,0.00048235,0.00296727,0.00962193,0.37060874,0.48675469,0.67878335
45073,0,USSouthCarolinaOconee,South Carolina,Oconee,2021-02-22 19:04:59.343750,2020-03-13 00:00:00.000000,0.00106709,0.00616517,0.01840981,0,4,14,0,2,7,0.00050181,0.00325041,0.00970092,0.37058480,0.48642751,0.67857453
45073,0,USSouthCarolinaOconee,South Carolina,Oconee,2021-02-22 19:04:59.343750,2020-03-14 00:00:00.000000,0.00114414,0.00668277,0.01895136,0,5,15,0,2,7,0.00052715,0.00346373,0.00985935,0.37050538,0.48473234,0.67830723
45073,0,USSouthCarolinaOconee,South Carolina,Oconee,2021-02-22 19:04:59.343750,2020-03-15 00:00:00.000000,0.00121793,0.00706982,0.01951732,0,5,15,0,2,8,0.00055685,0.00370832,0.01006981,0.37022735,0.48353665,0.67796182
45073,0,USSouthCarolinaOconee,South Carolina,Oconee,2021-02-22 19:04:59.343750,2020-03-16 00:00:00.000000,0.00240695,0.00884019,0.02368694,1,7,18,0,3,8,0.00059015,0.00396427,0.01073890,0.35308887,0.48016137,0.67200840
45073,0,USSouthCarolinaOconee,South Carolina,Oconee,2021-02-22 19:04:59.343750,2020-03-17 00:00:00.000000,0.00383533,0.01042249,0.02679473,3,8,21,0,3,9,0.00093657,0.00470907,0.01172218,0.34798193,0.47432553,0.66190295
45073,0,USSouthCarolinaOconee,South Carolina,Oconee,2021-02-22 19:04:59.343750,2020-03-18 00:00:00.000000,0.00506235,0.01250283,0.02874277,4,9,22,1,4,10,0.00148467,0.00560928,0.01307900,0.32041683,0.45365448,0.63602174
45073,0,USSouthCarolinaOconee,South Carolina,Oconee,2021-02-22 19:04:59.343750,2020-03-19 00:00:00.000000,0.00603853,0.01439155,0.03249730,4,11,25,1,5,11,0.00209190,0.00667384,0.01505153,0.29459894,0.44170893,0.63225128
