FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
45083,0,USSouthCarolinaSpartanburg,South Carolina,Spartanburg,2021-08-19 05:38:21.556598,2020-03-09 00:00:00.000000,0.00041665,0.00151810,0.00447222,1,4,14,0,2,7,0.00009175,0.00073385,0.00235118,0.38054157,0.49753695,0.64751533
45083,0,USSouthCarolinaSpartanburg,South Carolina,Spartanburg,2021-08-19 05:38:21.556598,2020-03-10 00:00:00.000000,0.00068993,0.00204164,0.00525484,2,6,16,0,2,8,0.00016797,0.00084290,0.00280177,0.38049672,0.49753695,0.64749436
45083,0,USSouthCarolinaSpartanburg,South Carolina,Spartanburg,2021-08-19 05:38:21.556598,2020-03-11 00:00:00.000000,0.00099689,0.00266907,0.00608911,3,8,19,1,3,10,0.00032183,0.00107743,0.00331235,0.38037745,0.49753695,0.64745254
45083,0,USSouthCarolinaSpartanburg,South Carolina,Spartanburg,2021-08-19 05:38:21.556598,2020-03-12 00:00:00.000000,0.00134861,0.00328959,0.00698301,4,10,22,1,4,11,0.00049234,0.00136870,0.00373371,0.38006230,0.49734947,0.64736864
45083,0,USSouthCarolinaSpartanburg,South Carolina,Spartanburg,2021-08-19 05:38:21.556598,2020-03-13 00:00:00.000000,0.00168116,0.00395176,0.00794302,5,12,25,2,5,13,0.00069708,0.00167011,0.00423911,0.37924399,0.49661473,0.64719941
45083,0,USSouthCarolinaSpartanburg,South Carolina,Spartanburg,2021-08-19 05:38:21.556598,2020-03-14 00:00:00.000000,0.00211729,0.00456973,0.00897510,6,14,28,2,6,15,0.00087083,0.00206399,0.00481157,0.37721295,0.49538749,0.64529329
45083,0,USSouthCarolinaSpartanburg,South Carolina,Spartanburg,2021-08-19 05:38:21.556598,2020-03-15 00:00:00.000000,0.00262876,0.00532807,0.01008510,8,17,32,3,8,17,0.00113365,0.00251933,0.00544381,0.37269184,0.49378327,0.63919000
45083,0,USSouthCarolinaSpartanburg,South Carolina,Spartanburg,2021-08-19 05:38:21.556598,2020-03-16 00:00:00.000000,0.00348694,0.00642965,0.01128179,11,20,36,4,9,19,0.00143858,0.00298207,0.00613373,0.36824888,0.49117256,0.62514140
45083,0,USSouthCarolinaSpartanburg,South Carolina,Spartanburg,2021-08-19 05:38:21.556598,2020-03-17 00:00:00.000000,0.00441269,0.00767621,0.01296457,14,24,41,5,11,21,0.00186865,0.00355250,0.00686677,0.36819246,0.48438337,0.60292581
45083,0,USSouthCarolinaSpartanburg,South Carolina,Spartanburg,2021-08-19 05:38:21.556598,2020-03-18 00:00:00.000000,0.00531089,0.00892999,0.01477015,16,28,47,7,13,25,0.00239470,0.00424081,0.00796985,0.36227262,0.47355103,0.58720771
