FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2021-11-10 14:29:29.576547,2020-03-09 00:00:00.000000,0.00325117,0.02451293,0.12393558,0,0,4,0,0,2,0.00174625,0.01353859,0.07514947,0.36991692,0.50975323,0.70245521
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2021-11-10 14:29:29.576547,2020-03-10 00:00:00.000000,0.00389088,0.02826476,0.12878049,0,0,4,0,0,2,0.00174972,0.01339438,0.07572891,0.36975759,0.50974432,0.70245473
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2021-11-10 14:29:29.576547,2020-03-11 00:00:00.000000,0.00455585,0.03041044,0.13739268,0,1,4,0,0,2,0.00189697,0.01450353,0.07910844,0.36948509,0.50972911,0.70245329
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2021-11-10 14:29:29.576547,2020-03-12 00:00:00.000000,0.00527551,0.03248017,0.15030237,0,1,5,0,0,2,0.00221108,0.01498209,0.08434545,0.36902082,0.50970312,0.70244889
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2021-11-10 14:29:29.576547,2020-03-13 00:00:00.000000,0.00579198,0.03468214,0.16417177,0,1,5,0,0,2,0.00258299,0.01622520,0.08756710,0.36823501,0.50866346,0.70243544
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2021-11-10 14:29:29.576547,2020-03-14 00:00:00.000000,0.00625558,0.03723348,0.18123753,0,1,6,0,0,3,0.00300689,0.01748879,0.09120132,0.36691964,0.50769310,0.70239374
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2021-11-10 14:29:29.576547,2020-03-15 00:00:00.000000,0.00674701,0.04082179,0.19584790,0,1,6,0,0,3,0.00348477,0.01903014,0.09524866,0.36475808,0.50755570,0.70226176
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2021-11-10 14:29:29.576547,2020-03-16 00:00:00.000000,0.00726462,0.04415619,0.21394658,0,1,7,0,0,3,0.00383733,0.02098430,0.09961342,0.36301848,0.50729613,0.70183156
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2021-11-10 14:29:29.576547,2020-03-17 00:00:00.000000,0.00780546,0.04840297,0.23342055,0,1,7,0,0,3,0.00401005,0.02278074,0.11228244,0.36254056,0.50444335,0.70038575
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2021-11-10 14:29:29.576547,2020-03-18 00:00:00.000000,0.00836468,0.05299907,0.25344658,0,1,8,0,0,4,0.00418871,0.02502182,0.12692094,0.35797175,0.50307140,0.68524156
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2021-11-10 14:29:29.576547,2020-03-19 00:00:00.000000,0.00893632,0.05722980,0.27156704,0,1,9,0,0,4,0.00437194,0.02747303,0.14300675,0.33829181,0.49632763,0.66196991
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2021-11-10 14:29:29.576547,2020-03-20 00:00:00.000000,0.00951415,0.06043594,0.28683361,0,2,9,0,1,5,0.00455921,0.02975200,0.15987389,0.31520369,0.47496086,0.65509852
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2021-11-10 14:29:29.576547,2020-03-21 00:00:00.000000,0.01009086,0.06277974,0.30088563,0,2,10,0,1,5,0.00475049,0.03162102,0.17555754,0.30092123,0.42888982,0.62660465
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2021-11-10 14:29:29.576547,2020-03-22 00:00:00.000000,0.01064049,0.06552998,0.31501721,0,2,10,0,1,6,0.00520582,0.03310327,0.18629408,0.29515697,0.40959515,0.63682737
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2021-11-10 14:29:29.576547,2020-03-23 00:00:00.000000,0.01115688,0.06880040,0.32961928,0,2,11,0,1,6,0.00580772,0.03496295,0.19504938,0.28285052,0.38382242,0.65373278
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2021-11-10 14:29:29.576547,2020-03-24 00:00:00.000000,0.01161916,0.07201551,0.34475537,0,2,11,0,1,6,0.00647573,0.03661400,0.20313265,0.27848582,0.37731795,0.65364149
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2021-11-10 14:29:29.576547,2020-03-25 00:00:00.000000,0.01200790,0.07359726,0.36003405,0,2,12,0,1,7,0.00672721,0.03781875,0.21033820,0.27324258,0.36820547,0.62745395
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2021-11-10 14:29:29.576547,2020-03-26 00:00:00.000000,0.01232961,0.07563418,0.37308241,0,2,12,0,1,7,0.00677919,0.03893547,0.21649901,0.25350643,0.35287864,0.55407718
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2021-11-10 14:29:29.576547,2020-03-27 00:00:00.000000,0.01260780,0.08091470,0.38079717,0,2,12,0,1,7,0.00681540,0.03996490,0.22146247,0.22230744,0.33527169,0.53833670
