FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-09 00:00:00.000000,0.00486158,0.03158041,0.14592474,0,1,8,0,1,5,0.00237635,0.01636930,0.08302737,0.32191535,0.47705282,0.70030778
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-10 00:00:00.000000,0.00512593,0.03554607,0.15321365,0,2,9,0,0,5,0.00228821,0.01602468,0.08322964,0.32162505,0.47672798,0.70027083
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-11 00:00:00.000000,0.00540123,0.03899211,0.16052196,0,2,9,0,1,5,0.00232705,0.01625724,0.08135254,0.32116048,0.47618080,0.70020904
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-12 00:00:00.000000,0.00568633,0.04205859,0.16768136,0,2,10,0,1,5,0.00242926,0.01750230,0.08210471,0.32042393,0.47525623,0.70010548
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-13 00:00:00.000000,0.00598105,0.04566419,0.17453003,0,2,10,0,1,5,0.00258241,0.01898214,0.08423737,0.31980650,0.47036523,0.69909536
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-14 00:00:00.000000,0.00628543,0.04899702,0.18075550,0,3,11,0,1,5,0.00276030,0.02058574,0.08709205,0.31278535,0.46436670,0.69650470
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-15 00:00:00.000000,0.00659863,0.05203753,0.18382946,0,3,11,0,1,5,0.00294953,0.02250662,0.09024152,0.31211627,0.45992471,0.69203439
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-16 00:00:00.000000,0.02194565,0.06570360,0.20524259,1,4,12,0,1,5,0.00314346,0.02447865,0.09338202,0.30964987,0.45444724,0.68454538
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-17 00:00:00.000000,0.03560347,0.08133598,0.22279755,2,5,13,0,1,6,0.00742374,0.02868934,0.09926763,0.27893813,0.43835757,0.67257584
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-18 00:00:00.000000,0.04248895,0.10000410,0.25855035,2,6,15,0,2,6,0.01179625,0.03462901,0.10660028,0.25652277,0.43752017,0.65467738
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-19 00:00:00.000000,0.05428123,0.11706324,0.28733247,3,7,17,1,2,7,0.01859343,0.04244105,0.11453182,0.24427483,0.42698600,0.63097623
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-20 00:00:00.000000,0.06734492,0.13702243,0.35842658,4,8,22,1,3,8,0.02346527,0.05010985,0.13350330,0.23061709,0.41775210,0.61673011
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-21 00:00:00.000000,0.07703600,0.15823280,0.38410853,4,9,23,1,3,9,0.02595006,0.05954591,0.15310781,0.22813476,0.40166692,0.57850453
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-22 00:00:00.000000,0.08611733,0.17551698,0.40294374,5,10,24,1,4,10,0.02919480,0.06805160,0.17319079,0.21104671,0.37644960,0.55556629
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-23 00:00:00.000000,0.08764427,0.18171375,0.40284710,5,11,24,2,4,13,0.03458806,0.07616600,0.21418282,0.20422419,0.36250550,0.51523656
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-24 00:00:00.000000,0.08880507,0.18838725,0.40655926,5,11,25,2,5,15,0.03909659,0.08262505,0.24474785,0.20393086,0.32642875,0.49446258
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-25 00:00:00.000000,0.08939405,0.19283879,0.41989048,5,11,25,2,5,15,0.04297577,0.08861830,0.24847062,0.20165144,0.31607134,0.46836829
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-26 00:00:00.000000,0.08954008,0.19792102,0.43179514,5,12,26,2,5,15,0.04640854,0.09303458,0.24965931,0.18674348,0.30588419,0.45981515
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-27 00:00:00.000000,0.08926864,0.20083439,0.44190857,5,12,27,3,6,15,0.04953097,0.09744623,0.24908341,0.16569879,0.28569366,0.43431326
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-28 00:00:00.000000,0.08855654,0.20534044,0.44975401,5,12,27,3,6,15,0.05220174,0.10109489,0.24708427,0.15847255,0.26805538,0.42059888
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-29 00:00:00.000000,0.08741678,0.20818997,0.45537362,5,12,28,3,6,15,0.05205077,0.10353993,0.24377585,0.14740659,0.26345059,0.39156017
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-30 00:00:00.000000,0.11082891,0.22677091,0.48198222,6,13,29,3,6,14,0.05183092,0.10555749,0.23960713,0.13518390,0.26274954,0.37097050
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-03-31 00:00:00.000000,0.12883171,0.24869976,0.50713000,7,15,31,3,6,14,0.05661894,0.11347687,0.24056110,0.12611972,0.25860919,0.36556374
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-04-01 00:00:00.000000,0.14463181,0.26930814,0.53125315,8,16,32,3,7,15,0.06428864,0.12352911,0.24430186,0.12137084,0.25175929,0.35789567
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-04-02 00:00:00.000000,0.16022507,0.29106909,0.55368495,9,17,34,4,8,15,0.07337761,0.13266587,0.24945202,0.11936771,0.24107975,0.34437233
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-04-03 00:00:00.000000,0.17425050,0.30937282,0.54644680,10,19,33,4,8,15,0.08079031,0.14165083,0.25682554,0.11860765,0.22126487,0.33164314
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-04-04 00:00:00.000000,0.18685159,0.32810787,0.55856135,11,20,34,5,9,16,0.08733158,0.15219055,0.27171180,0.11322659,0.20343140,0.30656072
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-04-05 00:00:00.000000,0.19871264,0.34347182,0.59454993,12,21,36,5,9,17,0.09401083,0.16064580,0.28628561,0.11195724,0.19503284,0.29554603
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-04-06 00:00:00.000000,0.20599817,0.36134098,0.60429800,12,22,37,6,10,18,0.10070852,0.16967681,0.30067559,0.11112416,0.19151253,0.29300326
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-04-07 00:00:00.000000,0.21272294,0.37374670,0.60224522,13,23,37,7,10,19,0.11587203,0.17719498,0.31339438,0.11102574,0.19105602,0.27922403
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-04-08 00:00:00.000000,0.21879998,0.39086732,0.61741006,13,24,38,7,11,19,0.12179217,0.18599614,0.32440953,0.11098476,0.18750836,0.27864485
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-04-09 00:00:00.000000,0.22442647,0.40415246,0.65584773,13,24,40,7,12,20,0.12576844,0.19506556,0.33543923,0.11091061,0.18062877,0.27886854
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-04-10 00:00:00.000000,0.22972158,0.43011428,0.72996046,14,26,44,7,13,21,0.12934103,0.21128301,0.34605651,0.11071371,0.17496629,0.27937252
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-04-11 00:00:00.000000,0.23475324,0.44697554,0.78544210,14,27,48,8,13,21,0.13256880,0.22144619,0.35454348,0.10896845,0.16543495,0.25456632
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-04-12 00:00:00.000000,0.23954778,0.45343475,0.83946141,14,27,51,8,14,22,0.13560687,0.23406479,0.36540833,0.09479697,0.15938575,0.23557811
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-04-13 00:00:00.000000,0.23184943,0.44704749,0.82476716,14,27,50,8,14,23,0.13856927,0.24031702,0.38456413,0.08873816,0.15346169,0.22645923
46057,0,USSouthDakotaHamlin,South Dakota,Hamlin,2021-02-22 18:47:07.933615,2020-04-14 00:00:00.000000,0.22387946,0.43621215,0.80834628,13,26,49,8,14,24,0.13733390,0.24148794,0.39339141,0.08348012,0.15010257,0.22067823
