FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
46081,0,USSouthDakotaLawrence,South Dakota,Lawrence,2021-01-29 18:37:36.337152,2020-03-09 00:00:00.000000,0.00252824,0.01062313,0.03258056,0,2,8,0,1,4,0.00123548,0.00597397,0.01902408,0.35198904,0.47866416,0.71502396
46081,0,USSouthDakotaLawrence,South Dakota,Lawrence,2021-01-29 18:37:36.337152,2020-03-10 00:00:00.000000,0.00267919,0.01164968,0.03583203,0,3,9,0,1,4,0.00131835,0.00573672,0.01788685,0.35198316,0.47841451,0.71501652
46081,0,USSouthDakotaLawrence,South Dakota,Lawrence,2021-01-29 18:37:36.337152,2020-03-11 00:00:00.000000,0.00281280,0.01253056,0.03906154,0,3,10,0,1,4,0.00141213,0.00600675,0.01788623,0.35197427,0.47800637,0.71500151
46081,0,USSouthDakotaLawrence,South Dakota,Lawrence,2021-01-29 18:37:36.337152,2020-03-12 00:00:00.000000,0.00295347,0.01333048,0.04235356,0,3,10,0,1,4,0.00151316,0.00649416,0.01874283,0.35196087,0.47733962,0.71497010
46081,0,USSouthDakotaLawrence,South Dakota,Lawrence,2021-01-29 18:37:36.337152,2020-03-13 00:00:00.000000,0.00310075,0.01432817,0.04616952,0,3,11,0,1,5,0.00162373,0.00698620,0.02003022,0.35194075,0.47673235,0.71490160
46081,0,USSouthDakotaLawrence,South Dakota,Lawrence,2021-01-29 18:37:36.337152,2020-03-14 00:00:00.000000,0.00325446,0.01556112,0.05045566,0,4,13,0,1,5,0.00180052,0.00746872,0.02158294,0.35191066,0.47591415,0.71474524
46081,0,USSouthDakotaLawrence,South Dakota,Lawrence,2021-01-29 18:37:36.337152,2020-03-15 00:00:00.000000,0.00341438,0.01713048,0.05512828,0,4,14,0,2,6,0.00189210,0.00812609,0.02334813,0.35150870,0.47452353,0.71437011
46081,0,USSouthDakotaLawrence,South Dakota,Lawrence,2021-01-29 18:37:36.337152,2020-03-16 00:00:00.000000,0.00919937,0.02252279,0.06700175,2,5,17,0,2,6,0.00198728,0.00870734,0.02572738,0.34667592,0.47357004,0.71342131
46081,0,USSouthDakotaLawrence,South Dakota,Lawrence,2021-01-29 18:37:36.337152,2020-03-17 00:00:00.000000,0.01353210,0.02814574,0.07531910,3,7,19,0,2,7,0.00335977,0.01057180,0.03048639,0.33654051,0.47356211,0.67092818
46081,0,USSouthDakotaLawrence,South Dakota,Lawrence,2021-01-29 18:37:36.337152,2020-03-18 00:00:00.000000,0.01691925,0.03462159,0.08697160,4,8,22,1,3,9,0.00491605,0.01303065,0.03683174,0.32599520,0.46162427,0.65740548
46081,0,USSouthDakotaLawrence,South Dakota,Lawrence,2021-01-29 18:37:36.337152,2020-03-19 00:00:00.000000,0.02036771,0.04105631,0.10007564,5,10,25,1,4,11,0.00644542,0.01566657,0.04434306,0.31898578,0.45013697,0.64098442
46081,0,USSouthDakotaLawrence,South Dakota,Lawrence,2021-01-29 18:37:36.337152,2020-03-20 00:00:00.000000,0.02409857,0.04796884,0.11246854,6,12,29,1,4,13,0.00765697,0.01785244,0.05229179,0.30360809,0.42329899,0.61751570
