FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2021-01-29 18:53:42.712199,2020-03-09 00:00:00.000000,0.00023415,0.00149202,0.00456452,0,1,5,0,0,2,0.00011306,0.00076850,0.00242434,0.41749165,0.56287741,0.81449898
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2021-01-29 18:53:42.712199,2020-03-10 00:00:00.000000,0.00026429,0.00169231,0.00517723,0,1,5,0,0,2,0.00011175,0.00077917,0.00236943,0.41749155,0.56257202,0.81449050
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2021-01-29 18:53:42.712199,2020-03-11 00:00:00.000000,0.00028257,0.00192024,0.00578346,0,2,6,0,0,2,0.00011921,0.00083971,0.00241090,0.41749132,0.56181152,0.81447673
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2021-01-29 18:53:42.712199,2020-03-12 00:00:00.000000,0.00030089,0.00210852,0.00641094,0,2,7,0,1,2,0.00012900,0.00092920,0.00255433,0.41749075,0.56055700,0.81445437
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2021-01-29 18:53:42.712199,2020-03-13 00:00:00.000000,0.00031963,0.00232530,0.00707843,0,2,8,0,1,3,0.00013529,0.00101430,0.00268503,0.41748934,0.55853931,0.81441817
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2021-01-29 18:53:42.712199,2020-03-14 00:00:00.000000,0.00033903,0.00256197,0.00780150,0,2,8,0,1,3,0.00014124,0.00109890,0.00306890,0.41748575,0.55623682,0.81435984
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2021-01-29 18:53:42.712199,2020-03-15 00:00:00.000000,0.00035920,0.00282079,0.00845231,0,3,9,0,1,3,0.00014863,0.00118943,0.00327341,0.41747562,0.55456884,0.81426639
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2021-01-29 18:53:42.712199,2020-03-16 00:00:00.000000,0.00098903,0.00377854,0.00997283,1,4,11,0,1,3,0.00015705,0.00130348,0.00346961,0.38694429,0.55150183,0.81411760
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2021-01-29 18:53:42.712199,2020-03-17 00:00:00.000000,0.00169908,0.00458366,0.01156677,1,5,13,0,1,4,0.00022789,0.00153907,0.00394849,0.38673023,0.53659902,0.81387828
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2021-01-29 18:53:42.712199,2020-03-18 00:00:00.000000,0.00227076,0.00567897,0.01330097,2,6,15,0,2,5,0.00041198,0.00192615,0.00476198,0.38673577,0.51783986,0.81344947
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2021-01-29 18:53:42.712199,2020-03-19 00:00:00.000000,0.00280339,0.00693650,0.01513532,3,7,17,0,2,6,0.00065485,0.00241507,0.00575553,0.36175426,0.50643226,0.81227918
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2021-01-29 18:53:42.712199,2020-03-20 00:00:00.000000,0.00357871,0.00813059,0.01697039,4,9,19,1,3,7,0.00094581,0.00292062,0.00689006,0.34851256,0.49681422,0.80014009
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2021-01-29 18:53:42.712199,2020-03-21 00:00:00.000000,0.00444379,0.00938102,0.02008711,5,10,22,1,3,9,0.00123779,0.00343112,0.00806899,0.32197477,0.48460775,0.75485870
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2021-01-29 18:53:42.712199,2020-03-22 00:00:00.000000,0.00509690,0.01056948,0.02347832,5,12,26,1,4,10,0.00163504,0.00402426,0.00907131,0.31382568,0.46418136,0.70545792
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2021-01-29 18:53:42.712199,2020-03-23 00:00:00.000000,0.00647185,0.01174369,0.02583843,7,13,29,2,5,11,0.00203100,0.00468455,0.01008728,0.30299137,0.45134225,0.65596428
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2021-01-29 18:53:42.712199,2020-03-24 00:00:00.000000,0.00703306,0.01366728,0.02963770,8,15,33,2,6,13,0.00243425,0.00533444,0.01165277,0.29081000,0.43941090,0.61899980
