FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
46127,0,USSouthDakotaUnion,South Dakota,Union,2021-01-20 18:41:23.316866,2020-03-09 00:00:00.000000,0.00326368,0.01561315,0.05291876,0,2,8,0,1,4,0.00208789,0.00834300,0.02894854,0.41582751,0.53059259,0.77445477
46127,0,USSouthDakotaUnion,South Dakota,Union,2021-01-20 18:41:23.316866,2020-03-10 00:00:00.000000,0.00360477,0.01788753,0.05776372,0,2,9,0,1,4,0.00202489,0.00819895,0.02803645,0.41582729,0.53054107,0.77445430
46127,0,USSouthDakotaUnion,South Dakota,Union,2021-01-20 18:41:23.316866,2020-03-11 00:00:00.000000,0.00396432,0.01941952,0.06293559,0,3,10,0,1,4,0.00205814,0.00830063,0.02956650,0.41582656,0.53042545,0.77445316
46127,0,USSouthDakotaUnion,South Dakota,Union,2021-01-20 18:41:23.316866,2020-03-12 00:00:00.000000,0.00434283,0.02154495,0.06847783,0,3,10,0,1,5,0.00223769,0.00914063,0.03261560,0.41582419,0.53016627,0.77445027
46127,0,USSouthDakotaUnion,South Dakota,Union,2021-01-20 18:41:23.316866,2020-03-13 00:00:00.000000,0.00474773,0.02376149,0.07440330,0,3,11,0,1,5,0.00241748,0.01029898,0.03633685,0.41581624,0.52958672,0.77444266
46127,0,USSouthDakotaUnion,South Dakota,Union,2021-01-20 18:41:23.316866,2020-03-14 00:00:00.000000,0.00518459,0.02610329,0.08076612,0,4,12,0,1,6,0.00261599,0.01107192,0.04057829,0.41578936,0.52829804,0.77442186
46127,0,USSouthDakotaUnion,South Dakota,Union,2021-01-20 18:41:23.316866,2020-03-15 00:00:00.000000,0.00565788,0.02890314,0.08761730,0,4,13,0,1,6,0.00284243,0.01188281,0.04342546,0.41327444,0.52593872,0.77436285
46127,0,USSouthDakotaUnion,South Dakota,Union,2021-01-20 18:41:23.316866,2020-03-16 00:00:00.000000,0.01266499,0.03751446,0.09915511,2,5,15,0,2,7,0.00309472,0.01294183,0.04569018,0.39936118,0.52006777,0.77419005
46127,0,USSouthDakotaUnion,South Dakota,Union,2021-01-20 18:41:23.316866,2020-03-17 00:00:00.000000,0.01852559,0.04940102,0.11206478,2,7,17,0,2,7,0.00466070,0.01558859,0.04893850,0.38256908,0.51760325,0.77367146
46127,0,USSouthDakotaUnion,South Dakota,Union,2021-01-20 18:41:23.316866,2020-03-18 00:00:00.000000,0.02193075,0.05967935,0.13245562,3,9,21,1,3,8,0.00637113,0.01895205,0.05284263,0.36389710,0.51205162,0.77209739
