FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
47019,0,USTennesseeCarter,Tennessee,Carter,2021-02-10 04:06:36.278566,2020-03-09 00:00:00.000000,0.00153226,0.00650125,0.01845177,0,3,10,0,2,6,0.00088016,0.00359600,0.01102993,0.37427677,0.50273206,0.68061900
47019,0,USTennesseeCarter,Tennessee,Carter,2021-02-10 04:06:36.278566,2020-03-10 00:00:00.000000,0.00163987,0.00711302,0.01923629,0,4,10,0,1,5,0.00087142,0.00350181,0.01011728,0.37309999,0.50272895,0.68027040
47019,0,USTennesseeCarter,Tennessee,Carter,2021-02-10 04:06:36.278566,2020-03-11 00:00:00.000000,0.00175484,0.00748687,0.02003277,0,4,11,0,1,5,0.00089988,0.00352778,0.00970183,0.37121159,0.50272325,0.67943263
47019,0,USTennesseeCarter,Tennessee,Carter,2021-02-10 04:06:36.278566,2020-03-12 00:00:00.000000,0.00187496,0.00801137,0.02084442,1,4,11,0,2,5,0.00094732,0.00366099,0.00953330,0.36822109,0.50271279,0.67743170
47019,0,USTennesseeCarter,Tennessee,Carter,2021-02-10 04:06:36.278566,2020-03-13 00:00:00.000000,0.00199948,0.00855003,0.02167392,1,4,12,0,2,5,0.00100495,0.00378282,0.00946577,0.36358331,0.50269349,0.67272384
47019,0,USTennesseeCarter,Tennessee,Carter,2021-02-10 04:06:36.278566,2020-03-14 00:00:00.000000,0.00212838,0.00910520,0.02252334,1,5,12,0,2,5,0.00106860,0.00397053,0.00982478,0.35661957,0.50265757,0.67203647
47019,0,USTennesseeCarter,Tennessee,Carter,2021-02-10 04:06:36.278566,2020-03-15 00:00:00.000000,0.00226199,0.00977451,0.02339386,1,5,13,0,2,5,0.00110420,0.00420184,0.01024937,0.34665609,0.50178042,0.66466635
47019,0,USTennesseeCarter,Tennessee,Carter,2021-02-10 04:06:36.278566,2020-03-16 00:00:00.000000,0.00410985,0.01197707,0.02569316,2,6,14,0,2,5,0.00114186,0.00446224,0.01060133,0.34108158,0.49573795,0.64338986
47019,0,USTennesseeCarter,Tennessee,Carter,2021-02-10 04:06:36.278566,2020-03-17 00:00:00.000000,0.00636183,0.01425478,0.02803411,3,8,15,0,2,6,0.00144091,0.00500776,0.01125919,0.34060890,0.48846755,0.63468903
47019,0,USTennesseeCarter,Tennessee,Carter,2021-02-10 04:06:36.278566,2020-03-18 00:00:00.000000,0.00846584,0.01693206,0.03057055,4,9,17,1,3,6,0.00192287,0.00584278,0.01214852,0.31847007,0.48042009,0.59426329
47019,0,USTennesseeCarter,Tennessee,Carter,2021-02-10 04:06:36.278566,2020-03-19 00:00:00.000000,0.01041252,0.01899704,0.03375932,5,10,19,1,3,7,0.00265988,0.00671894,0.01334587,0.31439980,0.45516214,0.58640486
47019,0,USTennesseeCarter,Tennessee,Carter,2021-02-10 04:06:36.278566,2020-03-20 00:00:00.000000,0.01178125,0.02116321,0.03949071,6,11,22,1,4,8,0.00330481,0.00781712,0.01456636,0.26994256,0.43340233,0.57808953
47019,0,USTennesseeCarter,Tennessee,Carter,2021-02-10 04:06:36.278566,2020-03-21 00:00:00.000000,0.01329462,0.02385012,0.04590049,7,13,25,2,5,9,0.00402052,0.00898500,0.01613767,0.26233985,0.41290593,0.56831315
47019,0,USTennesseeCarter,Tennessee,Carter,2021-02-10 04:06:36.278566,2020-03-22 00:00:00.000000,0.01577787,0.02616145,0.05228576,8,14,29,2,5,10,0.00479423,0.01018784,0.01857199,0.25974149,0.38426752,0.55444962
47019,0,USTennesseeCarter,Tennessee,Carter,2021-02-10 04:06:36.278566,2020-03-23 00:00:00.000000,0.01829667,0.02915351,0.05672845,10,16,31,3,6,11,0.00563069,0.01149582,0.02074968,0.24472482,0.37458660,0.53158164
47019,0,USTennesseeCarter,Tennessee,Carter,2021-02-10 04:06:36.278566,2020-03-24 00:00:00.000000,0.02033344,0.03161386,0.06615694,11,17,37,3,7,13,0.00668298,0.01269882,0.02357703,0.23502710,0.35317324,0.50379772
47019,0,USTennesseeCarter,Tennessee,Carter,2021-02-10 04:06:36.278566,2020-03-25 00:00:00.000000,0.02177440,0.03509145,0.06974693,12,19,39,4,7,14,0.00770927,0.01395383,0.02633785,0.23197704,0.34399874,0.47553321
47019,0,USTennesseeCarter,Tennessee,Carter,2021-02-10 04:06:36.278566,2020-03-26 00:00:00.000000,0.02326894,0.03826065,0.07857783,13,21,44,4,8,17,0.00837823,0.01525331,0.03024483,0.23111808,0.33434204,0.46410288
