FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
47055,0,USTennesseeGiles,Tennessee,Giles,2021-09-02 01:54:04.672744,2020-03-09 00:00:00.000000,0.00040758,0.00484340,0.02233428,0,1,6,0,0,3,0.00023522,0.00287538,0.01310686,0.32865722,0.44041123,0.59896080
47055,0,USTennesseeGiles,Tennessee,Giles,2021-09-02 01:54:04.672744,2020-03-10 00:00:00.000000,0.00045590,0.00539449,0.02343782,0,1,6,0,0,3,0.00024869,0.00292830,0.01357287,0.32865721,0.44041021,0.59895198
47055,0,USTennesseeGiles,Tennessee,Giles,2021-09-02 01:54:04.672744,2020-03-11 00:00:00.000000,0.00050583,0.00597687,0.02463966,0,1,7,0,0,4,0.00027435,0.00314163,0.01375551,0.32865717,0.44040831,0.59892508
47055,0,USTennesseeGiles,Tennessee,Giles,2021-09-02 01:54:04.672744,2020-03-12 00:00:00.000000,0.00055809,0.00644373,0.02592088,0,1,7,0,0,4,0.00030793,0.00335082,0.01422371,0.32865706,0.44040437,0.59884053
47055,0,USTennesseeGiles,Tennessee,Giles,2021-09-02 01:54:04.672744,2020-03-13 00:00:00.000000,0.00061328,0.00704645,0.02727383,0,2,8,0,1,4,0.00034835,0.00371248,0.01510186,0.32865666,0.44039428,0.59857046
47055,0,USTennesseeGiles,Tennessee,Giles,2021-09-02 01:54:04.672744,2020-03-14 00:00:00.000000,0.00069279,0.00768925,0.02869653,0,2,8,0,1,4,0.00039574,0.00410301,0.01629293,0.32865512,0.44036044,0.59770152
47055,0,USTennesseeGiles,Tennessee,Giles,2021-09-02 01:54:04.672744,2020-03-15 00:00:00.000000,0.00079224,0.00831766,0.03018674,0,2,8,0,1,5,0.00045078,0.00452708,0.01761667,0.32864906,0.43600410,0.59734412
47055,0,USTennesseeGiles,Tennessee,Giles,2021-09-02 01:54:04.672744,2020-03-16 00:00:00.000000,0.00277278,0.01199735,0.03520943,0,3,10,0,1,5,0.00051442,0.00499722,0.01906302,0.32483576,0.42595363,0.59700853
47055,0,USTennesseeGiles,Tennessee,Giles,2021-09-02 01:54:04.672744,2020-03-17 00:00:00.000000,0.00480599,0.01604313,0.04029217,1,4,11,0,1,6,0.00107037,0.00640777,0.02085720,0.31422132,0.41857587,0.59632279
47055,0,USTennesseeGiles,Tennessee,Giles,2021-09-02 01:54:04.672744,2020-03-18 00:00:00.000000,0.00660117,0.02015960,0.04563179,1,5,13,0,2,6,0.00205194,0.00812502,0.02290856,0.28233624,0.40909315,0.59466270
47055,0,USTennesseeGiles,Tennessee,Giles,2021-09-02 01:54:04.672744,2020-03-19 00:00:00.000000,0.00841327,0.02384537,0.05105861,2,7,15,0,3,7,0.00303064,0.01061958,0.02516781,0.22890870,0.38629583,0.57885509
47055,0,USTennesseeGiles,Tennessee,Giles,2021-09-02 01:54:04.672744,2020-03-20 00:00:00.000000,0.01038792,0.02765171,0.05620101,3,8,16,1,3,8,0.00404858,0.01283454,0.02757698,0.20800343,0.35573295,0.56680092
