FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-09 00:00:00.000000,0.00040154,0.00148191,0.00283933,1,5,10,0,1,5,0.00008350,0.00053822,0.00146967,0.38206858,0.59644441,0.76350442
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-10 00:00:00.000000,0.00063001,0.00193241,0.00358885,2,7,13,0,2,5,0.00012235,0.00062251,0.00149460,0.38206858,0.59644250,0.76349689
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-11 00:00:00.000000,0.00086441,0.00251695,0.00439395,3,9,16,0,2,6,0.00017955,0.00074609,0.00167224,0.38206858,0.59635800,0.76348398
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-12 00:00:00.000000,0.00113453,0.00299178,0.00525264,4,11,19,0,3,6,0.00026072,0.00095203,0.00188975,0.38206858,0.59407298,0.76346068
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-13 00:00:00.000000,0.00143117,0.00354725,0.00616519,5,13,22,1,4,7,0.00036091,0.00118052,0.00214824,0.38206860,0.59406557,0.76341530
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-14 00:00:00.000000,0.00176028,0.00414888,0.00753300,6,15,27,1,5,9,0.00045967,0.00141174,0.00251502,0.38206866,0.59230098,0.76331810
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-15 00:00:00.000000,0.00212757,0.00478854,0.00905728,7,17,33,2,6,10,0.00058338,0.00168494,0.00294024,0.38206896,0.59234390,0.76308815
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-16 00:00:00.000000,0.00292271,0.00587414,0.01007295,10,21,37,2,7,13,0.00073082,0.00197105,0.00357336,0.38207022,0.59241152,0.76249619
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-17 00:00:00.000000,0.00360831,0.00699070,0.01223846,13,25,45,3,8,16,0.00094262,0.00229735,0.00442046,0.38207564,0.59251840,0.76088212
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-18 00:00:00.000000,0.00409502,0.00817886,0.01346942,15,30,49,4,9,18,0.00118112,0.00270393,0.00514998,0.38209769,0.59188779,0.75637696
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-19 00:00:00.000000,0.00445699,0.00931328,0.01585974,16,34,58,5,11,21,0.00145862,0.00318740,0.00598137,0.37944952,0.58728853,0.74778602
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-20 00:00:00.000000,0.00486089,0.01062141,0.01847994,17,39,67,6,13,25,0.00177499,0.00374348,0.00690390,0.35051462,0.57168085,0.72680126
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-21 00:00:00.000000,0.00530755,0.01193101,0.02131349,19,43,78,7,16,29,0.00202863,0.00436611,0.00790990,0.35971127,0.55309216,0.69961242
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-22 00:00:00.000000,0.00573294,0.01315698,0.02426861,21,48,89,8,18,33,0.00227845,0.00503775,0.00897911,0.34915626,0.52859981,0.68236135
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-23 00:00:00.000000,0.00646624,0.01464643,0.02656614,23,53,97,9,20,37,0.00254617,0.00569341,0.01031331,0.33600907,0.50317000,0.65992467
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-24 00:00:00.000000,0.00716790,0.01610541,0.02874708,26,59,105,10,23,43,0.00286759,0.00635169,0.01171619,0.32775567,0.49018084,0.63479702
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-25 00:00:00.000000,0.00792182,0.01773323,0.03088200,29,65,113,11,25,48,0.00317294,0.00706529,0.01308173,0.32734815,0.46056098,0.60084702
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-26 00:00:00.000000,0.00891491,0.01931945,0.03306378,32,71,121,12,28,53,0.00350529,0.00781810,0.01441258,0.31879379,0.43443178,0.59348084
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-27 00:00:00.000000,0.01009834,0.02098054,0.03533917,37,77,129,14,31,57,0.00386341,0.00852056,0.01572602,0.31012508,0.41274239,0.55556804
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-28 00:00:00.000000,0.01081273,0.02258553,0.03772875,39,83,138,15,34,62,0.00429532,0.00935867,0.01704254,0.30360870,0.40076654,0.53508764
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-29 00:00:00.000000,0.01147690,0.02390751,0.04023630,42,87,147,18,37,67,0.00489991,0.01010546,0.01838024,0.29911425,0.38077346,0.51361622
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-30 00:00:00.000000,0.01228404,0.02510647,0.04400410,45,92,161,19,40,72,0.00535786,0.01090939,0.01975255,0.29480639,0.36911552,0.50498858
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-03-31 00:00:00.000000,0.01312730,0.02655131,0.04757577,48,97,174,21,43,78,0.00576544,0.01176929,0.02134872,0.28209001,0.36649697,0.49208256
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-01 00:00:00.000000,0.01400989,0.02790410,0.05071506,51,102,186,22,46,84,0.00616336,0.01258627,0.02307786,0.25718565,0.35692484,0.47322156
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-02 00:00:00.000000,0.01493671,0.02977289,0.05371940,54,109,197,24,49,91,0.00655780,0.01349088,0.02483566,0.24162952,0.35377774,0.46822252
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-03 00:00:00.000000,0.01591388,0.03133600,0.05675811,58,115,208,25,53,97,0.00695328,0.01452151,0.02659186,0.23532363,0.34490135,0.46994902
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-04 00:00:00.000000,0.01695262,0.03306157,0.06090935,62,121,224,27,56,104,0.00735341,0.01527489,0.02835226,0.23532549,0.34740354,0.47191276
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-05 00:00:00.000000,0.01732631,0.03450024,0.06519483,63,126,239,28,59,110,0.00776127,0.01623039,0.03012667,0.23489384,0.34642143,0.47311224
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-06 00:00:00.000000,0.01763904,0.03662624,0.06966060,64,134,256,29,62,119,0.00812478,0.01699808,0.03247732,0.23379472,0.33897681,0.51139084
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-07 00:00:00.000000,0.01858716,0.03826231,0.07331310,68,140,269,31,65,128,0.00853833,0.01789898,0.03494144,0.23094449,0.33368657,0.54645589
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-08 00:00:00.000000,0.01956873,0.04025862,0.07546850,71,148,277,33,68,137,0.00898309,0.01866480,0.03743048,0.22834976,0.33454176,0.53518869
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-09 00:00:00.000000,0.02024015,0.04234695,0.07786660,74,155,286,34,71,146,0.00948180,0.01955815,0.03993891,0.21914185,0.33368669,0.51626261
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-10 00:00:00.000000,0.02097749,0.04518583,0.08142266,77,166,299,36,76,156,0.00995284,0.02067496,0.04248523,0.20858775,0.33420039,0.54103389
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-11 00:00:00.000000,0.02232048,0.04816888,0.08372375,82,177,307,38,79,161,0.01039891,0.02166617,0.04394527,0.20473316,0.34029446,0.54437615
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-12 00:00:00.000000,0.02374215,0.05027229,0.08645725,87,184,317,40,84,167,0.01091485,0.02292756,0.04546458,0.20321480,0.34271452,0.56627568
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-13 00:00:00.000000,0.02565171,0.05262630,0.09108792,94,193,335,42,89,172,0.01147409,0.02427879,0.04702581,0.20271936,0.34627415,0.60574042
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-14 00:00:00.000000,0.02765491,0.05566949,0.09816929,101,204,361,44,93,179,0.01208334,0.02538909,0.04870535,0.20266812,0.35212057,0.63108013
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-15 00:00:00.000000,0.02979192,0.05934583,0.10355151,109,218,380,46,99,185,0.01277027,0.02695053,0.05049205,0.20292417,0.35026734,0.63882886
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-16 00:00:00.000000,0.03214374,0.06247915,0.11114636,118,229,408,49,105,192,0.01353103,0.02876363,0.05239081,0.20363121,0.35548163,0.65746991
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-17 00:00:00.000000,0.03485571,0.06614218,0.11869954,128,243,436,52,112,200,0.01435995,0.03051723,0.05438637,0.20525734,0.37051120,0.65062511
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-18 00:00:00.000000,0.03795377,0.07011971,0.12854451,139,257,472,56,117,207,0.01525196,0.03198816,0.05645561,0.20881108,0.37706549,0.63689833
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-19 00:00:00.000000,0.04110130,0.07445398,0.13774290,151,273,506,59,123,215,0.01620352,0.03352374,0.05859418,0.21608663,0.38223065,0.62231040
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-20 00:00:00.000000,0.04392837,0.07725903,0.14812002,161,284,544,63,129,227,0.01721275,0.03533738,0.06194210,0.22924285,0.38836724,0.60291585
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-21 00:00:00.000000,0.04726842,0.08182795,0.15908373,173,300,585,67,138,244,0.01832584,0.03755474,0.06653978,0.24718230,0.38794733,0.58692838
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-22 00:00:00.000000,0.05161606,0.08818432,0.17067264,189,324,627,72,146,266,0.01958593,0.03974805,0.07245814,0.24296386,0.39012952,0.62275893
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-23 00:00:00.000000,0.05616849,0.09331898,0.18292722,206,343,672,77,154,285,0.02110295,0.04204088,0.07751401,0.24877717,0.39007547,0.61797982
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-24 00:00:00.000000,0.06059446,0.09717396,0.19589675,222,357,720,83,163,303,0.02282307,0.04455822,0.08261372,0.26180963,0.39859768,0.60823756
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-25 00:00:00.000000,0.06498523,0.10094131,0.20963524,239,371,771,90,173,324,0.02465395,0.04721357,0.08809654,0.27444331,0.40694022,0.63256694
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-26 00:00:00.000000,0.06948998,0.10592666,0.22419484,255,389,824,97,182,345,0.02654816,0.04949484,0.09395980,0.28499919,0.41431621,0.68863504
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-27 00:00:00.000000,0.07405586,0.11238864,0.23742863,272,413,873,104,193,368,0.02849974,0.05247377,0.10020775,0.28299583,0.42111216,0.70379598
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-28 00:00:00.000000,0.07888704,0.12074720,0.24940194,290,444,917,112,204,392,0.03050108,0.05559243,0.10674455,0.28499520,0.43556196,0.71058693
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-29 00:00:00.000000,0.08404917,0.12670114,0.26174194,309,466,962,119,216,417,0.03259506,0.05886228,0.11360210,0.28805169,0.43745377,0.71329878
47065,0,USTennesseeHamilton,Tennessee,Hamilton,2021-01-05 10:48:50.875885,2020-04-30 00:00:00.000000,0.08979788,0.13668084,0.27464137,330,502,1010,127,228,444,0.03479119,0.06210588,0.12080620,0.29954697,0.45041708,0.71404465
