FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
47079,0,USTennesseeHenry,Tennessee,Henry,2021-09-02 01:26:06.817750,2020-03-09 00:00:00.000000,0.00106936,0.00747061,0.02721505,0,2,8,0,1,5,0.00053802,0.00443467,0.01721386,0.33601787,0.45026166,0.72146744
47079,0,USTennesseeHenry,Tennessee,Henry,2021-09-02 01:26:06.817750,2020-03-10 00:00:00.000000,0.00115248,0.00806140,0.02916424,0,2,9,0,1,5,0.00057340,0.00451236,0.01640967,0.33601693,0.45026091,0.72129642
47079,0,USTennesseeHenry,Tennessee,Henry,2021-09-02 01:26:06.817750,2020-03-11 00:00:00.000000,0.00124481,0.00874619,0.03125551,0,2,10,0,1,5,0.00063405,0.00473856,0.01607582,0.33601418,0.45025919,0.72076851
47079,0,USTennesseeHenry,Tennessee,Henry,2021-09-02 01:26:06.817750,2020-03-12 00:00:00.000000,0.00134429,0.00943611,0.03346763,0,3,10,0,1,5,0.00070258,0.00508979,0.01735158,0.33600603,0.45025504,0.71914317
47079,0,USTennesseeHenry,Tennessee,Henry,2021-09-02 01:26:06.817750,2020-03-13 00:00:00.000000,0.00145045,0.01015183,0.03580050,0,3,11,0,1,6,0.00077645,0.00541268,0.01870298,0.33598199,0.45024458,0.71423216
47079,0,USTennesseeHenry,Tennessee,Henry,2021-09-02 01:26:06.817750,2020-03-14 00:00:00.000000,0.00156344,0.01080384,0.03826181,0,3,12,0,1,6,0.00085519,0.00596960,0.02011430,0.33407935,0.45021749,0.70031273
47079,0,USTennesseeHenry,Tennessee,Henry,2021-09-02 01:26:06.817750,2020-03-15 00:00:00.000000,0.00168368,0.01163840,0.04086005,0,3,13,0,2,6,0.00093909,0.00641463,0.02158593,0.32862103,0.44454093,0.68054142
47079,0,USTennesseeHenry,Tennessee,Henry,2021-09-02 01:26:06.817750,2020-03-16 00:00:00.000000,0.00440996,0.01640116,0.05211657,1,5,16,0,2,7,0.00102881,0.00699313,0.02312345,0.32382185,0.44274413,0.67658446
47079,0,USTennesseeHenry,Tennessee,Henry,2021-09-02 01:26:06.817750,2020-03-17 00:00:00.000000,0.00615730,0.02035977,0.06290459,1,6,20,0,2,8,0.00205561,0.00872850,0.02754425,0.31131416,0.43232551,0.65998760
47079,0,USTennesseeHenry,Tennessee,Henry,2021-09-02 01:26:06.817750,2020-03-18 00:00:00.000000,0.00793238,0.02543161,0.07044845,2,8,22,1,3,10,0.00326500,0.01125188,0.03340676,0.24047860,0.41182828,0.60113583
