FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-09 00:00:00.000000,0.00168476,0.00563022,0.01644684,0,2,7,0,0,3,0.00030569,0.00207039,0.00676278,0.35920352,0.49826477,0.65377712
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-10 00:00:00.000000,0.00239957,0.00780567,0.02214440,1,3,10,0,1,3,0.00064836,0.00236688,0.00715299,0.35920004,0.49790507,0.65374242
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-11 00:00:00.000000,0.00317487,0.01010402,0.02554622,1,4,11,0,1,4,0.00099477,0.00305887,0.00911231,0.35919283,0.49715098,0.65366174
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-12 00:00:00.000000,0.00402876,0.01253524,0.02830968,1,5,13,0,1,5,0.00133035,0.00403837,0.01131791,0.35917789,0.49558622,0.65347242
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-13 00:00:00.000000,0.00497590,0.01544148,0.03271457,2,7,15,0,2,5,0.00172995,0.00511241,0.01274575,0.35783166,0.49388564,0.65302541
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-14 00:00:00.000000,0.00602978,0.01826077,0.03869822,2,8,18,1,2,6,0.00219134,0.00626396,0.01459971,0.35447318,0.49367868,0.65196940
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-15 00:00:00.000000,0.00720377,0.02115640,0.04496749,3,9,20,1,3,8,0.00271303,0.00756022,0.01774176,0.34960403,0.48935812,0.64991865
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-16 00:00:00.000000,0.01033113,0.02498574,0.04906821,4,11,22,1,4,9,0.00329866,0.00902397,0.02108514,0.34630668,0.47404112,0.64544258
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-17 00:00:00.000000,0.01345726,0.02835637,0.05348400,6,13,24,2,4,11,0.00437665,0.01063000,0.02405836,0.33956686,0.46823465,0.63491849
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-18 00:00:00.000000,0.01694889,0.03206660,0.05808590,7,14,27,2,5,12,0.00562232,0.01218160,0.02686149,0.32753518,0.45628495,0.63106134
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-19 00:00:00.000000,0.02076672,0.03675265,0.06867393,9,17,31,3,6,13,0.00703178,0.01392810,0.02961025,0.30723821,0.42644386,0.62789701
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-20 00:00:00.000000,0.02487633,0.03996563,0.07953371,11,18,37,4,7,15,0.00870308,0.01558018,0.03235489,0.28942343,0.40084304,0.60041161
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-21 00:00:00.000000,0.02836334,0.04358208,0.08525695,13,20,39,4,8,16,0.01056441,0.01736283,0.03504970,0.27267509,0.38005609,0.55349810
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-22 00:00:00.000000,0.03110928,0.04734464,0.08914256,14,22,41,5,9,17,0.01255982,0.01978256,0.03858074,0.25465467,0.35151347,0.50925517
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-23 00:00:00.000000,0.03371150,0.05298880,0.09448326,15,24,43,6,10,19,0.01420264,0.02214329,0.04268823,0.24712113,0.33362439,0.50740338
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-24 00:00:00.000000,0.03632148,0.05726937,0.09986760,16,26,46,7,11,22,0.01560278,0.02468979,0.04742910,0.23312526,0.32836431,0.50505504
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-25 00:00:00.000000,0.03912246,0.06247362,0.10526496,18,29,48,8,12,24,0.01726490,0.02713644,0.05265191,0.22486737,0.32291818,0.46212861
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-26 00:00:00.000000,0.04246704,0.06708162,0.11072954,19,31,51,8,13,26,0.01920708,0.02994414,0.05777433,0.21502184,0.30487096,0.43662420
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-27 00:00:00.000000,0.04435190,0.07150945,0.11622119,20,33,54,9,15,28,0.02070819,0.03291126,0.06101340,0.19014296,0.29415661,0.40613738
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-28 00:00:00.000000,0.04632190,0.07413623,0.12124498,21,34,56,10,16,29,0.02225368,0.03512565,0.06429926,0.18348212,0.27889780,0.38062548
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-29 00:00:00.000000,0.04819073,0.07616919,0.13205683,22,35,61,10,17,31,0.02338179,0.03738190,0.06744167,0.16986279,0.26189313,0.37001542
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-30 00:00:00.000000,0.05025962,0.08034406,0.14057323,23,37,65,11,18,32,0.02399131,0.03983085,0.07028724,0.15869064,0.25152914,0.36604670
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-03-31 00:00:00.000000,0.05197923,0.08630998,0.15085871,24,40,70,11,19,34,0.02460754,0.04186506,0.07304983,0.15022698,0.24849786,0.35448894
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-01 00:00:00.000000,0.05346705,0.09098744,0.16058520,24,42,74,11,20,35,0.02563120,0.04347565,0.07571131,0.14407330,0.23464032,0.34956157
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-02 00:00:00.000000,0.05479894,0.09344414,0.17006769,25,43,79,12,21,36,0.02655700,0.04543649,0.07840932,0.13636692,0.22688643,0.34261796
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-03 00:00:00.000000,0.05602956,0.09583207,0.17962411,26,44,83,12,22,37,0.02738802,0.04800854,0.08093479,0.13223379,0.21906589,0.34044907
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-04 00:00:00.000000,0.05718792,0.09754356,0.18914349,26,45,88,13,23,39,0.02814200,0.05119630,0.08450947,0.13140154,0.21053642,0.33859337
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-05 00:00:00.000000,0.05825104,0.09993774,0.19855961,27,46,92,13,24,40,0.02883570,0.05307349,0.08704716,0.13077720,0.20228316,0.32204496
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-06 00:00:00.000000,0.06042418,0.10326810,0.20360562,28,48,94,13,25,41,0.02947626,0.05413809,0.09023472,0.12917069,0.19566721,0.30983129
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-07 00:00:00.000000,0.06250795,0.10450442,0.20796642,29,48,96,14,26,44,0.03115615,0.05684397,0.09511008,0.12318731,0.19244911,0.30717500
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-08 00:00:00.000000,0.06457375,0.10657229,0.21221242,30,49,98,14,27,46,0.03176090,0.05910927,0.09977785,0.11879185,0.19150339,0.30278260
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-09 00:00:00.000000,0.06658856,0.10978187,0.21637463,30,51,100,15,28,48,0.03234977,0.06055347,0.10423138,0.11733623,0.18850017,0.30121905
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-10 00:00:00.000000,0.06634024,0.11296692,0.22043634,30,52,102,15,28,50,0.03329950,0.06221940,0.10843705,0.11146468,0.18664905,0.29538350
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-11 00:00:00.000000,0.06607125,0.11538888,0.22402414,30,53,104,15,29,52,0.03431809,0.06324088,0.11238782,0.10289954,0.18234879,0.27568357
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-12 00:00:00.000000,0.06582152,0.11704739,0.22649044,30,54,105,16,30,54,0.03531535,0.06456398,0.11611084,0.10157613,0.17943733,0.25188283
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-13 00:00:00.000000,0.06721856,0.12020802,0.23238224,31,55,108,16,30,55,0.03628343,0.06611819,0.11964411,0.09841199,0.17750506,0.24953846
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-14 00:00:00.000000,0.06862985,0.12250269,0.23811996,31,57,110,17,31,57,0.03705970,0.06725329,0.12336459,0.09825852,0.17498093,0.23558432
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-15 00:00:00.000000,0.07008449,0.12388223,0.24363263,32,57,113,17,31,59,0.03734022,0.06838710,0.12723578,0.09775428,0.17515321,0.23302906
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-16 00:00:00.000000,0.06972964,0.12651217,0.24833057,32,58,115,17,32,61,0.03753668,0.06922614,0.13123022,0.09628454,0.17438882,0.23305016
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-17 00:00:00.000000,0.07057919,0.12731331,0.25149802,32,59,117,17,32,62,0.03767799,0.06966145,0.13532447,0.09567350,0.17211323,0.23558943
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-18 00:00:00.000000,0.07137622,0.12801283,0.25994091,33,59,120,17,32,64,0.03778494,0.06940814,0.13949296,0.09547961,0.16597120,0.23894573
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-19 00:00:00.000000,0.07146210,0.12888601,0.26819354,33,59,124,17,32,66,0.03787086,0.06925768,0.14369506,0.09542910,0.16200104,0.24137260
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-20 00:00:00.000000,0.07159650,0.13074254,0.26566774,33,60,123,17,32,67,0.03794448,0.07041356,0.14535878,0.09487145,0.15739067,0.24121129
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-21 00:00:00.000000,0.07499882,0.13168004,0.26806861,34,61,124,18,33,68,0.03888911,0.07120441,0.14665704,0.09448244,0.15198179,0.23893970
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-22 00:00:00.000000,0.07668519,0.13529400,0.27108129,35,62,126,18,33,68,0.03998652,0.07196246,0.14771178,0.09437636,0.15164396,0.24374629
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-23 00:00:00.000000,0.07759311,0.13763429,0.27322288,36,64,127,19,34,69,0.04084941,0.07372336,0.14854977,0.09431164,0.15089955,0.23910721
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-24 00:00:00.000000,0.07870289,0.13931855,0.27424863,36,64,127,19,34,69,0.04156000,0.07426704,0.14919026,0.09356738,0.15034789,0.23813737
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-25 00:00:00.000000,0.07967421,0.13832951,0.27400557,37,64,127,19,34,69,0.04216999,0.07449871,0.14965173,0.09223564,0.15023615,0.23558325
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-26 00:00:00.000000,0.08001022,0.13793453,0.27250725,37,64,126,19,34,69,0.04255640,0.07444385,0.14995668,0.08995427,0.15198897,0.23293677
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-27 00:00:00.000000,0.07964196,0.13942516,0.27062110,37,64,125,19,35,69,0.04227774,0.07623863,0.15013091,0.08660751,0.15198929,0.23063537
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-28 00:00:00.000000,0.07936084,0.13869828,0.26791470,36,64,124,19,35,70,0.04187469,0.07580987,0.15178826,0.08527049,0.15105662,0.22245960
47123,0,USTennesseeMonroe,Tennessee,Monroe,2021-07-21 07:33:59.280780,2020-04-29 00:00:00.000000,0.07900543,0.13915384,0.26466233,36,64,123,19,35,71,0.04105803,0.07722073,0.15413858,0.08481723,0.15023344,0.22532375
