FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
47155,0,USTennesseeSevier,Tennessee,Sevier,2021-11-10 13:00:42.653473,2020-03-09 00:00:00.000000,0.00072872,0.00207127,0.00520720,0,2,5,0,0,2,0.00012337,0.00086368,0.00264981,0.32665950,0.42936857,0.56048518
47155,0,USTennesseeSevier,Tennessee,Sevier,2021-11-10 13:00:42.653473,2020-03-10 00:00:00.000000,0.00120051,0.00282897,0.00665956,1,2,6,0,1,2,0.00025784,0.00107692,0.00283179,0.32665950,0.42861189,0.56048183
47155,0,USTennesseeSevier,Tennessee,Sevier,2021-11-10 13:00:42.653473,2020-03-11 00:00:00.000000,0.00163720,0.00363778,0.00837683,1,3,8,0,1,3,0.00050927,0.00136969,0.00329178,0.32665950,0.42755306,0.56047610
47155,0,USTennesseeSevier,Tennessee,Sevier,2021-11-10 13:00:42.653473,2020-03-12 00:00:00.000000,0.00204164,0.00462087,0.01012197,2,4,9,0,1,3,0.00076868,0.00175862,0.00403926,0.32665946,0.42755268,0.56046627
47155,0,USTennesseeSevier,Tennessee,Sevier,2021-11-10 13:00:42.653473,2020-03-13 00:00:00.000000,0.00247466,0.00565032,0.01198444,2,5,11,0,2,5,0.00098420,0.00223759,0.00530280,0.32665931,0.42755154,0.56044943
47155,0,USTennesseeSevier,Tennessee,Sevier,2021-11-10 13:00:42.653473,2020-03-14 00:00:00.000000,0.00293840,0.00660776,0.01433439,2,6,14,1,2,6,0.00122620,0.00277589,0.00650708,0.32641368,0.42705420,0.56042056
47155,0,USTennesseeSevier,Tennessee,Sevier,2021-11-10 13:00:42.653473,2020-03-15 00:00:00.000000,0.00342040,0.00778920,0.01687900,3,7,16,1,3,7,0.00149343,0.00341973,0.00788793,0.32326867,0.42558307,0.56037096
47155,0,USTennesseeSevier,Tennessee,Sevier,2021-11-10 13:00:42.653473,2020-03-16 00:00:00.000000,0.00440199,0.00933549,0.01991432,4,9,19,1,4,9,0.00178415,0.00412273,0.00935885,0.30338815,0.42065353,0.56028510
47155,0,USTennesseeSevier,Tennessee,Sevier,2021-11-10 13:00:42.653473,2020-03-17 00:00:00.000000,0.00544952,0.01110582,0.02296144,5,10,22,2,4,10,0.00224152,0.00490197,0.01103667,0.25905137,0.41035321,0.56013113
47155,0,USTennesseeSevier,Tennessee,Sevier,2021-11-10 13:00:42.653473,2020-03-18 00:00:00.000000,0.00661214,0.01266344,0.02617142,6,12,25,2,5,12,0.00277321,0.00587262,0.01288864,0.25090893,0.39684035,0.55981366
47155,0,USTennesseeSevier,Tennessee,Sevier,2021-11-10 13:00:42.653473,2020-03-19 00:00:00.000000,0.00789580,0.01425952,0.02905254,7,14,28,3,6,14,0.00339279,0.00692687,0.01488696,0.23867983,0.37881319,0.55799982
47155,0,USTennesseeSevier,Tennessee,Sevier,2021-11-10 13:00:42.653473,2020-03-20 00:00:00.000000,0.00851491,0.01585163,0.03180016,8,15,31,4,7,16,0.00408488,0.00808808,0.01695385,0.21863969,0.35385825,0.52646856
47155,0,USTennesseeSevier,Tennessee,Sevier,2021-11-10 13:00:42.653473,2020-03-21 00:00:00.000000,0.00915025,0.01779999,0.03413072,8,17,33,4,9,18,0.00463018,0.00923667,0.01837740,0.20523556,0.32152826,0.52021139
47155,0,USTennesseeSevier,Tennessee,Sevier,2021-11-10 13:00:42.653473,2020-03-22 00:00:00.000000,0.00980261,0.01946840,0.03643906,9,19,35,5,10,18,0.00514056,0.01019478,0.01924454,0.19391120,0.30421776,0.46943691
47155,0,USTennesseeSevier,Tennessee,Sevier,2021-11-10 13:00:42.653473,2020-03-23 00:00:00.000000,0.01172826,0.02144238,0.03864308,11,21,37,5,11,20,0.00556878,0.01138337,0.02096534,0.18268912,0.29531865,0.45261423
47155,0,USTennesseeSevier,Tennessee,Sevier,2021-11-10 13:00:42.653473,2020-03-24 00:00:00.000000,0.01358838,0.02334362,0.04175665,13,22,41,6,12,22,0.00614388,0.01242784,0.02298477,0.17287119,0.27522338,0.39957770
47155,0,USTennesseeSevier,Tennessee,Sevier,2021-11-10 13:00:42.653473,2020-03-25 00:00:00.000000,0.01518540,0.02511662,0.04348074,14,24,42,6,13,24,0.00682548,0.01368493,0.02503446,0.16453036,0.26101808,0.39046028
47155,0,USTennesseeSevier,Tennessee,Sevier,2021-11-10 13:00:42.653473,2020-03-26 00:00:00.000000,0.01659270,0.02716987,0.04472440,16,26,43,8,14,26,0.00835419,0.01480286,0.02711464,0.15773029,0.25073844,0.38842061
47155,0,USTennesseeSevier,Tennessee,Sevier,2021-11-10 13:00:42.653473,2020-03-27 00:00:00.000000,0.01753249,0.02868586,0.04785665,17,28,47,9,15,28,0.00959123,0.01595615,0.02918343,0.15014349,0.24040314,0.37539350
47155,0,USTennesseeSevier,Tennessee,Sevier,2021-11-10 13:00:42.653473,2020-03-28 00:00:00.000000,0.01845171,0.03003267,0.05086577,18,29,49,10,16,29,0.01052615,0.01688842,0.02995954,0.14551242,0.22450763,0.35305415
47155,0,USTennesseeSevier,Tennessee,Sevier,2021-11-10 13:00:42.653473,2020-03-29 00:00:00.000000,0.01941063,0.03212288,0.05349187,19,31,52,10,17,29,0.01117615,0.01822902,0.03029741,0.14306272,0.21060859,0.32248062
