FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-09 00:00:00.000000,0.00094751,0.00210207,0.00440384,1,3,6,0,1,2,0.00013967,0.00081164,0.00205424,0.37550022,0.50561556,0.66416002
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-10 00:00:00.000000,0.00142245,0.00298531,0.00584937,2,4,8,0,1,3,0.00035727,0.00108897,0.00227245,0.37546778,0.50561371,0.66415230
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-11 00:00:00.000000,0.00209321,0.00393711,0.00741435,3,5,10,0,2,4,0.00064360,0.00146689,0.00286167,0.37534272,0.50560928,0.66413659
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-12 00:00:00.000000,0.00274355,0.00490300,0.00912919,3,7,13,1,2,5,0.00097181,0.00195946,0.00359257,0.37486228,0.50559858,0.66410468
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-13 00:00:00.000000,0.00342479,0.00609637,0.01101444,4,8,15,1,3,6,0.00134586,0.00262477,0.00482839,0.37304016,0.50557233,0.66404017
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-14 00:00:00.000000,0.00420688,0.00729334,0.01368990,6,10,19,2,4,8,0.00175980,0.00332350,0.00614999,0.36645263,0.50550621,0.66391096
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-15 00:00:00.000000,0.00502515,0.00851755,0.01617247,7,12,23,3,5,10,0.00221239,0.00410340,0.00745068,0.36099812,0.50533305,0.66037397
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-16 00:00:00.000000,0.00658858,0.01054535,0.01873124,9,15,27,3,7,12,0.00270462,0.00488805,0.00888455,0.35943511,0.50066129,0.64491908
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-17 00:00:00.000000,0.00810053,0.01262304,0.02125489,11,18,30,5,8,15,0.00350497,0.00594729,0.01077515,0.35362713,0.49451298,0.64186797
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-18 00:00:00.000000,0.00946464,0.01461293,0.02487342,13,21,35,6,10,18,0.00428289,0.00706024,0.01253728,0.32550925,0.47654444,0.63197286
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-19 00:00:00.000000,0.01075986,0.01707706,0.02810220,15,24,40,7,12,20,0.00513236,0.00848047,0.01420881,0.29432764,0.46810225,0.60936672
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-20 00:00:00.000000,0.01196247,0.01915189,0.03143165,17,27,45,8,14,23,0.00587974,0.00985686,0.01651443,0.27035645,0.43493757,0.58237432
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-21 00:00:00.000000,0.01319849,0.02132477,0.03467456,19,30,50,9,15,28,0.00676047,0.01103099,0.01943244,0.25873485,0.41338259,0.54936041
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-22 00:00:00.000000,0.01472230,0.02311455,0.03848269,21,33,55,11,18,31,0.00766255,0.01244664,0.02181964,0.24019494,0.39336181,0.52135966
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-23 00:00:00.000000,0.01810921,0.02584079,0.04213924,26,37,60,12,20,35,0.00859542,0.01394562,0.02425753,0.23755657,0.37558326,0.51059260
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-24 00:00:00.000000,0.02104520,0.02869591,0.04760770,30,41,68,15,22,39,0.01062090,0.01557577,0.02751131,0.20952086,0.34767771,0.48803981
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-25 00:00:00.000000,0.02285159,0.03223105,0.05117273,33,46,74,17,24,45,0.01192434,0.01722740,0.03134616,0.20080928,0.32979463,0.48683222
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-26 00:00:00.000000,0.02490835,0.03601799,0.05406072,36,52,78,19,28,49,0.01336235,0.01949817,0.03456047,0.20011266,0.32127674,0.45927269
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-27 00:00:00.000000,0.02618108,0.03935300,0.06026578,37,56,87,20,31,53,0.01431299,0.02186235,0.03664562,0.19871299,0.30734159,0.41736242
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-28 00:00:00.000000,0.02675219,0.04335726,0.06691805,38,62,96,23,34,57,0.01609759,0.02390578,0.03954195,0.19457858,0.29303373,0.41272014
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-29 00:00:00.000000,0.02726484,0.04645643,0.07334414,39,67,106,24,37,63,0.01702457,0.02610784,0.04408766,0.17432908,0.27401610,0.40403216
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-30 00:00:00.000000,0.02983488,0.04840125,0.07701191,43,70,111,25,40,66,0.01790663,0.02818029,0.04607153,0.16598152,0.26814519,0.39786697
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-03-31 00:00:00.000000,0.03163936,0.05079585,0.07895300,45,73,114,26,42,69,0.01844250,0.02957360,0.04777864,0.15512706,0.26051067,0.38748687
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-04-01 00:00:00.000000,0.03379246,0.05302638,0.08041736,48,76,116,27,45,71,0.01927665,0.03138295,0.04932381,0.14780383,0.25254432,0.37431280
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-04-02 00:00:00.000000,0.03592743,0.05502556,0.08547381,51,79,123,30,47,76,0.02097356,0.03298145,0.05318501,0.14330038,0.24323055,0.36111543
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-04-03 00:00:00.000000,0.03800526,0.05728579,0.08966122,54,82,129,32,49,82,0.02275944,0.03455287,0.05724241,0.14115744,0.23375764,0.33899323
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-04-04 00:00:00.000000,0.03844723,0.05873709,0.09311760,55,84,134,35,52,87,0.02442660,0.03611728,0.06069332,0.13895593,0.22122785,0.33583033
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-04-05 00:00:00.000000,0.03791407,0.06044958,0.09609015,54,87,139,37,54,91,0.02577975,0.03778201,0.06359796,0.13391836,0.20678164,0.30877196
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-04-06 00:00:00.000000,0.03732894,0.06173494,0.09898399,53,89,143,39,56,95,0.02704401,0.03908960,0.06611996,0.11729449,0.19909314,0.29546920
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-04-07 00:00:00.000000,0.03674022,0.06252898,0.10178734,53,90,147,38,58,99,0.02670398,0.04065488,0.06844779,0.11226527,0.19738695,0.27651660
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-04-08 00:00:00.000000,0.03800683,0.06374942,0.10455790,54,92,151,38,60,102,0.02630780,0.04206011,0.07061675,0.11113166,0.19609367,0.27077578
47189,0,USTennesseeWilson,Tennessee,Wilson,2021-11-24 13:23:19.550119,2020-04-09 00:00:00.000000,0.03784828,0.06447488,0.10730441,54,93,155,37,61,106,0.02589671,0.04248902,0.07393507,0.10973560,0.19357820,0.26812472
