FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48019,0,USTexasBandera,Texas,Bandera,2021-11-24 14:14:43.879011,2020-03-09 00:00:00.000000,0.00031278,0.00271891,0.02859547,0,0,6,0,0,3,0.00015052,0.00151512,0.01661037,0.38709564,0.56730325,0.76522597
48019,0,USTexasBandera,Texas,Bandera,2021-11-24 14:14:43.879011,2020-03-10 00:00:00.000000,0.00034847,0.00292381,0.02865204,0,0,6,0,0,3,0.00015024,0.00143538,0.01467520,0.38709048,0.56730314,0.76521114
48019,0,USTexasBandera,Texas,Bandera,2021-11-24 14:14:43.879011,2020-03-11 00:00:00.000000,0.00038961,0.00313604,0.02942209,0,0,6,0,0,3,0.00016568,0.00141759,0.01435541,0.38707860,0.56730269,0.76517764
48019,0,USTexasBandera,Texas,Bandera,2021-11-24 14:14:43.879011,2020-03-12 00:00:00.000000,0.00043425,0.00340011,0.03200493,0,0,7,0,0,3,0.00018689,0.00150645,0.01510506,0.38705128,0.56730090,0.76509912
48019,0,USTexasBandera,Texas,Bandera,2021-11-24 14:14:43.879011,2020-03-13 00:00:00.000000,0.00048213,0.00365703,0.03374862,0,0,7,0,0,3,0.00021059,0.00162461,0.01558850,0.38698840,0.56729367,0.76490650
48019,0,USTexasBandera,Texas,Bandera,2021-11-24 14:14:43.879011,2020-03-14 00:00:00.000000,0.00053358,0.00392820,0.03530932,0,0,8,0,0,3,0.00023528,0.00173977,0.01622327,0.38684372,0.56610945,0.76321702
48019,0,USTexasBandera,Texas,Bandera,2021-11-24 14:14:43.879011,2020-03-15 00:00:00.000000,0.00058283,0.00418295,0.03678421,0,0,8,0,0,3,0.00025886,0.00184216,0.01693894,0.38651131,0.56009118,0.74789413
48019,0,USTexasBandera,Texas,Bandera,2021-11-24 14:14:43.879011,2020-03-16 00:00:00.000000,0.00064805,0.00446937,0.03826882,0,1,8,0,0,4,0.00028805,0.00193882,0.01772456,0.38575080,0.55930212,0.74489792
48019,0,USTexasBandera,Texas,Bandera,2021-11-24 14:14:43.879011,2020-03-17 00:00:00.000000,0.00071141,0.00473501,0.03980707,0,1,9,0,0,4,0.00031392,0.00207102,0.01856723,0.38403002,0.54410845,0.74406715
48019,0,USTexasBandera,Texas,Bandera,2021-11-24 14:14:43.879011,2020-03-18 00:00:00.000000,0.00074285,0.00497595,0.04139697,0,1,9,0,0,4,0.00034566,0.00222962,0.01945931,0.38022760,0.53257303,0.73597131
48019,0,USTexasBandera,Texas,Bandera,2021-11-24 14:14:43.879011,2020-03-19 00:00:00.000000,0.00077194,0.00522475,0.04302301,0,1,9,0,0,4,0.00037984,0.00240165,0.02039220,0.37218514,0.51766632,0.69371972
48019,0,USTexasBandera,Texas,Bandera,2021-11-24 14:14:43.879011,2020-03-20 00:00:00.000000,0.00080088,0.00548440,0.04461030,0,1,10,0,0,4,0.00041260,0.00257863,0.02146329,0.35652327,0.49105649,0.68799605
48019,0,USTexasBandera,Texas,Bandera,2021-11-24 14:14:43.879011,2020-03-21 00:00:00.000000,0.00085596,0.00586895,0.04594896,0,1,10,0,0,5,0.00044153,0.00273660,0.02279271,0.33746966,0.45869647,0.66769695
48019,0,USTexasBandera,Texas,Bandera,2021-11-24 14:14:43.879011,2020-03-22 00:00:00.000000,0.00088379,0.00593864,0.04692594,0,1,10,0,0,5,0.00045805,0.00289500,0.02392379,0.30416341,0.43350261,0.65738600
48019,0,USTexasBandera,Texas,Bandera,2021-11-24 14:14:43.879011,2020-03-23 00:00:00.000000,0.00241235,0.01021257,0.05272965,0,2,12,0,0,5,0.00047465,0.00297176,0.02475072,0.27893160,0.42223152,0.65147429
