FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48035,0,USTexasBosque,Texas,Bosque,2021-01-05 09:38:41.715082,2020-03-09 00:00:00.000000,0.00213608,0.01026198,0.05356238,0,1,10,0,1,6,0.00125154,0.00575781,0.03551224,0.39997396,0.53066160,0.72724005
48035,0,USTexasBosque,Texas,Bosque,2021-01-05 09:38:41.715082,2020-03-10 00:00:00.000000,0.00252782,0.01142891,0.05660942,0,2,10,0,1,6,0.00128163,0.00546715,0.03287624,0.39996844,0.53064342,0.72723797
48035,0,USTexasBosque,Texas,Bosque,2021-01-05 09:38:41.715082,2020-03-11 00:00:00.000000,0.00290827,0.01235119,0.05965427,0,2,11,0,1,5,0.00132156,0.00579988,0.03182313,0.39995394,0.53061039,0.72723346
48035,0,USTexasBosque,Texas,Bosque,2021-01-05 09:38:41.715082,2020-03-12 00:00:00.000000,0.00317444,0.01357344,0.06267922,0,2,11,0,1,5,0.00145722,0.00638605,0.03175842,0.39991590,0.53055044,0.72722364
48035,0,USTexasBosque,Texas,Bosque,2021-01-05 09:38:41.715082,2020-03-13 00:00:00.000000,0.00341015,0.01479704,0.06566167,0,2,12,0,1,6,0.00162916,0.00699517,0.03231124,0.39981617,0.52882683,0.72720227
48035,0,USTexasBosque,Texas,Bosque,2021-01-05 09:38:41.715082,2020-03-14 00:00:00.000000,0.00377070,0.01570652,0.06935293,0,2,12,0,1,6,0.00177928,0.00761977,0.03325128,0.39955542,0.52684038,0.72715578
48035,0,USTexasBosque,Texas,Bosque,2021-01-05 09:38:41.715082,2020-03-15 00:00:00.000000,0.00403045,0.01681164,0.07390113,0,3,13,0,1,6,0.00190587,0.00830567,0.03443649,0.39887792,0.52654588,0.72705506
48035,0,USTexasBosque,Texas,Bosque,2021-01-05 09:38:41.715082,2020-03-16 00:00:00.000000,0.00424324,0.01830488,0.07956508,0,3,14,0,1,7,0.00203968,0.00905698,0.03781038,0.39714540,0.52602892,0.72683974
48035,0,USTexasBosque,Texas,Bosque,2021-01-05 09:38:41.715082,2020-03-17 00:00:00.000000,0.00446047,0.02002407,0.08782924,0,3,16,0,1,7,0.00218999,0.00987210,0.04220000,0.38770064,0.52174469,0.71252194
48035,0,USTexasBosque,Texas,Bosque,2021-01-05 09:38:41.715082,2020-03-18 00:00:00.000000,0.00473138,0.02177172,0.09610736,0,4,17,0,2,8,0.00238969,0.01075267,0.04691645,0.38006953,0.51985622,0.68752849
48035,0,USTexasBosque,Texas,Bosque,2021-01-05 09:38:41.715082,2020-03-19 00:00:00.000000,0.00503402,0.02350621,0.10387343,0,4,19,0,2,9,0.00260211,0.01181491,0.05184257,0.34767926,0.51356281,0.67284941
48035,0,USTexasBosque,Texas,Bosque,2021-01-05 09:38:41.715082,2020-03-20 00:00:00.000000,0.00535202,0.02515164,0.11092683,1,4,20,0,2,10,0.00275195,0.01296744,0.05678212,0.31219014,0.50308250,0.66046570
48035,0,USTexasBosque,Texas,Bosque,2021-01-05 09:38:41.715082,2020-03-21 00:00:00.000000,0.00568393,0.02675037,0.11751951,1,4,21,0,2,11,0.00286999,0.01402502,0.06156259,0.30634515,0.48491417,0.65466357
