FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-09 00:00:00.000000,0.00220531,0.01097379,0.08188917,0,0,5,0,0,3,0.00098668,0.00683683,0.04280398,0.39513775,0.54527402,0.78019154
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-10 00:00:00.000000,0.00254398,0.01204148,0.09084506,0,0,6,0,0,2,0.00106650,0.00680414,0.04136088,0.39513763,0.54527347,0.78016328
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-11 00:00:00.000000,0.00281113,0.01323472,0.09955349,0,0,7,0,0,2,0.00112064,0.00678128,0.04192922,0.39513728,0.54527255,0.78011766
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-12 00:00:00.000000,0.00306711,0.01457519,0.10825799,0,1,7,0,0,3,0.00120045,0.00711135,0.04380404,0.39513630,0.54527105,0.78003366
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-13 00:00:00.000000,0.00331282,0.01595277,0.11711064,0,1,8,0,0,3,0.00137789,0.00775680,0.04655312,0.39513332,0.54526854,0.77985248
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-14 00:00:00.000000,0.00358174,0.01782888,0.12631344,0,1,8,0,0,3,0.00157913,0.00849735,0.04991588,0.39512378,0.54504909,0.77940223
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-15 00:00:00.000000,0.00388674,0.02011208,0.13596163,0,1,9,0,0,3,0.00173902,0.00940551,0.05436762,0.39509200,0.54388521,0.77817213
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-16 00:00:00.000000,0.00420980,0.02221512,0.14611534,0,1,10,0,0,4,0.00186422,0.01047290,0.06051518,0.39041660,0.54040737,0.77465233
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-17 00:00:00.000000,0.00455337,0.02447012,0.15910479,0,1,11,0,0,4,0.00199925,0.01159771,0.06708261,0.38110526,0.53823390,0.76456157
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-18 00:00:00.000000,0.00491988,0.02634758,0.16808412,0,1,11,0,0,5,0.00214332,0.01278855,0.07410586,0.36845252,0.53124366,0.73731873
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-19 00:00:00.000000,0.00531317,0.02881369,0.17951538,0,2,12,0,1,5,0.00231859,0.01422332,0.08156407,0.34932789,0.51313043,0.71679232
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-20 00:00:00.000000,0.00573544,0.03119019,0.19053947,0,2,13,0,1,6,0.00253852,0.01555830,0.08922707,0.31765966,0.50147924,0.70055694
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-21 00:00:00.000000,0.00618799,0.03355408,0.20065670,0,2,14,0,1,6,0.00277274,0.01696346,0.09642459,0.29678931,0.46237612,0.66140585
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-22 00:00:00.000000,0.00667277,0.03614369,0.20988864,0,2,14,0,1,7,0.00302352,0.01832655,0.10086975,0.28873184,0.44216559,0.65157360
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-23 00:00:00.000000,0.00719069,0.03960263,0.21858624,0,2,15,0,1,7,0.00329326,0.01972516,0.10438586,0.26626538,0.42884141,0.61821639
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-24 00:00:00.000000,0.00778027,0.04234516,0.22695867,0,3,16,0,1,7,0.00358426,0.02116555,0.11099816,0.25943624,0.41880564,0.61340105
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-25 00:00:00.000000,0.00844815,0.04512798,0.23481850,0,3,16,0,1,8,0.00389856,0.02265864,0.11431889,0.25315374,0.40354954,0.60512588
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-26 00:00:00.000000,0.00915843,0.04785754,0.23994299,0,3,17,0,1,8,0.00423757,0.02427546,0.11728591,0.24430012,0.38952605,0.58743508
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-27 00:00:00.000000,0.00961168,0.05040034,0.24461155,0,3,17,0,1,8,0.00457631,0.02582394,0.12005281,0.22130081,0.37860942,0.56258028
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-28 00:00:00.000000,0.00997754,0.05242982,0.24894653,0,3,17,0,1,8,0.00483300,0.02717369,0.12266845,0.21377741,0.36679943,0.54729701
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-29 00:00:00.000000,0.01033458,0.05373183,0.25030516,0,3,17,0,2,8,0.00506894,0.02849715,0.12467225,0.20956601,0.35307669,0.54755932
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-30 00:00:00.000000,0.01069746,0.05548716,0.25075855,0,3,17,0,2,8,0.00527529,0.02952687,0.12576293,0.18956958,0.34654729,0.54834255
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-03-31 00:00:00.000000,0.01131864,0.05667609,0.25045801,0,4,17,0,2,8,0.00547389,0.03033511,0.12619802,0.18777031,0.33761279,0.54837349
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-01 00:00:00.000000,0.01168627,0.05837048,0.24933149,0,4,17,0,2,8,0.00565612,0.03100956,0.12622725,0.19265802,0.32756393,0.54645821
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-02 00:00:00.000000,0.01203385,0.05972130,0.24728583,0,4,17,0,2,8,0.00587269,0.03161974,0.12601896,0.19377693,0.31662099,0.52698628
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-03 00:00:00.000000,0.01233545,0.06023124,0.24436954,0,4,17,0,2,8,0.00606930,0.03221129,0.12564752,0.18550566,0.30524814,0.45862151
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-04 00:00:00.000000,0.01258911,0.06182431,0.24136384,0,4,17,0,2,8,0.00625196,0.03292005,0.12513832,0.18018670,0.29024941,0.45738945
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-05 00:00:00.000000,0.01281672,0.06281932,0.23927525,0,4,16,0,2,8,0.00641878,0.03366660,0.12447844,0.17503042,0.27605831,0.43449555
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-06 00:00:00.000000,0.02413038,0.07678612,0.25743968,1,5,18,0,2,8,0.00657010,0.03470523,0.12362799,0.17205218,0.27121494,0.42991023
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-07 00:00:00.000000,0.03270208,0.09171163,0.27500303,2,6,19,0,2,9,0.00808932,0.03743776,0.12741081,0.17033493,0.25952932,0.41655804
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-08 00:00:00.000000,0.04158808,0.10605628,0.29272656,2,7,20,0,3,9,0.01127262,0.04288584,0.13384486,0.17126547,0.25498834,0.39991578
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-09 00:00:00.000000,0.05063938,0.11814497,0.31021554,3,8,22,1,3,10,0.01548504,0.04936834,0.14161771,0.16847754,0.24717401,0.37758498
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-10 00:00:00.000000,0.05976443,0.13401703,0.32708754,4,9,23,1,4,10,0.02036908,0.05683435,0.14985732,0.16255021,0.23856453,0.37542625
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-11 00:00:00.000000,0.06890429,0.14861336,0.34301081,4,10,24,1,4,11,0.02576739,0.06397049,0.16376315,0.15337694,0.23387732,0.36223203
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-12 00:00:00.000000,0.07636370,0.16359878,0.37761103,5,11,26,2,5,12,0.03045300,0.07217209,0.17902745,0.14763139,0.23208043,0.35391839
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-13 00:00:00.000000,0.08858341,0.17752659,0.39676706,6,12,28,2,5,13,0.03441056,0.08038972,0.19444090,0.14547919,0.22712376,0.34695683
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-14 00:00:00.000000,0.09629458,0.19149434,0.41409121,6,13,29,2,6,14,0.03867931,0.08704037,0.20247603,0.13644483,0.22540950,0.34618176
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-15 00:00:00.000000,0.10412873,0.20242541,0.42868869,7,14,30,3,6,15,0.04314180,0.09371967,0.21411574,0.13437053,0.21691686,0.29732347
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-16 00:00:00.000000,0.11219130,0.21689023,0.44376528,7,15,31,3,7,15,0.04771501,0.10199445,0.22088889,0.13659506,0.21504392,0.28833509
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-17 00:00:00.000000,0.12134618,0.23164410,0.48115087,8,16,34,3,7,16,0.05234055,0.10904907,0.22630199,0.14028098,0.20780477,0.28555699
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-18 00:00:00.000000,0.13682585,0.24711135,0.51728000,9,17,36,4,8,16,0.05697475,0.11556681,0.23841249,0.13653538,0.20207979,0.28088772
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-19 00:00:00.000000,0.14799387,0.26325308,0.55174370,10,18,39,4,8,18,0.06157307,0.12316570,0.25890307,0.12986124,0.19942113,0.28001282
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-20 00:00:00.000000,0.14547216,0.26143204,0.54106993,10,18,38,4,9,19,0.06609897,0.13093073,0.27876424,0.12247945,0.19841603,0.27979253
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-21 00:00:00.000000,0.14285352,0.25701015,0.52802547,10,18,37,4,9,20,0.06884354,0.13596085,0.28953874,0.11550749,0.19545873,0.27949052
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-22 00:00:00.000000,0.14008302,0.25331954,0.51233539,9,17,36,4,9,20,0.07020913,0.13823736,0.29385102,0.10981813,0.18908182,0.27939012
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-23 00:00:00.000000,0.13856377,0.25262724,0.50652858,9,17,35,5,9,20,0.07161213,0.13963071,0.29345711,0.10770397,0.18376427,0.28095888
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-24 00:00:00.000000,0.13861076,0.25244450,0.51342746,9,17,36,5,9,20,0.07417657,0.14018886,0.28966880,0.10755694,0.18140246,0.27262116
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-25 00:00:00.000000,0.13751927,0.24939367,0.51948319,9,17,36,5,9,20,0.07641228,0.14033679,0.28348942,0.10760698,0.17892464,0.26905831
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-26 00:00:00.000000,0.13454367,0.24572603,0.52392284,9,17,37,5,9,20,0.07843235,0.13883976,0.28438170,0.10799488,0.17553569,0.27090240
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-27 00:00:00.000000,0.12957635,0.24083367,0.52587907,9,17,37,5,9,20,0.07733807,0.13974242,0.28830848,0.10843083,0.17200527,0.28282175
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-28 00:00:00.000000,0.12436425,0.23488202,0.52510523,8,16,37,5,9,20,0.07580546,0.13907862,0.29097371,0.10796388,0.17125490,0.29083767
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-29 00:00:00.000000,0.12181168,0.23077956,0.52195259,8,16,37,5,9,20,0.07293195,0.13699791,0.29194758,0.10791105,0.17087445,0.29416130
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-04-30 00:00:00.000000,0.11930809,0.22572675,0.51537472,8,16,36,4,9,20,0.06946596,0.13200981,0.29125979,0.10857557,0.16664647,0.29215703
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-05-01 00:00:00.000000,0.11683390,0.22181544,0.49734473,8,15,35,4,9,20,0.06610288,0.13049693,0.28918375,0.11030560,0.16376001,0.25956479
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-05-02 00:00:00.000000,0.11331022,0.21485621,0.47975702,8,15,34,4,9,19,0.06287848,0.12964436,0.27995905,0.11015316,0.15891394,0.25380443
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-05-03 00:00:00.000000,0.10965952,0.21021879,0.46254951,7,14,32,4,9,19,0.05977376,0.12730554,0.27644828,0.10935571,0.15624818,0.23754165
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-05-04 00:00:00.000000,0.10572748,0.20677016,0.44545614,7,14,31,4,8,19,0.05840381,0.12459851,0.27358598,0.10657259,0.15391325,0.24080643
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-05-05 00:00:00.000000,0.10145984,0.20051105,0.43149622,7,14,30,4,8,19,0.05769870,0.12187035,0.26990713,0.10367605,0.15388244,0.25492156
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-05-06 00:00:00.000000,0.09782144,0.19542388,0.42711312,6,13,30,4,8,18,0.05687136,0.12011179,0.26558740,0.10330480,0.15452179,0.25586273
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-05-07 00:00:00.000000,0.09184836,0.18755511,0.42264909,6,13,29,3,8,18,0.05593600,0.11621732,0.26071123,0.10533478,0.15447744,0.25441622
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-05-08 00:00:00.000000,0.08461515,0.18240190,0.41797807,6,12,29,3,8,18,0.05279933,0.11289021,0.25477616,0.10556775,0.15626844,0.25232921
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-05-09 00:00:00.000000,0.07950690,0.17655035,0.41298471,5,12,29,3,7,17,0.04867210,0.10894851,0.24898585,0.10442638,0.16092881,0.24924450
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-05-10 00:00:00.000000,0.07542633,0.17222868,0.40773867,5,12,28,3,7,17,0.04724177,0.10656140,0.24451896,0.10379972,0.16620125,0.24398827
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-05-11 00:00:00.000000,0.07178913,0.16623946,0.40251704,5,11,28,3,7,16,0.04472543,0.10319729,0.23911314,0.10477229,0.16372245,0.24570788
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-05-12 00:00:00.000000,0.06854207,0.16258228,0.39766775,4,11,28,3,7,16,0.04245273,0.09900671,0.23347597,0.10588962,0.16233771,0.25385129
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-05-13 00:00:00.000000,0.06560454,0.15876077,0.39283815,4,11,27,2,6,16,0.04041183,0.09613255,0.22804352,0.10345956,0.16299089,0.25162005
48047,0,USTexasBrooks,Texas,Brooks,2021-01-05 09:26:03.042251,2020-05-14 00:00:00.000000,0.06290323,0.15509149,0.38803201,4,11,27,2,6,16,0.03857369,0.09430955,0.23270039,0.10330939,0.16293235,0.24809502
