FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48059,0,USTexasCallahan,Texas,Callahan,2021-10-28 04:02:48.149980,2020-03-09 00:00:00.000000,0.00236640,0.01610923,0.05080952,0,2,7,0,1,4,0.00125397,0.00933168,0.03031989,0.31396231,0.47881106,0.66194391
48059,0,USTexasCallahan,Texas,Callahan,2021-10-28 04:02:48.149980,2020-03-10 00:00:00.000000,0.00253947,0.01759084,0.05440876,0,2,7,0,1,4,0.00134628,0.00925091,0.02974988,0.31396231,0.47879535,0.66191545
48059,0,USTexasCallahan,Texas,Callahan,2021-10-28 04:02:48.149980,2020-03-11 00:00:00.000000,0.00272660,0.01937010,0.05831274,0,2,8,0,1,4,0.00143114,0.00946716,0.03054289,0.31396231,0.47875704,0.66184794
48059,0,USTexasCallahan,Texas,Callahan,2021-10-28 04:02:48.149980,2020-03-12 00:00:00.000000,0.00292733,0.02062929,0.06176200,0,2,8,0,1,4,0.00153164,0.01050267,0.03160323,0.31396230,0.47866343,0.65982979
48059,0,USTexasCallahan,Texas,Callahan,2021-10-28 04:02:48.149980,2020-03-13 00:00:00.000000,0.00314175,0.02250099,0.06546671,0,3,9,0,1,4,0.00164457,0.01169220,0.03311699,0.31396230,0.47843406,0.65659078
48059,0,USTexasCallahan,Texas,Callahan,2021-10-28 04:02:48.149980,2020-03-14 00:00:00.000000,0.00337000,0.02470411,0.06936918,0,3,9,0,1,4,0.00176712,0.01290165,0.03491787,0.31396228,0.47309626,0.65656776
48059,0,USTexasCallahan,Texas,Callahan,2021-10-28 04:02:48.149980,2020-03-15 00:00:00.000000,0.00361143,0.02705887,0.07338970,0,3,10,0,1,5,0.00189827,0.01432191,0.03691287,0.31396224,0.46785643,0.65650281
48059,0,USTexasCallahan,Texas,Callahan,2021-10-28 04:02:48.149980,2020-03-16 00:00:00.000000,0.00386296,0.02853174,0.07741319,0,3,10,0,2,5,0.00203745,0.01560732,0.03903613,0.30890423,0.45993924,0.65184935
48059,0,USTexasCallahan,Texas,Callahan,2021-10-28 04:02:48.149980,2020-03-17 00:00:00.000000,0.00411592,0.03017520,0.08128842,0,4,11,0,2,6,0.00218352,0.01661506,0.04355048,0.30837187,0.45661007,0.63125783
48059,0,USTexasCallahan,Texas,Callahan,2021-10-28 04:02:48.149980,2020-03-18 00:00:00.000000,0.00435172,0.03134613,0.08921102,0,4,12,0,2,6,0.00233477,0.01740752,0.04857873,0.30299922,0.44989760,0.60474432
48059,0,USTexasCallahan,Texas,Callahan,2021-10-28 04:02:48.149980,2020-03-19 00:00:00.000000,0.00482661,0.03244404,0.09788996,0,4,13,0,2,7,0.00260326,0.01815249,0.05395776,0.28782961,0.43569960,0.60335653
48059,0,USTexasCallahan,Texas,Callahan,2021-10-28 04:02:48.149980,2020-03-20 00:00:00.000000,0.00488721,0.03433907,0.10580107,0,4,14,0,2,8,0.00290094,0.01879154,0.05958288,0.26350709,0.40418985,0.60018463
