FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48083,0,USTexasColeman,Texas,Coleman,2021-10-28 03:40:53.255869,2020-03-09 00:00:00.000000,0.00195645,0.01896627,0.06800597,0,1,5,0,0,3,0.00098720,0.01030039,0.04135745,0.38119488,0.49195376,0.64578292
48083,0,USTexasColeman,Texas,Coleman,2021-10-28 03:40:53.255869,2020-03-10 00:00:00.000000,0.00222643,0.02092208,0.07372237,0,1,6,0,0,3,0.00106877,0.01036557,0.04341227,0.38119487,0.49195373,0.64570386
48083,0,USTexasColeman,Texas,Coleman,2021-10-28 03:40:53.255869,2020-03-11 00:00:00.000000,0.00251895,0.02322252,0.07944438,0,1,6,0,0,3,0.00121914,0.01124420,0.04410679,0.38119484,0.49195353,0.64554875
48083,0,USTexasColeman,Texas,Coleman,2021-10-28 03:40:53.255869,2020-03-12 00:00:00.000000,0.00284135,0.02567819,0.08514791,0,2,6,0,1,3,0.00140656,0.01262079,0.04685325,0.38119473,0.49195233,0.64523927
48083,0,USTexasColeman,Texas,Coleman,2021-10-28 03:40:53.255869,2020-03-13 00:00:00.000000,0.00319923,0.02801036,0.09291119,0,2,7,0,1,4,0.00161961,0.01419843,0.05163494,0.38119427,0.49194492,0.64461568
48083,0,USTexasColeman,Texas,Coleman,2021-10-28 03:40:53.255869,2020-03-14 00:00:00.000000,0.00359759,0.03051436,0.10148372,0,2,8,0,1,4,0.00185543,0.01588532,0.05684197,0.38119198,0.49189915,0.64337077
48083,0,USTexasColeman,Texas,Coleman,2021-10-28 03:40:53.255869,2020-03-15 00:00:00.000000,0.00404125,0.03324918,0.11090509,0,2,9,0,1,5,0.00211486,0.01754542,0.06248286,0.38117962,0.49161690,0.64273823
48083,0,USTexasColeman,Texas,Coleman,2021-10-28 03:40:53.255869,2020-03-16 00:00:00.000000,0.00453512,0.03600621,0.12115700,0,2,9,0,1,5,0.00240030,0.01931063,0.06859438,0.38076882,0.48546370,0.64120312
48083,0,USTexasColeman,Texas,Coleman,2021-10-28 03:40:53.255869,2020-03-17 00:00:00.000000,0.00508419,0.03897095,0.13166434,0,3,10,0,1,6,0.00271481,0.02120311,0.07519712,0.37222507,0.47584722,0.63749329
48083,0,USTexasColeman,Texas,Coleman,2021-10-28 03:40:53.255869,2020-03-18 00:00:00.000000,0.00569383,0.04237042,0.13969489,0,3,11,0,1,6,0.00306184,0.02326224,0.08209586,0.33400228,0.45258723,0.62916558
48083,0,USTexasColeman,Texas,Coleman,2021-10-28 03:40:53.255869,2020-03-19 00:00:00.000000,0.00637005,0.04607532,0.14432709,0,3,11,0,2,7,0.00338631,0.02548208,0.08820039,0.31020390,0.43767766,0.61048384
48083,0,USTexasColeman,Texas,Coleman,2021-10-28 03:40:53.255869,2020-03-20 00:00:00.000000,0.00711987,0.04964324,0.14798006,0,4,12,0,2,7,0.00352125,0.02781412,0.09266604,0.29286072,0.41978317,0.60791905
48083,0,USTexasColeman,Texas,Coleman,2021-10-28 03:40:53.255869,2020-03-21 00:00:00.000000,0.00772092,0.05295522,0.15859383,0,4,12,0,2,7,0.00366225,0.02987640,0.09603227,0.28952044,0.39994534,0.60312094
48083,0,USTexasColeman,Texas,Coleman,2021-10-28 03:40:53.255869,2020-03-22 00:00:00.000000,0.00803672,0.05586519,0.17072842,0,4,13,0,2,8,0.00380947,0.03179533,0.09884754,0.28374893,0.38006355,0.55689501
48083,0,USTexasColeman,Texas,Coleman,2021-10-28 03:40:53.255869,2020-03-23 00:00:00.000000,0.00836222,0.05822324,0.18097629,0,4,14,0,2,8,0.00396308,0.03361331,0.10438870,0.27744499,0.35137019,0.53575258
48083,0,USTexasColeman,Texas,Coleman,2021-10-28 03:40:53.255869,2020-03-24 00:00:00.000000,0.00869223,0.06041351,0.18792746,0,4,15,0,2,9,0.00412276,0.03597030,0.11156724,0.25180867,0.33844648,0.52456707
