FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-09 00:00:00.000000,0.01703554,0.07470390,0.20223291,0,3,9,0,1,5,0.00570062,0.03280993,0.12038110,0.31249920,0.40187744,0.54515528
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-10 00:00:00.000000,0.02365157,0.09454855,0.22536723,1,4,10,0,1,6,0.00805898,0.03977459,0.12793604,0.31249832,0.40182854,0.54502836
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-11 00:00:00.000000,0.02940002,0.11066913,0.26563608,1,5,12,0,2,6,0.01265972,0.05239460,0.13961807,0.31249524,0.40169701,0.54479829
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-12 00:00:00.000000,0.03589496,0.13021882,0.29774129,1,6,14,0,2,7,0.01633647,0.06246820,0.15495332,0.31248423,0.40134258,0.54438093
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-13 00:00:00.000000,0.04452548,0.15368902,0.32827336,2,7,15,0,3,8,0.01966301,0.07535449,0.17279761,0.31244408,0.40038884,0.54362409
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-14 00:00:00.000000,0.05408642,0.17525593,0.36535855,2,8,17,1,4,9,0.02467352,0.08661520,0.19235269,0.31220510,0.39709233,0.54225427
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-15 00:00:00.000000,0.06470741,0.19761068,0.43433188,3,9,20,1,4,10,0.03026045,0.10054656,0.21421114,0.31169956,0.39613664,0.53978618
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-16 00:00:00.000000,0.08044187,0.22515910,0.49056536,3,10,23,1,5,12,0.03644909,0.11474325,0.25698629,0.30164382,0.38744237,0.53537987
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-17 00:00:00.000000,0.09521032,0.25135016,0.51652057,4,12,24,2,6,13,0.04813242,0.13330937,0.29106407,0.26197629,0.37788227,0.52767540
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-18 00:00:00.000000,0.11020380,0.27399843,0.53791106,5,13,25,2,7,15,0.05805325,0.15073727,0.32387171,0.22860287,0.36116128,0.52375390
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-19 00:00:00.000000,0.13371767,0.30407633,0.55342006,6,14,26,3,7,16,0.07107754,0.16545747,0.35362118,0.21920846,0.33666011,0.50702038
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-20 00:00:00.000000,0.16084681,0.33013680,0.57667408,7,15,27,4,8,17,0.08811628,0.18517635,0.36007729,0.20084236,0.31717614,0.47421241
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-21 00:00:00.000000,0.17671561,0.35944605,0.61320648,8,17,29,5,9,17,0.10644520,0.20299982,0.36981410,0.18589798,0.29487967,0.46954960
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-22 00:00:00.000000,0.18238421,0.38321221,0.67215908,8,18,32,5,10,18,0.11592321,0.22184274,0.39339408,0.17884688,0.27990622,0.42235365
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-23 00:00:00.000000,0.19426392,0.41272548,0.75353160,9,19,36,5,11,19,0.12030332,0.24095518,0.41394656,0.17707627,0.26794285,0.39051695
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-24 00:00:00.000000,0.20491305,0.43629415,0.82815082,9,20,39,6,12,20,0.12706514,0.25760050,0.43673286,0.17534936,0.25393784,0.36284831
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-25 00:00:00.000000,0.22617775,0.45915358,0.81815766,10,22,39,6,12,23,0.13425448,0.26860245,0.48485298,0.17185276,0.24135129,0.36127639
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-26 00:00:00.000000,0.25327925,0.47103035,0.79684195,12,22,38,6,13,25,0.14119395,0.28398306,0.53227721,0.16461463,0.23233675,0.36084335
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-27 00:00:00.000000,0.25484143,0.48299720,0.77432946,12,23,37,7,14,26,0.15609327,0.29819256,0.54564698,0.15213287,0.22132958,0.34963330
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-28 00:00:00.000000,0.25436278,0.49077279,0.78503634,12,23,37,7,14,25,0.16297429,0.30810001,0.53137976,0.14361418,0.20914353,0.33213604
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-29 00:00:00.000000,0.25863021,0.50545681,0.83403410,12,24,40,7,15,24,0.16347105,0.31868061,0.51589251,0.13137631,0.19474613,0.31665978
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-30 00:00:00.000000,0.26315656,0.50128538,0.83347210,12,24,39,8,15,25,0.17168627,0.32341006,0.52470259,0.11998418,0.18433674,0.30428935
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-03-31 00:00:00.000000,0.26775238,0.48891322,0.85058184,12,23,40,8,15,26,0.17713298,0.32290990,0.54352701,0.11857019,0.17771275,0.29513689
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-04-01 00:00:00.000000,0.26884947,0.46932589,0.85164130,12,22,40,8,15,26,0.18128816,0.31861211,0.55691311,0.11346771,0.17522391,0.28815015
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-04-02 00:00:00.000000,0.25739076,0.46001755,0.83191724,12,22,39,8,14,26,0.17344235,0.31065701,0.56145221,0.10641799,0.17056795,0.28341895
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-04-03 00:00:00.000000,0.24099220,0.44371470,0.82425114,11,21,39,7,14,26,0.16320660,0.30641178,0.55363870,0.09593089,0.16394532,0.27907050
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-04-04 00:00:00.000000,0.22552020,0.43065920,0.82106771,10,20,39,7,14,25,0.15323786,0.29593015,0.53498330,0.09135933,0.16137379,0.27321406
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-04-05 00:00:00.000000,0.21114425,0.41110926,0.81402948,10,19,39,6,13,25,0.14370453,0.28563078,0.53991257,0.08988496,0.15663480,0.26471279
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-04-06 00:00:00.000000,0.19642421,0.39167175,0.78459942,9,18,37,6,13,25,0.13472569,0.27363750,0.54190036,0.08918858,0.14905834,0.25150078
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-04-07 00:00:00.000000,0.17951858,0.37307565,0.78757824,8,17,37,6,12,25,0.12647499,0.26404943,0.53425570,0.08866045,0.14128789,0.23631982
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-04-08 00:00:00.000000,0.16398004,0.35250040,0.78439025,7,16,37,5,12,24,0.11882145,0.25525864,0.52112067,0.08830919,0.14037578,0.22119172
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-04-09 00:00:00.000000,0.14977427,0.33499994,0.77028405,7,16,36,5,11,25,0.10867140,0.24329250,0.52177495,0.08799270,0.13708904,0.21282771
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-04-10 00:00:00.000000,0.13818324,0.31642909,0.74740124,6,15,35,4,11,24,0.09934636,0.23173123,0.51719425,0.08756698,0.13453336,0.20351426
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-04-11 00:00:00.000000,0.12800342,0.29904809,0.71986744,6,14,34,4,10,24,0.09095090,0.21995319,0.50637375,0.08345774,0.12653805,0.19258779
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-04-12 00:00:00.000000,0.11836111,0.28382169,0.69053409,5,13,33,4,10,23,0.08445646,0.20871223,0.49265069,0.08124542,0.12500069,0.19349395
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-04-13 00:00:00.000000,0.10933615,0.26486381,0.66092577,5,12,31,3,9,22,0.07819503,0.19590437,0.47801939,0.08029341,0.12420890,0.18643824
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-04-14 00:00:00.000000,0.10026336,0.24929112,0.63175899,4,11,30,3,8,22,0.07229804,0.18424888,0.46290927,0.07990856,0.12222577,0.18730297
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-04-15 00:00:00.000000,0.09111562,0.23325124,0.60307448,4,11,28,3,8,21,0.06680768,0.17460219,0.44745680,0.07975911,0.11920130,0.18905249
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-04-16 00:00:00.000000,0.08010831,0.21813301,0.57923677,3,10,27,2,7,20,0.06172575,0.16289320,0.43188561,0.07743111,0.11713395,0.19094941
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-04-17 00:00:00.000000,0.07266395,0.20389243,0.55660996,3,9,26,2,7,19,0.05505111,0.15165311,0.41636269,0.07778859,0.11739079,0.19656338
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-04-18 00:00:00.000000,0.06469081,0.19266090,0.53463080,3,9,25,2,6,19,0.04858032,0.14209278,0.40101051,0.07475019,0.11291980,0.20417321
48103,0,USTexasCrane,Texas,Crane,2021-12-08 14:08:00.605557,2020-04-19 00:00:00.000000,0.05750280,0.17808403,0.51323179,2,8,24,2,6,18,0.04419597,0.13444173,0.38591796,0.06906775,0.10985094,0.19576511
