FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48111,0,USTexasDallam,Texas,Dallam,2021-01-29 18:12:07.935306,2020-03-09 00:00:00.000000,0.00259215,0.01568623,0.09758226,0,1,7,0,0,4,0.00133312,0.00904723,0.05965275,0.36778410,0.50743596,0.65593009
48111,0,USTexasDallam,Texas,Dallam,2021-01-29 18:12:07.935306,2020-03-10 00:00:00.000000,0.00294875,0.01739126,0.10901905,0,1,7,0,0,4,0.00152124,0.00955437,0.06189042,0.36777276,0.50734574,0.65592463
48111,0,USTexasDallam,Texas,Dallam,2021-01-29 18:12:07.935306,2020-03-11 00:00:00.000000,0.00332483,0.01928013,0.12071211,0,1,8,0,0,4,0.00175723,0.01055259,0.06701099,0.36774940,0.50719997,0.65591542
48111,0,USTexasDallam,Texas,Dallam,2021-01-29 18:12:07.935306,2020-03-12 00:00:00.000000,0.00374471,0.02125986,0.12761332,0,1,9,0,0,5,0.00203261,0.01149487,0.07371035,0.36770067,0.50696495,0.65589945
48111,0,USTexasDallam,Texas,Dallam,2021-01-29 18:12:07.935306,2020-03-13 00:00:00.000000,0.00421655,0.02333747,0.13529700,0,1,9,0,0,5,0.00231927,0.01260272,0.08155500,0.36761660,0.50397088,0.65586883
48111,0,USTexasDallam,Texas,Dallam,2021-01-29 18:12:07.935306,2020-03-14 00:00:00.000000,0.00474765,0.02580158,0.14374740,0,1,10,0,1,6,0.00259690,0.01394866,0.09046361,0.36745368,0.50169817,0.65579019
48111,0,USTexasDallam,Texas,Dallam,2021-01-29 18:12:07.935306,2020-03-15 00:00:00.000000,0.00534492,0.02839677,0.15296448,0,2,11,0,1,7,0.00291432,0.01541462,0.09997750,0.36694507,0.49775971,0.65546790
48111,0,USTexasDallam,Texas,Dallam,2021-01-29 18:12:07.935306,2020-03-16 00:00:00.000000,0.00595433,0.03148030,0.17007292,0,2,12,0,1,7,0.00327423,0.01719566,0.10615698,0.36497871,0.48922748,0.65362300
48111,0,USTexasDallam,Texas,Dallam,2021-01-29 18:12:07.935306,2020-03-17 00:00:00.000000,0.00644394,0.03471270,0.18535047,0,2,13,0,1,8,0.00367996,0.01925958,0.11286591,0.35224463,0.47527311,0.64237005
48111,0,USTexasDallam,Texas,Dallam,2021-01-29 18:12:07.935306,2020-03-18 00:00:00.000000,0.00708038,0.03804034,0.19534665,0,2,14,0,1,8,0.00413392,0.02113450,0.11986775,0.29303835,0.46939613,0.61340680
