FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-09 00:00:00.000000,0.00289861,0.00893263,0.03180986,0,1,5,0,0,4,0.00133014,0.00530148,0.02231514,0.34704583,0.48321957,0.67676491
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-10 00:00:00.000000,0.00326974,0.00973190,0.03490833,0,1,6,0,1,4,0.00154994,0.00545341,0.02203554,0.34704284,0.48321310,0.67665179
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-11 00:00:00.000000,0.00369379,0.01070993,0.03810934,0,1,7,0,1,4,0.00186111,0.00585001,0.02281120,0.34703703,0.48319535,0.67644232
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-12 00:00:00.000000,0.00417793,0.01181483,0.04147819,0,2,7,0,1,4,0.00208989,0.00617828,0.02418569,0.34702570,0.48314560,0.67605466
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-13 00:00:00.000000,0.00442357,0.01276767,0.04566776,0,2,8,0,1,4,0.00221496,0.00687050,0.02595905,0.34700367,0.48300415,0.67533828
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-14 00:00:00.000000,0.00462592,0.01414507,0.05128879,0,2,9,0,1,5,0.00235714,0.00764694,0.02804884,0.34696090,0.48259853,0.67401795
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-15 00:00:00.000000,0.00484345,0.01533369,0.05658528,0,2,10,0,1,5,0.00250699,0.00829114,0.03042602,0.34687822,0.47779758,0.67159670
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-16 00:00:00.000000,0.01065151,0.02237091,0.06488253,1,4,12,0,1,6,0.00266088,0.00895662,0.03396392,0.34671958,0.47299196,0.66719747
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-17 00:00:00.000000,0.01488828,0.02971047,0.07697529,2,5,14,0,2,7,0.00481349,0.01190064,0.03869602,0.33370260,0.46720334,0.66116227
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-18 00:00:00.000000,0.01912583,0.03719568,0.09529855,3,6,17,1,2,8,0.00797651,0.01596766,0.04386328,0.32752548,0.45149956,0.65211739
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-19 00:00:00.000000,0.02212153,0.04597529,0.10894625,4,8,20,1,3,9,0.01032256,0.01992494,0.04937534,0.30793071,0.43645520,0.62205814
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-20 00:00:00.000000,0.02734679,0.05235197,0.12247110,5,9,22,2,4,10,0.01259688,0.02426697,0.05869860,0.28466564,0.41720590,0.60379309
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-21 00:00:00.000000,0.03166723,0.05877434,0.13876989,5,10,25,2,5,12,0.01451830,0.02949159,0.06763016,0.27695040,0.39709818,0.57096984
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-22 00:00:00.000000,0.03428236,0.06664796,0.15822179,6,12,29,3,6,14,0.01738829,0.03464824,0.07990324,0.27307232,0.37140542,0.55092956
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-23 00:00:00.000000,0.04349415,0.07812346,0.17587979,8,14,32,3,7,17,0.01997003,0.03929490,0.09193660,0.25493541,0.36064944,0.50961916
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-24 00:00:00.000000,0.05016633,0.09008676,0.19963542,9,16,37,4,8,19,0.02357014,0.04579918,0.10251313,0.23809690,0.34784823,0.48161882
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-25 00:00:00.000000,0.05670301,0.10103868,0.21902258,10,18,40,5,9,22,0.02700816,0.05355291,0.11957209,0.23496532,0.34315973,0.47902036
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-26 00:00:00.000000,0.06407786,0.11144955,0.23441009,11,20,43,5,11,25,0.03175626,0.06045022,0.13767887,0.21632608,0.32525499,0.47884642
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-27 00:00:00.000000,0.07123657,0.12141788,0.25483348,13,22,47,6,12,28,0.03698339,0.06848583,0.15171835,0.21275789,0.31630044,0.47848594
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-28 00:00:00.000000,0.07850618,0.13470504,0.27542060,14,24,51,7,14,30,0.04235391,0.07713804,0.16605679,0.18808993,0.29331772,0.47716908
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-29 00:00:00.000000,0.08577387,0.14412434,0.29242989,15,26,54,8,15,33,0.04565349,0.08276666,0.17995667,0.16925208,0.28134466,0.44940439
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-30 00:00:00.000000,0.09254749,0.15561866,0.30484325,17,28,56,9,16,35,0.04890147,0.08892755,0.19124648,0.16731866,0.27172994,0.41793490
48117,0,USTexasDeafSmith,Texas,Deaf Smith,2021-10-14 07:19:53.017155,2020-03-31 00:00:00.000000,0.09517955,0.16702856,0.32853090,17,30,60,9,17,37,0.05337434,0.09622204,0.20059790,0.16626130,0.26335840,0.39591345
