FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48139,0,USTexasEllis,Texas,Ellis,2021-09-02 01:31:30.311365,2020-03-09 00:00:00.000000,0.00052868,0.00133635,0.00301849,0,2,5,0,1,2,0.00012300,0.00054913,0.00140108,0.29654096,0.44285091,0.58685747
48139,0,USTexasEllis,Texas,Ellis,2021-09-02 01:31:30.311365,2020-03-10 00:00:00.000000,0.00074799,0.00184857,0.00414994,1,3,7,0,1,2,0.00021979,0.00069177,0.00153901,0.29654095,0.44209709,0.58684305
48139,0,USTexasEllis,Texas,Ellis,2021-09-02 01:31:30.311365,2020-03-11 00:00:00.000000,0.00098609,0.00246769,0.00496213,1,4,9,0,1,3,0.00034457,0.00089670,0.00192957,0.29654091,0.43947843,0.58681059
48139,0,USTexasEllis,Texas,Ellis,2021-09-02 01:31:30.311365,2020-03-12 00:00:00.000000,0.00124938,0.00310647,0.00621216,2,5,11,0,2,4,0.00047945,0.00118715,0.00245959,0.29654081,0.43898351,0.58673815
48139,0,USTexasEllis,Texas,Ellis,2021-09-02 01:31:30.311365,2020-03-13 00:00:00.000000,0.00154333,0.00379293,0.00777184,2,7,14,1,2,5,0.00062022,0.00153043,0.00306184,0.29654055,0.43834919,0.58657949
48139,0,USTexasEllis,Texas,Ellis,2021-09-02 01:31:30.311365,2020-03-14 00:00:00.000000,0.00187255,0.00455352,0.00943467,3,8,17,1,3,6,0.00078382,0.00194262,0.00373163,0.29653985,0.43559354,0.57607044
48139,0,USTexasEllis,Texas,Ellis,2021-09-02 01:31:30.311365,2020-03-15 00:00:00.000000,0.00224027,0.00524745,0.01120597,4,9,20,1,4,8,0.00097082,0.00242170,0.00462895,0.29653799,0.43200049,0.55408306
48139,0,USTexasEllis,Texas,Ellis,2021-09-02 01:31:30.311365,2020-03-16 00:00:00.000000,0.00299214,0.00628510,0.01227775,5,11,22,2,5,10,0.00118239,0.00292901,0.00567848,0.29653689,0.42714734,0.55283909
48139,0,USTexasEllis,Texas,Ellis,2021-09-02 01:31:30.311365,2020-03-17 00:00:00.000000,0.00376735,0.00725878,0.01343135,6,13,24,2,6,12,0.00151470,0.00346381,0.00661513,0.29153775,0.41512616,0.55012459
48139,0,USTexasEllis,Texas,Ellis,2021-09-02 01:31:30.311365,2020-03-18 00:00:00.000000,0.00453511,0.00815174,0.01457690,8,15,26,3,7,14,0.00201917,0.00401323,0.00764025,0.27834483,0.40053797,0.55009546
48139,0,USTexasEllis,Texas,Ellis,2021-09-02 01:31:30.311365,2020-03-19 00:00:00.000000,0.00517902,0.00921428,0.01669463,9,17,30,4,8,16,0.00256437,0.00453783,0.00901967,0.25713149,0.38052849,0.54997740
48139,0,USTexasEllis,Texas,Ellis,2021-09-02 01:31:30.311365,2020-03-20 00:00:00.000000,0.00584453,0.01040691,0.01914153,10,19,35,5,9,19,0.00293629,0.00527430,0.01046061,0.23489612,0.35689608,0.54924689
48139,0,USTexasEllis,Texas,Ellis,2021-09-02 01:31:30.311365,2020-03-21 00:00:00.000000,0.00653248,0.01169621,0.02143283,12,21,39,6,11,22,0.00350469,0.00615667,0.01191956,0.22473734,0.34227194,0.53968305
48139,0,USTexasEllis,Texas,Ellis,2021-09-02 01:31:30.311365,2020-03-22 00:00:00.000000,0.00724437,0.01275121,0.02345744,13,23,43,7,12,25,0.00401848,0.00682220,0.01353415,0.21314767,0.30776004,0.46139135
48139,0,USTexasEllis,Texas,Ellis,2021-09-02 01:31:30.311365,2020-03-23 00:00:00.000000,0.00795566,0.01416546,0.02483995,14,26,45,8,13,27,0.00451998,0.00751246,0.01509784,0.19952895,0.29356977,0.41332955
