FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48159,0,USTexasFranklin,Texas,Franklin,2021-11-10 10:21:56.951493,2020-03-09 00:00:00.000000,0.00229505,0.02762135,0.08936393,0,2,9,0,1,5,0.00110990,0.01466825,0.04892427,0.37815457,0.49403470,0.66216275
48159,0,USTexasFranklin,Texas,Franklin,2021-11-10 10:21:56.951493,2020-03-10 00:00:00.000000,0.00252566,0.02924550,0.09202223,0,3,9,0,1,4,0.00118630,0.01474879,0.04649089,0.37815388,0.49396367,0.66216274
48159,0,USTexasFranklin,Texas,Franklin,2021-11-10 10:21:56.951493,2020-03-11 00:00:00.000000,0.00276180,0.03063691,0.09527397,0,3,10,0,1,5,0.00128849,0.01494681,0.04845569,0.37815231,0.49385338,0.66216272
48159,0,USTexasFranklin,Texas,Franklin,2021-11-10 10:21:56.951493,2020-03-12 00:00:00.000000,0.00294762,0.03181774,0.09884995,0,3,10,0,1,5,0.00143295,0.01589699,0.05163491,0.37814871,0.49368148,0.66216262
48159,0,USTexasFranklin,Texas,Franklin,2021-11-10 10:21:56.951493,2020-03-13 00:00:00.000000,0.00313343,0.03445338,0.10263695,0,3,11,0,1,5,0.00156753,0.01662848,0.05428014,0.37814050,0.49341254,0.66216224
48159,0,USTexasFranklin,Texas,Franklin,2021-11-10 10:21:56.951493,2020-03-14 00:00:00.000000,0.00332051,0.03637241,0.11035515,0,3,11,0,1,6,0.00169016,0.01819072,0.05842778,0.37812179,0.49299040,0.66216065
48159,0,USTexasFranklin,Texas,Franklin,2021-11-10 10:21:56.951493,2020-03-15 00:00:00.000000,0.00351020,0.03889541,0.11837737,0,4,12,0,2,6,0.00181076,0.01962954,0.06104325,0.37807914,0.49232636,0.66215361
48159,0,USTexasFranklin,Texas,Franklin,2021-11-10 10:21:56.951493,2020-03-16 00:00:00.000000,0.01009750,0.04943829,0.13886372,1,5,14,0,2,6,0.00193115,0.02085559,0.06341918,0.37798216,0.49128195,0.66212171
48159,0,USTexasFranklin,Texas,Franklin,2021-11-10 10:21:56.951493,2020-03-17 00:00:00.000000,0.01463019,0.05873306,0.15865198,1,6,17,0,2,7,0.00467042,0.02439801,0.07216673,0.36828686,0.47492253,0.66197484
48159,0,USTexasFranklin,Texas,Franklin,2021-11-10 10:21:56.951493,2020-03-18 00:00:00.000000,0.01963417,0.06888380,0.18427299,2,7,19,0,3,8,0.00724303,0.02955583,0.08382561,0.33522292,0.46492640,0.62941615
48159,0,USTexasFranklin,Texas,Franklin,2021-11-10 10:21:56.951493,2020-03-19 00:00:00.000000,0.02498726,0.08161915,0.20521995,2,8,22,1,3,10,0.01032543,0.03499264,0.09453725,0.31722837,0.45009700,0.62631263
48159,0,USTexasFranklin,Texas,Franklin,2021-11-10 10:21:56.951493,2020-03-20 00:00:00.000000,0.03036752,0.09270418,0.22767358,3,9,24,1,4,11,0.01303391,0.04186968,0.10516750,0.30390254,0.42923875,0.61361320
48159,0,USTexasFranklin,Texas,Franklin,2021-11-10 10:21:56.951493,2020-03-21 00:00:00.000000,0.03450884,0.10466352,0.25407022,3,11,27,1,5,12,0.01581512,0.04922180,0.11567975,0.27628840,0.41012923,0.59129664
