FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48185,0,USTexasGrimes,Texas,Grimes,2021-11-10 10:15:47.795595,2020-03-09 00:00:00.000000,0.00424747,0.00958641,0.02803690,1,2,8,0,1,3,0.00052104,0.00429909,0.01301765,0.33337683,0.43557499,0.53929198
48185,0,USTexasGrimes,Texas,Grimes,2021-11-10 10:15:47.795595,2020-03-10 00:00:00.000000,0.00599670,0.01263842,0.03280093,1,3,9,0,1,4,0.00249427,0.00594511,0.01697805,0.33337678,0.43557122,0.53915638
48185,0,USTexasGrimes,Texas,Grimes,2021-11-10 10:15:47.795595,2020-03-11 00:00:00.000000,0.00784706,0.01622457,0.03803592,2,4,10,1,2,6,0.00407723,0.00819376,0.02163151,0.33337642,0.43556000,0.53893606
48185,0,USTexasGrimes,Texas,Grimes,2021-11-10 10:15:47.795595,2020-03-12 00:00:00.000000,0.01031092,0.02001270,0.04677339,2,5,13,1,3,7,0.00551247,0.01071348,0.02663546,0.33337201,0.43552724,0.53856087
48185,0,USTexasGrimes,Texas,Grimes,2021-11-10 10:15:47.795595,2020-03-13 00:00:00.000000,0.01299812,0.02369278,0.05351740,3,6,15,1,3,9,0.00685025,0.01346652,0.03186781,0.33331507,0.43382398,0.53721074
48185,0,USTexasGrimes,Texas,Grimes,2021-11-10 10:15:47.795595,2020-03-14 00:00:00.000000,0.01551281,0.02817041,0.06080149,4,8,17,2,4,10,0.00861200,0.01589650,0.03663669,0.33257472,0.42887812,0.53685750
48185,0,USTexasGrimes,Texas,Grimes,2021-11-10 10:15:47.795595,2020-03-15 00:00:00.000000,0.01813503,0.03287230,0.06863406,5,9,19,3,5,12,0.01059140,0.01902523,0.04179287,0.25701096,0.42379551,0.53572371
48185,0,USTexasGrimes,Texas,Grimes,2021-11-10 10:15:47.795595,2020-03-16 00:00:00.000000,0.02254678,0.03927291,0.07763886,6,11,22,3,6,14,0.01242938,0.02253124,0.04905371,0.21536045,0.42343902,0.53649127
48185,0,USTexasGrimes,Texas,Grimes,2021-11-10 10:15:47.795595,2020-03-17 00:00:00.000000,0.02518305,0.04483144,0.08675305,7,12,25,4,7,15,0.01514888,0.02627918,0.05389152,0.20005621,0.41967723,0.53711140
48185,0,USTexasGrimes,Texas,Grimes,2021-11-10 10:15:47.795595,2020-03-18 00:00:00.000000,0.02783994,0.05144576,0.09575644,8,14,27,4,8,17,0.01728866,0.03068089,0.06009572,0.19271757,0.40199340,0.52644299
