FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-09 00:00:00.000000,0.00259471,0.01734086,0.05908231,0,1,5,0,0,2,0.00151176,0.00945758,0.03165358,0.36798172,0.49873104,0.75968197
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-10 00:00:00.000000,0.00289063,0.01890429,0.05914337,0,1,5,0,0,2,0.00154480,0.00974744,0.03247776,0.36798171,0.49873078,0.75957019
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-11 00:00:00.000000,0.00320652,0.02043507,0.06436029,0,1,5,0,0,3,0.00174352,0.01015124,0.03458815,0.36798167,0.49873022,0.75939044
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-12 00:00:00.000000,0.00354918,0.02210215,0.07203612,0,1,6,0,0,3,0.00194714,0.01105034,0.03615758,0.36798157,0.49872850,0.75910156
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-13 00:00:00.000000,0.00392331,0.02391207,0.07982408,0,2,7,0,1,3,0.00216419,0.01196156,0.03924994,0.36798133,0.49872186,0.75863772
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-14 00:00:00.000000,0.00433306,0.02586697,0.08521063,0,2,7,0,1,3,0.00239912,0.01288534,0.04243222,0.36798064,0.49826133,0.75789406
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-15 00:00:00.000000,0.00478316,0.02881596,0.09064674,0,2,8,0,1,4,0.00265519,0.01439150,0.04613387,0.36797850,0.49420289,0.75670449
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-16 00:00:00.000000,0.00527856,0.03111345,0.09593341,0,2,8,0,1,4,0.00293639,0.01568549,0.05026660,0.36797141,0.48657817,0.75480843
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-17 00:00:00.000000,0.00582301,0.03378420,0.10066439,0,3,8,0,1,4,0.00324431,0.01690466,0.05359759,0.34598412,0.48159854,0.75155710
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-18 00:00:00.000000,0.00630269,0.03710114,0.10950085,0,3,9,0,1,5,0.00357908,0.01833118,0.05673516,0.31986367,0.46886049,0.73415579
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-19 00:00:00.000000,0.00660117,0.04057755,0.11947489,0,3,10,0,1,5,0.00372864,0.01997376,0.06025417,0.30727737,0.45013498,0.70679280
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-20 00:00:00.000000,0.00691209,0.04419770,0.13175184,0,3,11,0,1,5,0.00386355,0.02184565,0.06597581,0.30567824,0.44221398,0.67588292
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-21 00:00:00.000000,0.00723098,0.04699653,0.14537674,0,4,12,0,2,6,0.00400345,0.02383390,0.07185902,0.27456450,0.41637119,0.63795764
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-22 00:00:00.000000,0.00755102,0.05033504,0.15969703,0,4,14,0,2,7,0.00414693,0.02595128,0.07887965,0.26060432,0.40177608,0.61835002
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-23 00:00:00.000000,0.02191734,0.06130701,0.18108539,1,5,16,0,2,7,0.00428700,0.02817617,0.08567918,0.25112374,0.39410653,0.60200263
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-24 00:00:00.000000,0.03322058,0.07524118,0.20252093,2,6,18,0,2,8,0.00892562,0.03160151,0.09360958,0.24182398,0.38824668,0.58911566
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-25 00:00:00.000000,0.04332703,0.08744037,0.22388976,3,7,20,1,3,9,0.01426884,0.03772718,0.10172808,0.23584335,0.38181463,0.57861637
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-26 00:00:00.000000,0.05467571,0.09954074,0.24500732,4,8,21,1,4,10,0.02009483,0.04518372,0.11245339,0.22502073,0.35671712,0.56571627
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-27 00:00:00.000000,0.06206157,0.11077644,0.26617950,5,9,23,2,4,11,0.02519541,0.05164545,0.12414787,0.21446095,0.33778279,0.54200795
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-28 00:00:00.000000,0.06752185,0.12113957,0.28781807,6,10,25,2,5,12,0.02878713,0.05850819,0.13607972,0.20596311,0.31422757,0.51253143
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-29 00:00:00.000000,0.07279318,0.13578008,0.31026186,6,12,27,2,5,13,0.03140312,0.06629340,0.15441664,0.19105388,0.29481088,0.48912068
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-30 00:00:00.000000,0.09165633,0.15208015,0.33427418,8,13,29,3,6,15,0.03403612,0.07419584,0.17210403,0.18325486,0.28753529,0.46722080
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-03-31 00:00:00.000000,0.11833844,0.16635751,0.35418842,10,14,31,3,7,16,0.04384473,0.08289288,0.18181370,0.17807142,0.27731271,0.44290634
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-04-01 00:00:00.000000,0.13022742,0.18052769,0.38460006,11,16,34,5,8,17,0.05633820,0.09267545,0.19234460,0.16958882,0.27215048,0.42551857
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-04-02 00:00:00.000000,0.13674509,0.19805115,0.39783601,12,17,35,5,9,18,0.06213704,0.10228591,0.20372034,0.15944620,0.25606222,0.42160385
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-04-03 00:00:00.000000,0.13935422,0.21034169,0.40066534,12,18,35,6,10,19,0.07072365,0.11212001,0.21947091,0.14096732,0.24848757,0.40579300
48237,0,USTexasJack,Texas,Jack,2021-10-28 03:43:21.803076,2020-04-04 00:00:00.000000,0.14163633,0.22990007,0.41481678,12,20,37,6,10,21,0.07509453,0.12148316,0.23573084,0.14018598,0.23708390,0.38855264
