FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48289,0,USTexasLeon,Texas,Leon,2021-01-05 08:21:26.107415,2020-03-09 00:00:00.000000,0.00452037,0.02373440,0.07672406,0,4,13,0,2,6,0.00258694,0.01312329,0.03810877,0.36182730,0.51910930,0.66810183
48289,0,USTexasLeon,Texas,Leon,2021-01-05 08:21:26.107415,2020-03-10 00:00:00.000000,0.00508342,0.02573722,0.09009841,0,4,15,0,2,6,0.00261944,0.01272559,0.03848035,0.36182525,0.51910364,0.66799260
48289,0,USTexasLeon,Texas,Leon,2021-01-05 08:21:26.107415,2020-03-11 00:00:00.000000,0.00570454,0.02783353,0.09537988,0,4,16,0,2,7,0.00285392,0.01301670,0.04286137,0.36181998,0.51908790,0.66783725
48289,0,USTexasLeon,Texas,Leon,2021-01-05 08:21:26.107415,2020-03-12 00:00:00.000000,0.00638370,0.02946869,0.09663919,1,5,16,0,2,8,0.00318274,0.01395448,0.04894971,0.36180644,0.51904407,0.66761258
48289,0,USTexasLeon,Texas,Leon,2021-01-05 08:21:26.107415,2020-03-13 00:00:00.000000,0.00712621,0.03184840,0.09786720,1,5,17,0,2,8,0.00356682,0.01496450,0.04990988,0.36177163,0.51892213,0.66727172
48289,0,USTexasLeon,Texas,Leon,2021-01-05 08:21:26.107415,2020-03-14 00:00:00.000000,0.00793976,0.03436720,0.09908087,1,5,17,0,2,8,0.00399410,0.01642375,0.05064960,0.36168232,0.51867461,0.66669691
48289,0,USTexasLeon,Texas,Leon,2021-01-05 08:21:26.107415,2020-03-15 00:00:00.000000,0.00869561,0.03706479,0.10028909,1,6,17,0,3,8,0.00446329,0.01771916,0.05131752,0.36145398,0.51718512,0.66297255
48289,0,USTexasLeon,Texas,Leon,2021-01-05 08:21:26.107415,2020-03-16 00:00:00.000000,0.01527934,0.04517286,0.11919123,2,7,20,0,3,9,0.00465922,0.01951509,0.05378702,0.35425593,0.51061143,0.65680410
48289,0,USTexasLeon,Texas,Leon,2021-01-05 08:21:26.107415,2020-03-17 00:00:00.000000,0.01918249,0.05482429,0.13933206,3,9,24,1,3,10,0.00665171,0.02248979,0.06251246,0.35383992,0.50883146,0.65604306
48289,0,USTexasLeon,Texas,Leon,2021-01-05 08:21:26.107415,2020-03-18 00:00:00.000000,0.02320490,0.06744581,0.16043439,4,11,27,1,4,12,0.00814930,0.02662224,0.07296695,0.35084331,0.50153437,0.64211163
48289,0,USTexasLeon,Texas,Leon,2021-01-05 08:21:26.107415,2020-03-19 00:00:00.000000,0.02832322,0.07445155,0.18226901,4,12,31,1,5,14,0.01034007,0.03200714,0.08456213,0.33536142,0.48127002,0.64175105
