FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-09 00:00:00.000000,0.00694183,0.03206406,0.13158584,0,3,12,0,1,7,0.00311922,0.01736301,0.07394636,0.37878548,0.53265681,0.72495110
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-10 00:00:00.000000,0.00767823,0.03516091,0.13854748,0,3,13,0,1,7,0.00328835,0.01858373,0.07802064,0.37878482,0.53263615,0.72495109
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-11 00:00:00.000000,0.00845327,0.03825809,0.14150299,0,3,13,0,1,7,0.00370621,0.02024173,0.07812209,0.37878333,0.53259694,0.72495108
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-12 00:00:00.000000,0.00874610,0.04138660,0.14494963,0,4,14,0,2,7,0.00423075,0.02185916,0.07992096,0.37877993,0.53251825,0.72495102
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-13 00:00:00.000000,0.00905880,0.04488791,0.15327269,0,4,15,0,2,8,0.00480825,0.02390212,0.08619119,0.37877220,0.53235274,0.72495077
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-14 00:00:00.000000,0.00938783,0.04879706,0.17010336,0,4,16,0,2,9,0.00542255,0.02608689,0.09632238,0.37875464,0.53199241,0.72494974
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-15 00:00:00.000000,0.00973168,0.05334040,0.18030918,0,5,17,0,2,10,0.00576416,0.02879625,0.10178433,0.37489215,0.53119238,0.72494555
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-16 00:00:00.000000,0.01008964,0.05811192,0.19587797,0,5,19,0,3,10,0.00596451,0.03145717,0.10725496,0.37189476,0.52835995,0.72492847
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-17 00:00:00.000000,0.01046112,0.06375980,0.21255845,1,6,20,0,3,11,0.00617609,0.03468180,0.11660270,0.37154280,0.52259013,0.72485877
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-18 00:00:00.000000,0.01084489,0.06871377,0.23014619,1,6,22,0,3,12,0.00639781,0.03770471,0.12665073,0.36941302,0.52029273,0.72457320
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-19 00:00:00.000000,0.01123836,0.07272743,0.24807530,1,7,24,0,4,13,0.00662868,0.04062256,0.13732897,0.34095685,0.50972295,0.72340073
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-20 00:00:00.000000,0.01163774,0.07556115,0.26525333,1,7,26,0,4,14,0.00686725,0.04325983,0.14841487,0.31079843,0.48915619,0.71864795
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-21 00:00:00.000000,0.01204093,0.07872956,0.28038703,1,7,27,0,4,15,0.00711147,0.04508489,0.15943582,0.29727284,0.46568822,0.64478430
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-22 00:00:00.000000,0.01244932,0.08182307,0.29293405,1,8,28,0,4,16,0.00735961,0.04633616,0.16972925,0.28915460,0.44851663,0.60924681
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-23 00:00:00.000000,0.01286571,0.08596974,0.30336599,1,8,29,0,4,17,0.00761143,0.04845981,0.17879182,0.27995535,0.42737382,0.58517775
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-24 00:00:00.000000,0.01329232,0.08892807,0.31707560,1,8,31,0,5,18,0.00786785,0.05167303,0.18654618,0.27520914,0.42090014,0.56249911
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-25 00:00:00.000000,0.01373033,0.09298945,0.33310595,1,9,32,0,5,19,0.00813007,0.05451616,0.19761173,0.27070173,0.40830490,0.55809248
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-26 00:00:00.000000,0.01417862,0.09854948,0.34759545,1,9,34,0,5,20,0.00839903,0.05631403,0.20862625,0.25690996,0.40086924,0.55445993
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-27 00:00:00.000000,0.01462673,0.10335242,0.36067535,1,10,35,0,5,21,0.00867469,0.05909067,0.21855545,0.24070812,0.38392287,0.54426487
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-28 00:00:00.000000,0.01503465,0.10697387,0.37243050,1,10,36,0,6,22,0.00895329,0.06169921,0.22751598,0.23214123,0.36731165,0.50854958
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-29 00:00:00.000000,0.01537063,0.10936129,0.38296399,1,10,37,0,6,23,0.00921885,0.06401736,0.23558410,0.22574999,0.35646288,0.50857713
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-30 00:00:00.000000,0.04197645,0.11949122,0.40838668,4,11,40,0,6,23,0.00945259,0.06540151,0.24282588,0.22243323,0.34193370,0.50564225
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-03-31 00:00:00.000000,0.05449525,0.13558608,0.43286821,5,13,42,1,7,25,0.01918029,0.07110087,0.25559660,0.20363351,0.32847290,0.48637396
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-01 00:00:00.000000,0.06718638,0.15075720,0.45779423,6,14,45,2,7,26,0.03003380,0.07836386,0.27052838,0.18826737,0.31793181,0.47416609
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-02 00:00:00.000000,0.07647015,0.16400392,0.48282461,7,16,47,3,8,28,0.03689747,0.08688775,0.28626957,0.18066234,0.31107952,0.44608557
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-03 00:00:00.000000,0.08448870,0.18420596,0.50767010,8,18,50,4,9,29,0.04227649,0.09559348,0.30228744,0.16260436,0.29647973,0.42555301
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-04 00:00:00.000000,0.09340425,0.20692190,0.53161557,9,20,52,4,11,31,0.04698700,0.11234281,0.31830994,0.15504473,0.28532291,0.39043797
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-05 00:00:00.000000,0.10500463,0.22990240,0.55559380,10,22,54,5,12,32,0.05167942,0.12598268,0.33396695,0.15264525,0.27499713,0.37740683
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-06 00:00:00.000000,0.12159156,0.25268866,0.58848218,11,24,57,5,13,34,0.05618566,0.13581828,0.34816470,0.15197991,0.26369427,0.36939074
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-07 00:00:00.000000,0.12952173,0.26340634,0.61999397,12,25,61,6,14,35,0.06432441,0.14787520,0.35641583,0.15190666,0.26166633,0.37407240
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-08 00:00:00.000000,0.13465408,0.27591941,0.64856134,13,27,63,6,15,35,0.07061681,0.15832220,0.36122788,0.15242264,0.25875720,0.36773995
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-09 00:00:00.000000,0.14013793,0.29507778,0.67382426,13,29,66,7,16,36,0.07374779,0.16579844,0.37034398,0.15473079,0.24885919,0.34389937
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-10 00:00:00.000000,0.14443454,0.31674569,0.69456213,14,31,68,7,17,38,0.07961437,0.17740632,0.38730500,0.15448082,0.24400217,0.33329423
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-11 00:00:00.000000,0.14909150,0.33125673,0.70956621,14,32,69,8,18,39,0.08270097,0.18644741,0.40179616,0.15139760,0.24138948,0.32580319
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-12 00:00:00.000000,0.15363698,0.34516998,0.71895551,15,34,70,8,19,41,0.08547266,0.19578807,0.41757223,0.15152698,0.23826720,0.32149809
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-13 00:00:00.000000,0.16387570,0.35302476,0.72160335,16,34,71,8,20,43,0.08818232,0.20464188,0.44032117,0.15139472,0.23272123,0.32051787
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-14 00:00:00.000000,0.17574298,0.37131056,0.71157347,17,36,70,9,20,44,0.09869165,0.21298227,0.45130186,0.13713374,0.22584634,0.31880232
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-15 00:00:00.000000,0.19320495,0.38944840,0.69613042,19,38,68,9,21,44,0.10076395,0.22123250,0.45148453,0.13551449,0.21965231,0.31542136
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-16 00:00:00.000000,0.21007402,0.39986084,0.71450118,20,39,70,10,22,43,0.10343600,0.22768468,0.44369457,0.13131587,0.21535308,0.30906095
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-17 00:00:00.000000,0.21763739,0.40696051,0.76260278,21,40,75,11,23,43,0.11577518,0.23520260,0.43868454,0.12435421,0.21174135,0.29814996
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-18 00:00:00.000000,0.22058181,0.41972558,0.80568114,21,41,79,12,23,45,0.12303362,0.24175415,0.46550704,0.12018107,0.20518798,0.29355297
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-19 00:00:00.000000,0.22332063,0.42131949,0.84653110,22,41,83,12,24,48,0.12651637,0.24481733,0.49338849,0.12194931,0.19703518,0.29139938
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-20 00:00:00.000000,0.22250139,0.42506304,0.86675968,21,41,85,13,24,51,0.13433858,0.25190946,0.51975925,0.12054422,0.19570109,0.29293544
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-21 00:00:00.000000,0.22196988,0.43522363,0.88442599,21,42,87,13,24,52,0.14204336,0.25289072,0.53711819,0.11955772,0.19324543,0.29308133
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-22 00:00:00.000000,0.22434643,0.43792400,0.89681703,22,43,88,13,25,51,0.13982613,0.25915701,0.52125912,0.11899672,0.19066111,0.29303058
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-23 00:00:00.000000,0.22179423,0.43398270,0.90231560,21,42,88,13,25,52,0.13822805,0.26260361,0.53311039,0.11737554,0.18771760,0.29206578
48315,0,USTexasMarion,Texas,Marion,2021-03-04 16:00:43.042217,2020-04-24 00:00:00.000000,0.21946015,0.42821526,0.90248397,21,42,88,13,26,53,0.13945614,0.26447037,0.54205481,0.11457895,0.18202155,0.28360218
