FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-09 00:00:00.000000,0.00207475,0.00732465,0.02270186,1,3,11,0,1,7,0.00066800,0.00336945,0.01385812,0.33874160,0.42601544,0.53791368
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-10 00:00:00.000000,0.00292074,0.00919005,0.02566936,1,4,13,0,2,7,0.00148267,0.00422878,0.01522914,0.33874093,0.42601543,0.53790153
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-11 00:00:00.000000,0.00388202,0.01156542,0.02959130,2,5,15,1,2,8,0.00208248,0.00548831,0.01726054,0.33873857,0.42601542,0.53787719
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-12 00:00:00.000000,0.00492266,0.01416569,0.03512621,2,7,18,1,3,10,0.00276579,0.00705326,0.01988322,0.33873034,0.42536213,0.53782585
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-13 00:00:00.000000,0.00603671,0.01680297,0.04143648,3,8,21,1,4,11,0.00346858,0.00884242,0.02265654,0.33870153,0.42478535,0.53771209
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-14 00:00:00.000000,0.00722619,0.01945374,0.04805150,3,10,24,2,5,13,0.00409289,0.01053307,0.02695001,0.33860074,0.42243355,0.53561926
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-15 00:00:00.000000,0.00849531,0.02239985,0.05408844,4,11,27,2,6,15,0.00475419,0.01230390,0.03072248,0.33824874,0.41908804,0.52887795
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-16 00:00:00.000000,0.01050848,0.02595284,0.06108511,5,13,31,2,7,18,0.00545316,0.01412903,0.03610308,0.33702845,0.41559002,0.52239861
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-17 00:00:00.000000,0.01276898,0.03016168,0.06738423,6,15,34,3,8,19,0.00665153,0.01663520,0.03865380,0.30115224,0.40748118,0.51826569
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-18 00:00:00.000000,0.01525539,0.03455795,0.07350874,7,17,37,4,9,21,0.00814927,0.01913376,0.04203982,0.27983903,0.39929246,0.51801264
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-19 00:00:00.000000,0.01712930,0.03961050,0.07899984,8,20,40,4,11,23,0.00959952,0.02194369,0.04595402,0.24537818,0.38107306,0.50562762
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-20 00:00:00.000000,0.01891716,0.04326908,0.08321205,9,22,42,5,12,25,0.01091336,0.02491972,0.04954932,0.23111067,0.35461816,0.48661274
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-21 00:00:00.000000,0.02065688,0.04660226,0.08492653,10,24,43,6,13,27,0.01215240,0.02702481,0.05242315,0.21394017,0.32980220,0.47269653
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-22 00:00:00.000000,0.02171810,0.04837906,0.08466383,11,24,43,6,14,28,0.01335248,0.02890493,0.05450141,0.20808444,0.30212564,0.44763564
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-23 00:00:00.000000,0.02540106,0.05198526,0.08378337,13,26,43,7,16,28,0.01407090,0.03145864,0.05549069,0.20767000,0.28994991,0.40749722
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-24 00:00:00.000000,0.02707547,0.05384029,0.08708323,13,27,44,8,17,28,0.01619927,0.03338270,0.05454101,0.20154404,0.28423069,0.38547130
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-25 00:00:00.000000,0.02850697,0.05454284,0.08826225,14,28,45,9,17,29,0.01775612,0.03437917,0.05642767,0.18348466,0.27263636,0.36930442
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-26 00:00:00.000000,0.02998169,0.05606358,0.09145669,15,28,47,9,18,30,0.01870892,0.03569412,0.05932295,0.16828489,0.26326486,0.35054163
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-27 00:00:00.000000,0.03145997,0.05800385,0.09316765,16,29,48,10,18,32,0.01966754,0.03662233,0.06214178,0.15755796,0.25113605,0.33442627
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-28 00:00:00.000000,0.03238970,0.05885131,0.09787993,16,30,50,10,19,33,0.02064696,0.03736951,0.06543615,0.14975308,0.23962573,0.31630518
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-29 00:00:00.000000,0.03243931,0.05997874,0.10008518,16,30,51,11,19,35,0.02162006,0.03845087,0.06801769,0.14961837,0.22804753,0.31465975
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-30 00:00:00.000000,0.03446280,0.06047608,0.10323677,17,31,53,11,20,36,0.02171619,0.03886568,0.07044566,0.14873517,0.21775724,0.31275024
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-03-31 00:00:00.000000,0.03493446,0.06099719,0.10564719,18,31,54,11,20,37,0.02194326,0.03958686,0.07270699,0.14128208,0.21346064,0.31085320
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-04-01 00:00:00.000000,0.03603465,0.06119492,0.10605187,18,31,54,11,21,38,0.02226069,0.04099868,0.07478632,0.14026584,0.20780841,0.30930208
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-04-02 00:00:00.000000,0.03645277,0.06201678,0.10621033,18,31,54,11,21,39,0.02281730,0.04121435,0.07564598,0.13546147,0.20323011,0.30826549
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-04-03 00:00:00.000000,0.03683791,0.06240256,0.10745828,19,32,55,12,21,39,0.02405020,0.04125170,0.07584474,0.12975246,0.19494298,0.30767445
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-04-04 00:00:00.000000,0.03679604,0.06303599,0.11022279,18,32,56,12,21,39,0.02443274,0.04174094,0.07595228,0.12617934,0.18882382,0.29908626
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-04-05 00:00:00.000000,0.03658146,0.06325754,0.11296635,18,32,58,12,21,39,0.02438830,0.04251019,0.07598735,0.11867600,0.18309117,0.28738943
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-04-06 00:00:00.000000,0.03689875,0.06286929,0.11532818,19,32,59,12,21,39,0.02401342,0.04190129,0.07653762,0.11735404,0.18077887,0.28552452
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-04-07 00:00:00.000000,0.03724070,0.06190666,0.11410421,19,31,58,12,21,40,0.02435388,0.04163662,0.07841029,0.11690335,0.18012917,0.28160929
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-04-08 00:00:00.000000,0.03769373,0.06035051,0.11332538,19,31,58,12,21,41,0.02458551,0.04136040,0.07992903,0.11471029,0.17784919,0.27535797
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-04-09 00:00:00.000000,0.03817950,0.06106723,0.11265342,19,31,58,12,21,40,0.02510316,0.04118765,0.07940856,0.11263754,0.17711016,0.26713087
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-04-10 00:00:00.000000,0.03869510,0.06175025,0.11193267,19,31,57,13,21,40,0.02607511,0.04092568,0.07892629,0.11406782,0.17628665,0.27540171
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-04-11 00:00:00.000000,0.03928356,0.06133906,0.11063667,20,31,57,13,21,40,0.02581264,0.04094503,0.07841061,0.11972316,0.17497204,0.27737977
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-04-12 00:00:00.000000,0.03963028,0.06152175,0.11021535,20,31,56,13,21,39,0.02590098,0.04079029,0.07752563,0.11581163,0.17481833,0.27767473
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-04-13 00:00:00.000000,0.04007400,0.06169907,0.11228315,20,31,57,13,20,39,0.02600166,0.03990639,0.07620992,0.10466944,0.17514076,0.27771420
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-04-14 00:00:00.000000,0.03957588,0.06199447,0.11451183,20,31,59,13,20,39,0.02616340,0.03973464,0.07621152,0.10368833,0.17508930,0.27772218
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-04-15 00:00:00.000000,0.03889654,0.06161653,0.11659226,20,31,60,13,20,39,0.02606211,0.04062248,0.07724231,0.10520569,0.17336056,0.27776060
48325,0,USTexasMedina,Texas,Medina,2021-12-08 12:52:03.427022,2020-04-16 00:00:00.000000,0.03826568,0.06067255,0.11853539,19,31,61,13,21,40,0.02561462,0.04109923,0.07868540,0.10804851,0.17496931,0.27790603
