FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-09 00:00:00.000000,0.00212652,0.00418136,0.00735341,3,7,13,1,2,5,0.00072698,0.00162478,0.00313774,0.48318539,0.51042240,0.53365214
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-10 00:00:00.000000,0.00273329,0.00487953,0.00821985,4,8,14,1,2,4,0.00067773,0.00143619,0.00266481,0.48318438,0.51010462,0.53315649
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-11 00:00:00.000000,0.00338309,0.00563939,0.00913570,5,9,16,1,2,4,0.00073637,0.00142360,0.00251333,0.48318179,0.50958849,0.53230365
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-12 00:00:00.000000,0.00408229,0.00643902,0.01007525,7,11,17,1,2,4,0.00085958,0.00151670,0.00254649,0.48317519,0.50875341,0.53084331
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-13 00:00:00.000000,0.00478518,0.00726553,0.01102482,8,12,19,1,2,4,0.00101847,0.00167325,0.00268503,0.48315836,0.50713776,0.52836344
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-14 00:00:00.000000,0.00547007,0.00811706,0.01197582,9,14,21,2,3,5,0.00120674,0.00186830,0.00288322,0.48311545,0.50366849,0.52421116
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-15 00:00:00.000000,0.00613451,0.00899780,0.01292122,10,15,22,2,3,5,0.00140953,0.00208695,0.00311462,0.48300639,0.49989436,0.51742022
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-16 00:00:00.000000,0.00680673,0.00983199,0.01379912,12,17,24,2,4,5,0.00160070,0.00232057,0.00336369,0.48273179,0.49534680,0.50705028
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-17 00:00:00.000000,0.00748708,0.01066690,0.01464924,13,18,25,3,4,6,0.00179441,0.00256319,0.00361427,0.47468974,0.48729520,0.49935901
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-18 00:00:00.000000,0.00817287,0.01150093,0.01545254,14,20,27,3,4,6,0.00199381,0.00280559,0.00386182,0.45629781,0.47467527,0.49517671
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-19 00:00:00.000000,0.00885915,0.01232907,0.01619276,15,21,28,3,5,7,0.00219880,0.00304646,0.00410185,0.43485112,0.46226979,0.48893000
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-20 00:00:00.000000,0.00955121,0.01313930,0.01685833,16,23,29,4,5,7,0.00239941,0.00328450,0.00432978,0.41158843,0.44701375,0.48344254
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-21 00:00:00.000000,0.01021817,0.01392178,0.01744711,18,24,30,4,6,8,0.00259978,0.00352564,0.00454157,0.38636456,0.43106419,0.47920443
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-22 00:00:00.000000,0.01087090,0.01467766,0.01796608,19,25,31,4,6,8,0.00279843,0.00376950,0.00473463,0.36603103,0.41835193,0.47649269
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-23 00:00:00.000000,0.01190047,0.01565208,0.01892953,21,27,33,5,7,8,0.00299507,0.00400633,0.00490837,0.35172084,0.40879759,0.47487445
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-24 00:00:00.000000,0.01292596,0.01660587,0.01984814,22,29,35,5,7,9,0.00324015,0.00426326,0.00512411,0.34220579,0.40155761,0.47188398
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-25 00:00:00.000000,0.01395531,0.01754570,0.02074594,24,31,36,6,8,9,0.00351253,0.00452997,0.00536084,0.33579700,0.39485105,0.46602720
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-26 00:00:00.000000,0.01495670,0.01841679,0.02162440,26,32,38,6,8,9,0.00379999,0.00480002,0.00560658,0.33245779,0.38592956,0.45395985
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-27 00:00:00.000000,0.01589791,0.01924492,0.02248896,28,34,39,7,8,10,0.00409462,0.00506600,0.00585484,0.33213398,0.37173251,0.43147206
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-28 00:00:00.000000,0.01675315,0.02001906,0.02335091,29,35,41,7,9,10,0.00438418,0.00531596,0.00610269,0.33453715,0.35356780,0.39729985
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-29 00:00:00.000000,0.01743671,0.02073290,0.02422384,30,36,42,8,9,11,0.00465631,0.00555869,0.00634990,0.33172115,0.34507471,0.36100530
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-30 00:00:00.000000,0.01741766,0.02108826,0.02485461,30,37,43,8,10,11,0.00490842,0.00579995,0.00659804,0.30726774,0.33950647,0.35155524
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-03-31 00:00:00.000000,0.01733939,0.02140512,0.02549003,30,37,45,8,10,12,0.00503961,0.00597838,0.00681775,0.29601440,0.33275069,0.35523570
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-04-01 00:00:00.000000,0.01721410,0.02168669,0.02611335,30,38,46,9,10,12,0.00510170,0.00611490,0.00702057,0.29303687,0.32984844,0.35674199
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-04-02 00:00:00.000000,0.01707444,0.02194992,0.02672068,30,38,47,9,11,12,0.00511977,0.00622383,0.00721250,0.29600422,0.32935975,0.35640084
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-04-03 00:00:00.000000,0.01695204,0.02221573,0.02730396,29,39,48,9,11,13,0.00511199,0.00631520,0.00739638,0.30290497,0.33320900,0.35375035
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-04-04 00:00:00.000000,0.01685648,0.02249994,0.02784600,29,39,49,9,11,13,0.00509139,0.00639685,0.00757280,0.30715574,0.34174941,0.34840803
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-04-05 00:00:00.000000,0.01677178,0.02278235,0.02832679,29,40,50,8,11,13,0.00506592,0.00647448,0.00773996,0.30914531,0.33469904,0.35784203
48329,0,USTexasMidland,Texas,Midland,2021-10-28 05:12:07.111766,2020-04-06 00:00:00.000000,0.01712523,0.02298963,0.02829902,30,40,50,8,11,13,0.00503915,0.00654895,0.00789434,0.30975373,0.32677918,0.36251670
