FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48345,0,USTexasMotley,Texas,Motley,2021-11-24 09:44:26.896601,2020-03-09 00:00:00.000000,0.05597302,0.20447736,0.68145129,0,2,8,0,1,4,0.02909587,0.10969242,0.40605847,0.37388456,0.48985032,0.72086505
48345,0,USTexasMotley,Texas,Motley,2021-11-24 09:44:26.896601,2020-03-10 00:00:00.000000,0.05799778,0.20950407,0.67268098,0,2,8,0,1,4,0.03079345,0.10949429,0.39115664,0.37385451,0.48979890,0.72086346
48345,0,USTexasMotley,Texas,Motley,2021-11-24 09:44:26.896601,2020-03-11 00:00:00.000000,0.06214459,0.21758111,0.68602029,0,2,8,0,1,4,0.03275187,0.11604975,0.40129550,0.37379922,0.48972483,0.72085848
48345,0,USTexasMotley,Texas,Motley,2021-11-24 09:44:26.896601,2020-03-12 00:00:00.000000,0.06679026,0.23570008,0.70523940,0,2,8,0,1,4,0.03539308,0.12167338,0.41570283,0.37369765,0.48961808,0.72084291
48345,0,USTexasMotley,Texas,Motley,2021-11-24 09:44:26.896601,2020-03-13 00:00:00.000000,0.06942787,0.24372287,0.73534891,0,2,8,0,1,5,0.03727391,0.12837464,0.43016228,0.37351149,0.48946408,0.72079409
48345,0,USTexasMotley,Texas,Motley,2021-11-24 09:44:26.896601,2020-03-14 00:00:00.000000,0.07378374,0.24850422,0.77465223,0,2,9,0,1,5,0.03974873,0.13842939,0.44436321,0.37317171,0.48832769,0.72064076
48345,0,USTexasMotley,Texas,Motley,2021-11-24 09:44:26.896601,2020-03-15 00:00:00.000000,0.07840254,0.26112043,0.81139422,0,3,9,0,1,5,0.04233667,0.14277050,0.45876448,0.37255626,0.48331942,0.72015941
48345,0,USTexasMotley,Texas,Motley,2021-11-24 09:44:26.896601,2020-03-16 00:00:00.000000,0.08330559,0.28084401,0.79558098,0,3,9,0,1,5,0.04505044,0.14636932,0.45341677,0.37148138,0.47984872,0.71865561
48345,0,USTexasMotley,Texas,Motley,2021-11-24 09:44:26.896601,2020-03-17 00:00:00.000000,0.08860490,0.30189534,0.82008258,1,3,9,0,1,5,0.04794964,0.15459921,0.44004175,0.36910792,0.47169513,0.71404135
48345,0,USTexasMotley,Texas,Motley,2021-11-24 09:44:26.896601,2020-03-18 00:00:00.000000,0.09422881,0.31674582,0.82566622,1,3,9,0,1,5,0.05102859,0.16333437,0.45448233,0.35064345,0.46404833,0.70066213
