FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48359,0,USTexasOldham,Texas,Oldham,2021-07-21 05:41:45.933073,2020-03-09 00:00:00.000000,0.07291055,0.19241886,0.51384355,1,4,10,0,1,6,0.02278053,0.08740277,0.30070148,0.33623852,0.44119029,0.59510951
48359,0,USTexasOldham,Texas,Oldham,2021-07-21 05:41:45.933073,2020-03-10 00:00:00.000000,0.10114855,0.24471778,0.58476100,2,5,12,0,2,6,0.03455706,0.09604570,0.29498889,0.33623828,0.44117783,0.59510383
48359,0,USTexasOldham,Texas,Oldham,2021-07-21 05:41:45.933073,2020-03-11 00:00:00.000000,0.12623431,0.29779458,0.67122833,2,6,14,1,2,6,0.04780755,0.11783896,0.32403248,0.33621529,0.44115137,0.59509223
48359,0,USTexasOldham,Texas,Oldham,2021-07-21 05:41:45.933073,2020-03-12 00:00:00.000000,0.15278941,0.35589305,0.78182179,3,7,16,1,3,7,0.06313498,0.14311545,0.36154532,0.33612268,0.44106339,0.59506798
48359,0,USTexasOldham,Texas,Oldham,2021-07-21 05:41:45.933073,2020-03-13 00:00:00.000000,0.18051077,0.41791492,0.93539769,3,8,19,1,3,8,0.07757610,0.17581233,0.41489862,0.33592957,0.44010398,0.59501606
48359,0,USTexasOldham,Texas,Oldham,2021-07-21 05:41:45.933073,2020-03-14 00:00:00.000000,0.20927462,0.48693995,1.10040042,4,10,23,1,4,9,0.09299209,0.21013476,0.47028283,0.33552795,0.43919777,0.59439329
48359,0,USTexasOldham,Texas,Oldham,2021-07-21 05:41:45.933073,2020-03-15 00:00:00.000000,0.23903938,0.54747219,1.27770601,5,11,26,2,5,11,0.10914427,0.24787641,0.53656403,0.33469706,0.43632402,0.57084670
48359,0,USTexasOldham,Texas,Oldham,2021-07-21 05:41:45.933073,2020-03-16 00:00:00.000000,0.27941678,0.60792062,1.36967549,5,12,28,2,5,13,0.12593115,0.27040901,0.63326321,0.33299471,0.43441911,0.56918318
48359,0,USTexasOldham,Texas,Oldham,2021-07-21 05:41:45.933073,2020-03-17 00:00:00.000000,0.32132054,0.66451287,1.45095099,6,14,30,3,6,15,0.14636790,0.30785694,0.71934729,0.31989560,0.42895265,0.56488891
48359,0,USTexasOldham,Texas,Oldham,2021-07-21 05:41:45.933073,2020-03-18 00:00:00.000000,0.38125752,0.74323749,1.58753772,8,15,33,3,7,16,0.17026499,0.34822931,0.80250275,0.29725890,0.41337861,0.55823440
48359,0,USTexasOldham,Texas,Oldham,2021-07-21 05:41:45.933073,2020-03-19 00:00:00.000000,0.44937011,0.83535112,1.73949786,9,17,36,4,8,18,0.19663090,0.39238404,0.87011297,0.25665920,0.39458217,0.55665066
48359,0,USTexasOldham,Texas,Oldham,2021-07-21 05:41:45.933073,2020-03-20 00:00:00.000000,0.50113717,0.89142111,1.89092647,10,18,39,4,9,19,0.22418485,0.43347660,0.91673353,0.24186054,0.37138583,0.54876592
48359,0,USTexasOldham,Texas,Oldham,2021-07-21 05:41:45.933073,2020-03-21 00:00:00.000000,0.54258040,0.95723429,1.98185229,11,20,41,5,9,20,0.25891410,0.47263573,0.97613519,0.21894983,0.33599878,0.52467007
48359,0,USTexasOldham,Texas,Oldham,2021-07-21 05:41:45.933073,2020-03-22 00:00:00.000000,0.56637543,1.00091075,2.02715180,11,21,42,6,10,22,0.30007289,0.50581385,1.05831746,0.21064051,0.31199992,0.49926596
48359,0,USTexasOldham,Texas,Oldham,2021-07-21 05:41:45.933073,2020-03-23 00:00:00.000000,0.61238596,1.04544028,2.09619818,12,22,44,7,11,24,0.34278940,0.53715159,1.13715679,0.20721674,0.29393655,0.46426768
48359,0,USTexasOldham,Texas,Oldham,2021-07-21 05:41:45.933073,2020-03-24 00:00:00.000000,0.66000927,1.09732549,2.15175990,13,23,45,7,11,24,0.36511687,0.56573812,1.18303827,0.20367652,0.27924138,0.43248708
48359,0,USTexasOldham,Texas,Oldham,2021-07-21 05:41:45.933073,2020-03-25 00:00:00.000000,0.69706811,1.12040459,2.27325295,14,23,48,7,12,25,0.37568947,0.60373939,1.22107538,0.19964113,0.27103646,0.40248126
48359,0,USTexasOldham,Texas,Oldham,2021-07-21 05:41:45.933073,2020-03-26 00:00:00.000000,0.73676554,1.15633412,2.37172419,15,24,50,8,13,26,0.39049529,0.63367136,1.27593825,0.19494818,0.26083546,0.36821138
48359,0,USTexasOldham,Texas,Oldham,2021-07-21 05:41:45.933073,2020-03-27 00:00:00.000000,0.77379258,1.21862491,2.35120971,16,25,49,8,13,27,0.41929158,0.65010204,1.29546352,0.18328047,0.24464991,0.35545898
48359,0,USTexasOldham,Texas,Oldham,2021-07-21 05:41:45.933073,2020-03-28 00:00:00.000000,0.80809041,1.27654473,2.30610284,17,26,48,9,14,27,0.44584554,0.68511440,1.30689092,0.16218835,0.22676469,0.33433159
48359,0,USTexasOldham,Texas,Oldham,2021-07-21 05:41:45.933073,2020-03-29 00:00:00.000000,0.84005890,1.30284928,2.29774908,17,27,48,9,15,28,0.46124779,0.71458305,1.35398652,0.15541331,0.21620915,0.31708077
