FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48361,0,USTexasOrange,Texas,Orange,2021-01-05 09:20:07.672495,2020-03-09 00:00:00.000000,0.00078224,0.00096610,0.00916050,0,0,7,0,0,3,0.00037316,0.00057612,0.00465942,0.41638115,0.62824990,0.64199421
48361,0,USTexasOrange,Texas,Orange,2021-01-05 09:20:07.672495,2020-03-10 00:00:00.000000,0.00085225,0.00101214,0.01002468,0,0,8,0,0,3,0.00038739,0.00050108,0.00465625,0.41634448,0.62810244,0.64199418
48361,0,USTexasOrange,Texas,Orange,2021-01-05 09:20:07.672495,2020-03-11 00:00:00.000000,0.00095563,0.00106216,0.01092608,0,0,9,0,0,4,0.00041532,0.00046261,0.00492918,0.41629265,0.62776551,0.64199413
48361,0,USTexasOrange,Texas,Orange,2021-01-05 09:20:07.672495,2020-03-12 00:00:00.000000,0.00099930,0.00111644,0.01185838,0,0,9,0,0,4,0.00039837,0.00044636,0.00546838,0.41622019,0.62727364,0.64199395
48361,0,USTexasOrange,Texas,Orange,2021-01-05 09:20:07.672495,2020-03-13 00:00:00.000000,0.00106072,0.00117670,0.01309107,0,0,10,0,0,4,0.00039831,0.00044196,0.00592484,0.41612039,0.62727289,0.64199340
48361,0,USTexasOrange,Texas,Orange,2021-01-05 09:20:07.672495,2020-03-14 00:00:00.000000,0.00111386,0.00123758,0.01412527,0,1,11,0,0,5,0.00040313,0.00046876,0.00651364,0.41598549,0.62727038,0.64199161
48361,0,USTexasOrange,Texas,Orange,2021-01-05 09:20:07.672495,2020-03-15 00:00:00.000000,0.00117161,0.00130514,0.01506976,0,1,12,0,0,6,0.00041422,0.00049880,0.00720976,0.41580714,0.62726211,0.64198573
48361,0,USTexasOrange,Texas,Orange,2021-01-05 09:20:07.672495,2020-03-16 00:00:00.000000,0.00178299,0.00197240,0.01741935,1,1,14,0,0,6,0.00042981,0.00053202,0.00773107,0.41557655,0.62723471,0.64196630
48361,0,USTexasOrange,Texas,Orange,2021-01-05 09:20:07.672495,2020-03-17 00:00:00.000000,0.00240985,0.00266325,0.02030060,2,2,16,0,0,7,0.00053048,0.00067011,0.00842922,0.41081838,0.62714400,0.64190188
48361,0,USTexasOrange,Texas,Orange,2021-01-05 09:20:07.672495,2020-03-18 00:00:00.000000,0.00307045,0.00339740,0.02260454,2,2,18,0,0,7,0.00068697,0.00087576,0.00957136,0.38888459,0.62535044,0.64168819
