FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48363,0,USTexasPaloPinto,Texas,Palo Pinto,2021-01-05 08:29:09.515068,2020-03-09 00:00:00.000000,0.00134370,0.01333040,0.02563861,0,3,7,0,2,4,0.00054077,0.00727008,0.01490061,0.36155636,0.51136044,0.69693683
48363,0,USTexasPaloPinto,Texas,Palo Pinto,2021-01-05 08:29:09.515068,2020-03-10 00:00:00.000000,0.00154767,0.01446321,0.02798161,0,4,8,0,2,4,0.00057662,0.00718624,0.01424169,0.36157124,0.51071074,0.69693401
48363,0,USTexasPaloPinto,Texas,Palo Pinto,2021-01-05 08:29:09.515068,2020-03-11 00:00:00.000000,0.00175324,0.01588383,0.03062658,0,4,8,0,2,4,0.00063582,0.00713936,0.01433939,0.36159334,0.50971372,0.69692857
48363,0,USTexasPaloPinto,Texas,Palo Pinto,2021-01-05 08:29:09.515068,2020-03-12 00:00:00.000000,0.00196495,0.01756796,0.03331574,0,5,9,0,2,4,0.00071090,0.00737599,0.01504857,0.36162539,0.50819165,0.69691771
48363,0,USTexasPaloPinto,Texas,Palo Pinto,2021-01-05 08:29:09.515068,2020-03-13 00:00:00.000000,0.00218643,0.01889737,0.03609022,0,5,10,0,2,4,0.00079871,0.00779455,0.01599042,0.36167018,0.50588710,0.69689375
48363,0,USTexasPaloPinto,Texas,Palo Pinto,2021-01-05 08:29:09.515068,2020-03-14 00:00:00.000000,0.00242071,0.01998830,0.03898270,0,5,11,0,2,4,0.00089830,0.00816041,0.01711023,0.36172900,0.50400692,0.69682835
48363,0,USTexasPaloPinto,Texas,Palo Pinto,2021-01-05 08:29:09.515068,2020-03-15 00:00:00.000000,0.00267052,0.02163672,0.04202032,0,6,12,0,2,5,0.00100984,0.00865229,0.01837468,0.36179799,0.50026578,0.69658506
48363,0,USTexasPaloPinto,Texas,Palo Pinto,2021-01-05 08:29:09.515068,2020-03-16 00:00:00.000000,0.00590490,0.02626675,0.04710947,1,7,13,0,2,5,0.00113407,0.00914404,0.01976470,0.36548965,0.49549419,0.69541603
48363,0,USTexasPaloPinto,Texas,Palo Pinto,2021-01-05 08:29:09.515068,2020-03-17 00:00:00.000000,0.00890868,0.03119110,0.05420273,2,9,15,0,3,6,0.00181050,0.01040726,0.02138726,0.36589966,0.48817775,0.68911425
48363,0,USTexasPaloPinto,Texas,Palo Pinto,2021-01-05 08:29:09.515068,2020-03-18 00:00:00.000000,0.01182963,0.03548021,0.06181647,3,10,18,0,3,6,0.00278581,0.01212328,0.02318323,0.36325804,0.48532356,0.68046607
