FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-09 00:00:00.000000,0.00253322,0.00925170,0.02457389,1,5,13,0,2,7,0.00050305,0.00416876,0.01301088,0.37108143,0.45728095,0.62031691
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-10 00:00:00.000000,0.00353736,0.01114202,0.02565703,1,6,13,0,2,7,0.00137632,0.00538566,0.01410272,0.37108143,0.45727303,0.62011345
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-11 00:00:00.000000,0.00471873,0.01376808,0.02866356,2,7,15,1,3,8,0.00208029,0.00670607,0.01498610,0.37108143,0.45725854,0.61960050
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-12 00:00:00.000000,0.00596621,0.01595981,0.03238932,3,8,17,1,4,8,0.00283592,0.00831276,0.01639705,0.37108141,0.45723181,0.61615812
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-13 00:00:00.000000,0.00725705,0.01856767,0.03583035,3,10,19,1,5,10,0.00361918,0.00972194,0.01864848,0.37108130,0.45717602,0.61111163
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-14 00:00:00.000000,0.00858741,0.02078201,0.03901783,4,11,21,2,6,11,0.00442575,0.01118548,0.02093209,0.37108076,0.45605575,0.60384320
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-15 00:00:00.000000,0.00995739,0.02288697,0.04225552,5,12,22,2,6,12,0.00525558,0.01279645,0.02311464,0.37107801,0.45249096,0.59362590
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-16 00:00:00.000000,0.01277627,0.02656333,0.04542519,6,14,24,3,7,13,0.00611897,0.01436719,0.02556665,0.37106418,0.44775275,0.59126683
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-17 00:00:00.000000,0.01511920,0.03069968,0.04856694,8,16,26,4,9,15,0.00765520,0.01683155,0.02809533,0.35767006,0.44265705,0.58498464
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-18 00:00:00.000000,0.01733312,0.03424249,0.05213148,9,18,28,5,10,16,0.00927515,0.01928081,0.03014781,0.33585681,0.42920207,0.56459820
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-19 00:00:00.000000,0.01961074,0.03730684,0.05508240,10,20,29,5,11,17,0.01085232,0.02176795,0.03210387,0.31333972,0.41094649,0.55017148
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-20 00:00:00.000000,0.02069728,0.03997527,0.05864529,11,21,31,6,12,19,0.01230343,0.02353326,0.03495370,0.27958663,0.39290625,0.52364121
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-21 00:00:00.000000,0.02367461,0.04230441,0.06392350,12,23,34,6,13,19,0.01284279,0.02509789,0.03661434,0.24615725,0.36884195,0.50356844
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-22 00:00:00.000000,0.02607059,0.04459566,0.06961344,14,24,37,7,14,21,0.01417822,0.02612135,0.03907477,0.24065156,0.35310564,0.50014370
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-23 00:00:00.000000,0.02792377,0.04703298,0.07346311,15,25,39,8,14,23,0.01599031,0.02742989,0.04259188,0.22613386,0.33977496,0.48054392
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-24 00:00:00.000000,0.02876360,0.04806187,0.07727916,15,26,42,9,15,24,0.01684650,0.02829777,0.04524119,0.20465226,0.32161711,0.44080837
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-25 00:00:00.000000,0.02835081,0.04905644,0.08114844,15,26,44,9,15,25,0.01741269,0.02919984,0.04758470,0.18814153,0.31215368,0.40915159
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-26 00:00:00.000000,0.02756786,0.05084406,0.08423985,14,27,45,9,16,27,0.01773023,0.03034511,0.05011128,0.18245400,0.29857667,0.40654720
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-27 00:00:00.000000,0.02681591,0.05265240,0.08760029,14,28,47,9,17,28,0.01720988,0.03187161,0.05195758,0.18035495,0.28357807,0.39321221
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-28 00:00:00.000000,0.02722447,0.05362387,0.09156528,14,29,49,9,18,29,0.01661341,0.03314498,0.05434229,0.17570015,0.26376885,0.38268297
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-29 00:00:00.000000,0.02746408,0.05371502,0.09493382,14,29,51,9,18,30,0.01678621,0.03361682,0.05670806,0.16067016,0.26023707,0.36504166
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-30 00:00:00.000000,0.02679079,0.05485658,0.09555142,14,29,51,9,18,32,0.01682972,0.03399534,0.05885229,0.15179942,0.25466543,0.35824352
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-03-31 00:00:00.000000,0.02628047,0.05538836,0.09487746,14,30,51,8,19,32,0.01640439,0.03493557,0.05937172,0.14719227,0.24653476,0.34620618
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-04-01 00:00:00.000000,0.02570112,0.05599707,0.09382251,13,30,51,9,18,32,0.01699725,0.03483915,0.05947361,0.14493529,0.24046908,0.33635987
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-04-02 00:00:00.000000,0.02643395,0.05706034,0.09403658,14,31,51,9,19,32,0.01660219,0.03537684,0.05942257,0.14387872,0.23871788,0.32465542
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-04-03 00:00:00.000000,0.02715948,0.05701530,0.09809600,14,31,53,8,19,32,0.01617143,0.03569573,0.05973621,0.13962801,0.23282230,0.32019759
48401,0,USTexasRusk,Texas,Rusk,2021-07-21 06:24:48.438165,2020-04-04 00:00:00.000000,0.02599514,0.05710869,0.10110377,14,31,55,8,19,33,0.01578388,0.03520184,0.06226838,0.14002017,0.22281568,0.31080203
