FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48403,0,USTexasSabine,Texas,Sabine,2021-10-28 04:01:55.379480,2020-03-09 00:00:00.000000,0.00089238,0.01254251,0.04892006,0,1,5,0,0,3,0.00054519,0.00768300,0.03188440,0.36622856,0.48256656,0.72181261
48403,0,USTexasSabine,Texas,Sabine,2021-10-28 04:01:55.379480,2020-03-10 00:00:00.000000,0.00100181,0.01286567,0.05118848,0,1,5,0,0,3,0.00062445,0.00867178,0.03404079,0.36524488,0.48253718,0.72167999
48403,0,USTexasSabine,Texas,Sabine,2021-10-28 04:01:55.379480,2020-03-11 00:00:00.000000,0.00115207,0.01429996,0.05361145,0,1,5,0,1,3,0.00072288,0.00948933,0.03624310,0.36375704,0.48249424,0.72148967
48403,0,USTexasSabine,Texas,Sabine,2021-10-28 04:01:55.379480,2020-03-12 00:00:00.000000,0.00132591,0.01561872,0.05629891,0,1,5,0,1,4,0.00083553,0.01039824,0.03939985,0.36153493,0.48243148,0.72121654
48403,0,USTexasSabine,Texas,Sabine,2021-10-28 04:01:55.379480,2020-03-13 00:00:00.000000,0.00152580,0.01693434,0.05922933,0,1,6,0,1,4,0.00096428,0.01130722,0.04180419,0.35827809,0.48233975,0.72082446
48403,0,USTexasSabine,Texas,Sabine,2021-10-28 04:01:55.379480,2020-03-14 00:00:00.000000,0.00175560,0.01828116,0.06224273,0,1,6,0,1,4,0.00111170,0.01235136,0.04426117,0.35363387,0.48220545,0.72026087
48403,0,USTexasSabine,Texas,Sabine,2021-10-28 04:01:55.379480,2020-03-15 00:00:00.000000,0.00201982,0.01991721,0.06493243,0,2,6,0,1,4,0.00128073,0.01358196,0.04658758,0.35275977,0.48088398,0.71944794
48403,0,USTexasSabine,Texas,Sabine,2021-10-28 04:01:55.379480,2020-03-16 00:00:00.000000,0.00232361,0.02169490,0.06935691,0,2,7,0,1,5,0.00147474,0.01484212,0.04871560,0.35255911,0.47986513,0.71826532
48403,0,USTexasSabine,Texas,Sabine,2021-10-28 04:01:55.379480,2020-03-17 00:00:00.000000,0.00267282,0.02359441,0.07350442,0,2,7,0,1,5,0.00169753,0.01594736,0.05224986,0.34277592,0.47401541,0.71650853
48403,0,USTexasSabine,Texas,Sabine,2021-10-28 04:01:55.379480,2020-03-18 00:00:00.000000,0.00307392,0.02545545,0.07765588,0,2,8,0,1,5,0.00195344,0.01718669,0.05514896,0.32135597,0.46723325,0.71375749
48403,0,USTexasSabine,Texas,Sabine,2021-10-28 04:01:55.379480,2020-03-19 00:00:00.000000,0.00353359,0.02791469,0.08456056,0,2,8,0,1,6,0.00224724,0.01864334,0.05831118,0.30509679,0.44366663,0.70884436
48403,0,USTexasSabine,Texas,Sabine,2021-10-28 04:01:55.379480,2020-03-20 00:00:00.000000,0.00374087,0.02967480,0.08778418,0,3,9,0,2,6,0.00240903,0.02059350,0.06132640,0.29738867,0.42288825,0.67192184
48403,0,USTexasSabine,Texas,Sabine,2021-10-28 04:01:55.379480,2020-03-21 00:00:00.000000,0.00385145,0.03224145,0.08924389,0,3,9,0,2,6,0.00252531,0.02190012,0.06445751,0.28705451,0.40139066,0.62594118
48403,0,USTexasSabine,Texas,Sabine,2021-10-28 04:01:55.379480,2020-03-22 00:00:00.000000,0.00409598,0.03518729,0.09319621,0,3,9,0,2,7,0.00265405,0.02370263,0.06755699,0.27488493,0.37131836,0.58367009
48403,0,USTexasSabine,Texas,Sabine,2021-10-28 04:01:55.379480,2020-03-23 00:00:00.000000,0.00464426,0.03706166,0.09692288,0,3,10,0,2,7,0.00300559,0.02563482,0.07056054,0.25594678,0.35424652,0.55725812
48403,0,USTexasSabine,Texas,Sabine,2021-10-28 04:01:55.379480,2020-03-24 00:00:00.000000,0.00527308,0.03841067,0.10030324,0,4,10,0,2,7,0.00340838,0.02661933,0.07338922,0.24889063,0.33739102,0.54317128
48403,0,USTexasSabine,Texas,Sabine,2021-10-28 04:01:55.379480,2020-03-25 00:00:00.000000,0.00599383,0.03882845,0.10404914,0,4,10,0,2,8,0.00387015,0.02780909,0.07595331,0.23638256,0.31899453,0.50751355
48403,0,USTexasSabine,Texas,Sabine,2021-10-28 04:01:55.379480,2020-03-26 00:00:00.000000,0.00681808,0.04085377,0.11014321,0,4,11,0,3,8,0.00439932,0.02899919,0.07817217,0.21878595,0.30773855,0.46926261
48403,0,USTexasSabine,Texas,Sabine,2021-10-28 04:01:55.379480,2020-03-27 00:00:00.000000,0.00774941,0.04238877,0.11577197,0,4,12,0,3,8,0.00500916,0.03061505,0.08000495,0.21186606,0.29877078,0.46157440
48403,0,USTexasSabine,Texas,Sabine,2021-10-28 04:01:55.379480,2020-03-28 00:00:00.000000,0.00831040,0.04310869,0.11915392,0,4,12,0,3,8,0.00557439,0.03119506,0.08312153,0.20814768,0.28640023,0.45330002
48403,0,USTexasSabine,Texas,Sabine,2021-10-28 04:01:55.379480,2020-03-29 00:00:00.000000,0.00858175,0.04347468,0.12107398,0,4,12,0,3,9,0.00576314,0.03133937,0.08560495,0.19960187,0.27494242,0.43166074
