FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48443,0,USTexasTerrell,Texas,Terrell,2021-08-17 21:53:39.975251,2020-03-09 00:00:00.000000,0.01133944,0.10739340,0.67447032,0,0,5,0,0,3,0.00463061,0.05159669,0.40815257,0.38383510,0.53346788,0.79831240
48443,0,USTexasTerrell,Texas,Terrell,2021-08-17 21:53:39.975251,2020-03-10 00:00:00.000000,0.01322666,0.11730833,0.70452259,0,0,5,0,0,3,0.00518852,0.05529192,0.39590864,0.38383360,0.53343179,0.79831228
48443,0,USTexasTerrell,Texas,Terrell,2021-08-17 21:53:39.975251,2020-03-11 00:00:00.000000,0.01537085,0.12780038,0.73800930,0,0,5,0,0,3,0.00600518,0.06089844,0.40166148,0.38383005,0.53336502,0.79831200
48443,0,USTexasTerrell,Texas,Terrell,2021-08-17 21:53:39.975251,2020-03-12 00:00:00.000000,0.01783258,0.14065455,0.77392063,0,1,6,0,0,3,0.00697211,0.06751516,0.41590898,0.38382172,0.53324182,0.79831130
48443,0,USTexasTerrell,Texas,Terrell,2021-08-17 21:53:39.975251,2020-03-13 00:00:00.000000,0.02067230,0.15255663,0.81152412,0,1,6,0,0,3,0.00809890,0.07479903,0.43416691,0.38380213,0.53301560,0.79830957
48443,0,USTexasTerrell,Texas,Terrell,2021-08-17 21:53:39.975251,2020-03-14 00:00:00.000000,0.02304785,0.16489915,0.84994105,0,1,6,0,0,3,0.00940805,0.08264627,0.45435618,0.38375587,0.53292971,0.79830521
48443,0,USTexasTerrell,Texas,Terrell,2021-08-17 21:53:39.975251,2020-03-15 00:00:00.000000,0.02477525,0.17834738,0.88910720,0,1,6,0,0,3,0.01092274,0.09104403,0.48412333,0.37983762,0.53296158,0.79829407
48443,0,USTexasTerrell,Texas,Terrell,2021-08-17 21:53:39.975251,2020-03-16 00:00:00.000000,0.02664770,0.19776273,0.93029742,0,1,7,0,0,3,0.01183464,0.09919570,0.51534242,0.35617088,0.53296901,0.79826523
48443,0,USTexasTerrell,Texas,Terrell,2021-08-17 21:53:39.975251,2020-03-17 00:00:00.000000,0.02866750,0.21359159,0.96851163,0,1,7,0,0,4,0.01269892,0.10773066,0.55470198,0.31546843,0.52903934,0.79818946
48443,0,USTexasTerrell,Texas,Terrell,2021-08-17 21:53:39.975251,2020-03-18 00:00:00.000000,0.03082075,0.23098727,1.03810878,0,1,8,0,0,4,0.01364168,0.11696396,0.59732553,0.30724782,0.51252930,0.79798794
