FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48453,0,USTexasTravis,Texas,Travis,2021-02-22 17:46:22.155210,2020-03-09 00:00:00.000000,0.00416561,0.00972975,0.01987929,53,123,253,21,59,112,0.00165878,0.00465272,0.00886494,0.62015317,0.86344622,1.04181848
48453,0,USTexasTravis,Texas,Travis,2021-02-22 17:46:22.155210,2020-03-10 00:00:00.000000,0.00510840,0.01154687,0.02324844,65,147,296,25,66,121,0.00203786,0.00523040,0.00951726,0.62015329,0.86343443,1.04181812
48453,0,USTexasTravis,Texas,Travis,2021-02-22 17:46:22.155210,2020-03-11 00:00:00.000000,0.00603579,0.01350331,0.02712012,76,172,345,29,75,142,0.00235262,0.00596176,0.01119096,0.62015370,0.86340586,1.04181739
48453,0,USTexasTravis,Texas,Travis,2021-02-22 17:46:22.155210,2020-03-12 00:00:00.000000,0.00704877,0.01585771,0.03157290,89,202,402,35,86,168,0.00276537,0.00681184,0.01320062,0.62015509,0.86333664,1.04181592
48453,0,USTexasTravis,Texas,Travis,2021-02-22 17:46:22.155210,2020-03-13 00:00:00.000000,0.00817529,0.01861090,0.03669970,104,237,467,41,100,195,0.00325651,0.00790677,0.01534236,0.62015970,0.86316933,1.04181296
48453,0,USTexasTravis,Texas,Travis,2021-02-22 17:46:22.155210,2020-03-14 00:00:00.000000,0.00944019,0.02148179,0.04260847,120,273,542,48,117,222,0.00382067,0.00923748,0.01749231,0.62017502,0.86276686,1.04180696
48453,0,USTexasTravis,Texas,Travis,2021-02-22 17:46:22.155210,2020-03-15 00:00:00.000000,0.01086828,0.02477955,0.04942389,138,315,629,56,136,253,0.00446037,0.01073872,0.01990476,0.62022547,0.86180993,1.04179468
48453,0,USTexasTravis,Texas,Travis,2021-02-22 17:46:22.155210,2020-03-16 00:00:00.000000,0.01268175,0.02845200,0.05737906,161,362,730,66,156,288,0.00518283,0.01231787,0.02261735,0.62038935,0.85950848,1.04176896
48453,0,USTexasTravis,Texas,Travis,2021-02-22 17:46:22.155210,2020-03-17 00:00:00.000000,0.01471369,0.03288333,0.06537172,187,418,832,76,178,329,0.00600408,0.01404679,0.02588829,0.62090740,0.85205326,1.04171206
48453,0,USTexasTravis,Texas,Travis,2021-02-22 17:46:22.155210,2020-03-18 00:00:00.000000,0.01701933,0.03784311,0.07408196,216,482,943,88,208,379,0.00693491,0.01636179,0.02979506,0.61811964,0.84188006,1.04157236
48453,0,USTexasTravis,Texas,Travis,2021-02-22 17:46:22.155210,2020-03-19 00:00:00.000000,0.01964091,0.04356468,0.08392712,250,554,1069,101,242,435,0.00798945,0.01905125,0.03422261,0.61609094,0.83573985,1.03665491
48453,0,USTexasTravis,Texas,Travis,2021-02-22 17:46:22.155210,2020-03-20 00:00:00.000000,0.02262483,0.05016103,0.09505707,288,639,1210,117,282,499,0.00918481,0.02215007,0.03923995,0.61507046,0.83731487,1.02290532
