FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48459,0,USTexasUpshur,Texas,Upshur,2021-01-05 07:57:04.261269,2020-03-09 00:00:00.000000,0.00411517,0.01372692,0.02994879,1,5,12,0,2,6,0.00127575,0.00623011,0.01645642,0.36075456,0.46440592,0.59703207
48459,0,USTexasUpshur,Texas,Upshur,2021-01-05 07:57:04.261269,2020-03-10 00:00:00.000000,0.00576007,0.01674235,0.03474980,2,6,14,0,3,8,0.00203906,0.00726658,0.01921956,0.36075448,0.46439902,0.59699693
48459,0,USTexasUpshur,Texas,Upshur,2021-01-05 07:57:04.261269,2020-03-11 00:00:00.000000,0.00726247,0.02086906,0.04053719,3,8,16,1,3,9,0.00282947,0.00925070,0.02283011,0.36075429,0.46436862,0.59693155
48459,0,USTexasUpshur,Texas,Upshur,2021-01-05 07:57:04.261269,2020-03-12 00:00:00.000000,0.00903862,0.02481761,0.04823935,3,10,20,1,4,11,0.00355153,0.01128072,0.02672116,0.36075388,0.46423478,0.59680938
48459,0,USTexasUpshur,Texas,Upshur,2021-01-05 07:57:04.261269,2020-03-13 00:00:00.000000,0.01095901,0.02891131,0.05613277,4,12,23,1,5,12,0.00434948,0.01404646,0.03078402,0.36075298,0.46364853,0.59657965
48459,0,USTexasUpshur,Texas,Upshur,2021-01-05 07:57:04.261269,2020-03-14 00:00:00.000000,0.01303094,0.03332207,0.06435757,5,13,26,2,6,14,0.00519492,0.01675667,0.03496975,0.36075101,0.46013694,0.59614440
48459,0,USTexasUpshur,Texas,Upshur,2021-01-05 07:57:04.261269,2020-03-15 00:00:00.000000,0.01526300,0.03853189,0.07456975,6,16,31,2,7,16,0.00607591,0.01902864,0.04006755,0.35674030,0.45175443,0.59221021
48459,0,USTexasUpshur,Texas,Upshur,2021-01-05 07:57:04.261269,2020-03-16 00:00:00.000000,0.01829449,0.04343196,0.08339966,7,18,34,2,9,19,0.00710087,0.02178897,0.04559422,0.33697130,0.44280195,0.59172370
48459,0,USTexasUpshur,Texas,Upshur,2021-01-05 07:57:04.261269,2020-03-17 00:00:00.000000,0.02099784,0.04888707,0.09436030,8,20,39,3,10,21,0.00830257,0.02536010,0.05236279,0.30885427,0.43953497,0.59124406
48459,0,USTexasUpshur,Texas,Upshur,2021-01-05 07:57:04.261269,2020-03-18 00:00:00.000000,0.02392980,0.05446563,0.10520055,9,22,43,4,12,24,0.00961610,0.02948998,0.05962524,0.27180136,0.42928086,0.58822580
48459,0,USTexasUpshur,Texas,Upshur,2021-01-05 07:57:04.261269,2020-03-19 00:00:00.000000,0.02705684,0.06041657,0.11556281,11,25,48,4,13,27,0.01103427,0.03315090,0.06693437,0.26532093,0.41290956,0.58012408
48459,0,USTexasUpshur,Texas,Upshur,2021-01-05 07:57:04.261269,2020-03-20 00:00:00.000000,0.03005233,0.06589805,0.12536399,12,27,52,5,15,30,0.01258089,0.03756286,0.07337480,0.26150895,0.38342393,0.56788277
48459,0,USTexasUpshur,Texas,Upshur,2021-01-05 07:57:04.261269,2020-03-21 00:00:00.000000,0.03361047,0.07017992,0.13402734,14,29,55,6,17,32,0.01484813,0.04207275,0.07665420,0.24736997,0.36180864,0.54729250
48459,0,USTexasUpshur,Texas,Upshur,2021-01-05 07:57:04.261269,2020-03-22 00:00:00.000000,0.03646277,0.07393819,0.14095042,15,30,58,7,18,33,0.01742687,0.04456706,0.07961566,0.23916490,0.34198003,0.51290857
48459,0,USTexasUpshur,Texas,Upshur,2021-01-05 07:57:04.261269,2020-03-23 00:00:00.000000,0.03985077,0.08070733,0.14524927,16,33,60,8,19,35,0.02008887,0.04675033,0.08547933,0.23184049,0.32912900,0.49739937
