FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-09 00:00:00.000000,0.00422383,0.01057553,0.02635655,1,4,10,0,2,6,0.00160502,0.00534785,0.01649275,0.33909849,0.44335558,0.58220391
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-10 00:00:00.000000,0.00512510,0.01292292,0.02906213,2,5,12,0,2,6,0.00209752,0.00581291,0.01582387,0.33909843,0.44330171,0.58220210
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-11 00:00:00.000000,0.00624993,0.01623433,0.03335097,2,6,13,1,2,6,0.00271482,0.00660019,0.01655339,0.33909817,0.44318287,0.58219913
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-12 00:00:00.000000,0.00762839,0.01944922,0.03787197,3,8,15,1,3,7,0.00342233,0.00828699,0.01872624,0.33909714,0.44291275,0.58219416
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-13 00:00:00.000000,0.00912312,0.02302313,0.04254564,3,9,17,1,4,9,0.00415185,0.01008401,0.02176548,0.33909302,0.44146367,0.58218512
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-14 00:00:00.000000,0.01074128,0.02597221,0.04915608,4,10,20,2,4,10,0.00493970,0.01197598,0.02606734,0.33907658,0.43594069,0.58216074
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-15 00:00:00.000000,0.01249067,0.02946079,0.05662459,5,12,23,2,5,12,0.00578045,0.01403400,0.03026943,0.33901273,0.43410199,0.58200637
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-16 00:00:00.000000,0.01510601,0.03674743,0.06403408,6,15,26,2,6,13,0.00667262,0.01605973,0.03289844,0.33878950,0.42511381,0.58035902
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-17 00:00:00.000000,0.01868381,0.04191236,0.07196256,7,17,29,3,8,14,0.00791016,0.01936262,0.03566685,0.32426623,0.41627392,0.56529352
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-18 00:00:00.000000,0.02242882,0.04737376,0.07996688,9,19,33,4,9,17,0.00982827,0.02279014,0.04210106,0.28339707,0.40052506,0.56065519
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-19 00:00:00.000000,0.02564296,0.05223964,0.08868839,10,21,36,4,10,20,0.01157390,0.02580112,0.04929975,0.25446362,0.38943908,0.54814662
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-20 00:00:00.000000,0.02870491,0.05661864,0.10076473,11,23,41,5,11,23,0.01315574,0.02808259,0.05636082,0.24850717,0.36887427,0.52298375
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-21 00:00:00.000000,0.03172363,0.06203726,0.11298010,13,25,46,6,12,25,0.01459704,0.03127782,0.06138822,0.24575061,0.34818319,0.48848924
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-22 00:00:00.000000,0.03475628,0.06711888,0.12317277,14,27,51,6,14,28,0.01585548,0.03449490,0.06920451,0.22400078,0.32740107,0.43197566
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-23 00:00:00.000000,0.03830665,0.07178312,0.13085763,15,29,54,7,15,31,0.01738994,0.03734455,0.07684487,0.22161993,0.30423355,0.39957398
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-24 00:00:00.000000,0.04196357,0.07629790,0.13590193,17,31,56,8,17,33,0.02000691,0.04097587,0.08125250,0.20031529,0.28821074,0.37880441
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-25 00:00:00.000000,0.04524193,0.08152091,0.13914309,18,33,57,9,18,35,0.02313729,0.04417751,0.08444877,0.18279516,0.27588444,0.36557608
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-26 00:00:00.000000,0.04771113,0.08661454,0.14127775,19,35,58,10,19,36,0.02416109,0.04743524,0.08689369,0.17933659,0.26873809,0.35096004
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-27 00:00:00.000000,0.04818875,0.08989201,0.14270011,20,37,59,10,20,36,0.02513211,0.05028204,0.08860733,0.16837531,0.25762861,0.33782183
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-28 00:00:00.000000,0.04860687,0.09443824,0.14351952,20,39,59,10,22,37,0.02635865,0.05421422,0.08954810,0.15777393,0.24140887,0.32402763
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-29 00:00:00.000000,0.04898942,0.09813425,0.14373397,20,40,59,11,23,37,0.02684092,0.05737606,0.08986540,0.15326939,0.22605248,0.32148436
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-30 00:00:00.000000,0.05045850,0.10364592,0.14608503,20,43,60,11,24,38,0.02755209,0.05961057,0.09209309,0.14965800,0.21684039,0.30317186
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-03-31 00:00:00.000000,0.05191092,0.10667911,0.15059730,21,44,62,11,26,39,0.02832201,0.06295231,0.09390952,0.14700372,0.20906553,0.29776459
48481,0,USTexasWharton,Texas,Wharton,2021-11-24 09:12:45.459986,2020-04-01 00:00:00.000000,0.05478945,0.10814440,0.15428898,22,44,64,12,26,39,0.03019934,0.06492066,0.09527174,0.14385166,0.20209827,0.28338900
