FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
50017,0,USVermontOrange,Vermont,Orange,2021-11-10 07:55:09.699429,2020-03-09 00:00:00.000000,0.00525025,0.01519247,0.02484220,1,4,7,0,1,3,0.00142944,0.00587836,0.01194230,0.32876400,0.46570142,0.66019303
50017,0,USVermontOrange,Vermont,Orange,2021-11-10 07:55:09.699429,2020-03-10 00:00:00.000000,0.00663151,0.01979854,0.03119935,1,5,9,0,2,3,0.00258519,0.00725076,0.01359476,0.32876375,0.46568624,0.65956258
50017,0,USVermontOrange,Vermont,Orange,2021-11-10 07:55:09.699429,2020-03-11 00:00:00.000000,0.00807695,0.02437925,0.04179191,2,7,12,0,2,4,0.00338035,0.00966555,0.01599833,0.32876324,0.46564755,0.65836952
50017,0,USVermontOrange,Vermont,Orange,2021-11-10 07:55:09.699429,2020-03-12 00:00:00.000000,0.00956826,0.02960928,0.05155534,2,8,14,1,3,6,0.00406824,0.01236152,0.02092908,0.32876222,0.46554895,0.65612178
50017,0,USVermontOrange,Vermont,Orange,2021-11-10 07:55:09.699429,2020-03-13 00:00:00.000000,0.01109822,0.03549102,0.06127487,3,10,17,1,4,7,0.00487663,0.01525881,0.02603347,0.32876014,0.46529798,0.65192254
50017,0,USVermontOrange,Vermont,Orange,2021-11-10 07:55:09.699429,2020-03-14 00:00:00.000000,0.01291028,0.04178859,0.07179977,3,12,20,1,5,9,0.00586401,0.01855324,0.03206084,0.32875589,0.46466108,0.64521419
50017,0,USVermontOrange,Vermont,Orange,2021-11-10 07:55:09.699429,2020-03-15 00:00:00.000000,0.01510872,0.04810002,0.08405549,4,13,24,1,6,11,0.00678804,0.02196678,0.04047493,0.32874715,0.46305686,0.63884511
50017,0,USVermontOrange,Vermont,Orange,2021-11-10 07:55:09.699429,2020-03-16 00:00:00.000000,0.01920564,0.05568580,0.09321698,5,16,26,2,7,14,0.00774062,0.02521868,0.04859698,0.32872907,0.45766228,0.62462479
50017,0,USVermontOrange,Vermont,Orange,2021-11-10 07:55:09.699429,2020-03-17 00:00:00.000000,0.02353322,0.06339187,0.10360305,6,18,29,2,8,15,0.00948825,0.02946891,0.05509781,0.32869146,0.45506672,0.60505606
50017,0,USVermontOrange,Vermont,Orange,2021-11-10 07:55:09.699429,2020-03-18 00:00:00.000000,0.02925901,0.07172988,0.11507005,8,20,33,3,9,17,0.01195171,0.03399157,0.06137221,0.32861294,0.44514711,0.60073581
50017,0,USVermontOrange,Vermont,Orange,2021-11-10 07:55:09.699429,2020-03-19 00:00:00.000000,0.03543579,0.07889154,0.12719184,10,22,36,4,10,19,0.01548352,0.03806043,0.06761035,0.31371514,0.42502283,0.58885048
50017,0,USVermontOrange,Vermont,Orange,2021-11-10 07:55:09.699429,2020-03-20 00:00:00.000000,0.04175552,0.08642017,0.13883255,12,24,40,5,12,21,0.01854939,0.04305020,0.07382595,0.28242449,0.41352036,0.56615736
50017,0,USVermontOrange,Vermont,Orange,2021-11-10 07:55:09.699429,2020-03-21 00:00:00.000000,0.04821836,0.09350734,0.14956907,13,27,43,6,13,23,0.02137881,0.04723929,0.07989740,0.25237029,0.37652972,0.54708973
50017,0,USVermontOrange,Vermont,Orange,2021-11-10 07:55:09.699429,2020-03-22 00:00:00.000000,0.05483092,0.09974253,0.15978478,15,28,46,6,15,24,0.02419823,0.05192479,0.08563169,0.22503633,0.35521238,0.52745680
50017,0,USVermontOrange,Vermont,Orange,2021-11-10 07:55:09.699429,2020-03-23 00:00:00.000000,0.05877055,0.10658962,0.17042832,16,30,49,7,15,26,0.02749963,0.05531294,0.09203314,0.21902125,0.33462768,0.49659614
50017,0,USVermontOrange,Vermont,Orange,2021-11-10 07:55:09.699429,2020-03-24 00:00:00.000000,0.06280526,0.11397283,0.18190380,18,32,52,8,17,29,0.03067814,0.05951597,0.10177354,0.20995168,0.32812189,0.47699517
