FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
50023,0,USVermontWashington,Vermont,Washington,2021-03-04 16:00:09.136458,2020-03-09 00:00:00.000000,0.00436721,0.01468242,0.03558679,2,8,20,0,3,10,0.00108908,0.00607652,0.01730110,0.42970129,0.55691994,0.71979733
50023,0,USVermontWashington,Vermont,Washington,2021-03-04 16:00:09.136458,2020-03-10 00:00:00.000000,0.00672149,0.01896155,0.04278607,3,11,24,1,4,11,0.00205014,0.00753476,0.01903489,0.42970124,0.55691926,0.71976251
50023,0,USVermontWashington,Vermont,Washington,2021-03-04 16:00:09.136458,2020-03-11 00:00:00.000000,0.00861142,0.02412067,0.04846317,5,14,28,1,5,13,0.00300819,0.00958527,0.02229753,0.42970111,0.55691762,0.71965708
50023,0,USVermontWashington,Vermont,Washington,2021-03-04 16:00:09.136458,2020-03-12 00:00:00.000000,0.01087837,0.02984358,0.05780563,6,17,33,2,7,15,0.00415352,0.01233027,0.02655068,0.42970080,0.55691342,0.71933816
50023,0,USVermontWashington,Vermont,Washington,2021-03-04 16:00:09.136458,2020-03-13 00:00:00.000000,0.01344188,0.03344597,0.06571124,7,19,38,3,9,16,0.00542566,0.01545643,0.02888096,0.42969999,0.55690213,0.71837635
50023,0,USVermontWashington,Vermont,Washington,2021-03-04 16:00:09.136458,2020-03-14 00:00:00.000000,0.01621516,0.03906207,0.07882525,9,22,46,3,10,20,0.00682418,0.01805218,0.03486302,0.42969789,0.55534179,0.71533555
50023,0,USVermontWashington,Vermont,Washington,2021-03-04 16:00:09.136458,2020-03-15 00:00:00.000000,0.01921353,0.04577516,0.09074436,11,26,53,4,12,23,0.00834207,0.02084115,0.04012142,0.42969213,0.55205619,0.70646901
50023,0,USVermontWashington,Vermont,Washington,2021-03-04 16:00:09.136458,2020-03-16 00:00:00.000000,0.02268590,0.05295103,0.10178311,13,30,59,5,14,27,0.00965322,0.02419264,0.04646436,0.42289454,0.54983370,0.70324129
50023,0,USVermontWashington,Vermont,Washington,2021-03-04 16:00:09.136458,2020-03-17 00:00:00.000000,0.02615318,0.06069546,0.11382160,15,35,66,6,16,30,0.01103742,0.02825209,0.05273097,0.41799942,0.53917654,0.69738856
50023,0,USVermontWashington,Vermont,Washington,2021-03-04 16:00:09.136458,2020-03-18 00:00:00.000000,0.03117097,0.06671154,0.12708474,18,38,74,7,19,34,0.01266183,0.03275829,0.05923587,0.40975319,0.52329988,0.67833751
