FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51520,0,USVirginiaBristol,Virginia,Bristol,2021-09-15 14:42:56.672251,2020-03-09 00:00:00.000000,0.00203827,0.01239009,0.03245612,0,2,5,0,1,3,0.00103355,0.00714630,0.01915695,0.36151771,0.49943371,0.66118338
51520,0,USVirginiaBristol,Virginia,Bristol,2021-09-15 14:42:56.672251,2020-03-10 00:00:00.000000,0.00220628,0.01289232,0.03520864,0,2,5,0,1,3,0.00105781,0.00706974,0.01807985,0.36147302,0.49942515,0.66118020
51520,0,USVirginiaBristol,Virginia,Bristol,2021-09-15 14:42:56.672251,2020-03-11 00:00:00.000000,0.00238620,0.01343829,0.03809860,0,2,6,0,1,3,0.00113892,0.00689691,0.01857080,0.36144465,0.49940193,0.66117230
51520,0,USVirginiaBristol,Virginia,Bristol,2021-09-15 14:42:56.672251,2020-03-12 00:00:00.000000,0.00257749,0.01384796,0.04111144,0,2,6,0,1,3,0.00124571,0.00709379,0.02002982,0.36143048,0.49933876,0.66115272
51520,0,USVirginiaBristol,Virginia,Bristol,2021-09-15 14:42:56.672251,2020-03-13 00:00:00.000000,0.00278072,0.01482041,0.04425693,0,2,7,0,1,3,0.00136518,0.00737087,0.02154599,0.36138457,0.49912332,0.66110414
51520,0,USVirginiaBristol,Virginia,Bristol,2021-09-15 14:42:56.672251,2020-03-14 00:00:00.000000,0.00299683,0.01584813,0.04752154,0,2,7,0,1,3,0.00149229,0.00781023,0.02330675,0.36122583,0.49531925,0.66098366
51520,0,USVirginiaBristol,Virginia,Bristol,2021-09-15 14:42:56.672251,2020-03-15 00:00:00.000000,0.00322686,0.01691872,0.05092182,0,2,8,0,1,4,0.00162550,0.00804103,0.02513286,0.36066024,0.49465171,0.66068511
51520,0,USVirginiaBristol,Virginia,Bristol,2021-09-15 14:42:56.672251,2020-03-16 00:00:00.000000,0.00717879,0.02206052,0.06461249,1,3,10,0,1,4,0.00176479,0.00827785,0.02703684,0.35880649,0.49318598,0.65994656
51520,0,USVirginiaBristol,Virginia,Bristol,2021-09-15 14:42:56.672251,2020-03-17 00:00:00.000000,0.01037119,0.02835157,0.07808765,1,4,13,0,1,5,0.00260132,0.01021029,0.03143846,0.35677794,0.49010977,0.65812800
51520,0,USVirginiaBristol,Virginia,Bristol,2021-09-15 14:42:56.672251,2020-03-18 00:00:00.000000,0.01375137,0.03487913,0.08692595,2,5,14,0,2,5,0.00441553,0.01250186,0.03483018,0.35330325,0.47651850,0.65549011
