FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51033,0,USVirginiaCaroline,Virginia,Caroline,2021-10-28 02:05:26.012627,2020-03-09 00:00:00.000000,0.00172229,0.00975559,0.02738676,0,2,8,0,1,4,0.00108139,0.00508106,0.01462989,0.36712353,0.52406251,0.65517959
51033,0,USVirginiaCaroline,Virginia,Caroline,2021-10-28 02:05:26.012627,2020-03-10 00:00:00.000000,0.00188129,0.01035938,0.02979811,0,3,9,0,1,4,0.00101747,0.00489168,0.01529404,0.36710817,0.52401266,0.65448746
51033,0,USVirginiaCaroline,Virginia,Caroline,2021-10-28 02:05:26.012627,2020-03-11 00:00:00.000000,0.00219406,0.01103100,0.03145751,0,3,9,0,1,4,0.00100793,0.00508708,0.01563885,0.36707764,0.52390592,0.65332486
51033,0,USVirginiaCaroline,Virginia,Caroline,2021-10-28 02:05:26.012627,2020-03-12 00:00:00.000000,0.00253354,0.01176970,0.03413792,0,3,10,0,1,5,0.00103228,0.00545808,0.01698447,0.36701769,0.52367836,0.65132363
51033,0,USVirginiaCaroline,Virginia,Caroline,2021-10-28 02:05:26.012627,2020-03-13 00:00:00.000000,0.00278783,0.01256499,0.03691999,0,3,11,0,1,5,0.00117949,0.00591090,0.01832260,0.36690290,0.52215179,0.64780501
51033,0,USVirginiaCaroline,Virginia,Caroline,2021-10-28 02:05:26.012627,2020-03-14 00:00:00.000000,0.00301948,0.01341410,0.03995930,0,4,12,0,1,5,0.00136722,0.00640530,0.01940142,0.36669317,0.52058887,0.64296245
51033,0,USVirginiaCaroline,Virginia,Caroline,2021-10-28 02:05:26.012627,2020-03-15 00:00:00.000000,0.00326874,0.01431722,0.04291900,1,4,13,0,2,6,0.00154767,0.00692668,0.02055392,0.36634027,0.51878025,0.64296236
51033,0,USVirginiaCaroline,Virginia,Caroline,2021-10-28 02:05:26.012627,2020-03-16 00:00:00.000000,0.00478600,0.01951934,0.05134415,1,5,15,0,2,6,0.00168245,0.00753326,0.02176083,0.36581643,0.51645621,0.64296197
51033,0,USVirginiaCaroline,Virginia,Caroline,2021-10-28 02:05:26.012627,2020-03-17 00:00:00.000000,0.00635436,0.02425424,0.05808370,1,7,17,0,2,7,0.00214857,0.00948720,0.02497746,0.35763092,0.51493908,0.64296034
51033,0,USVirginiaCaroline,Virginia,Caroline,2021-10-28 02:05:26.012627,2020-03-18 00:00:00.000000,0.00917882,0.02906763,0.06467526,2,8,19,0,3,8,0.00281110,0.01108577,0.02922643,0.31451145,0.50386689,0.64295316
51033,0,USVirginiaCaroline,Virginia,Caroline,2021-10-28 02:05:26.012627,2020-03-19 00:00:00.000000,0.01253313,0.03400776,0.07303579,3,10,22,1,4,10,0.00416765,0.01375133,0.03430121,0.27666571,0.47970693,0.64243998
