FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-09 00:00:00.000000,0.00039058,0.01604120,0.05178599,0,2,8,0,1,5,0.00015287,0.00827509,0.03355829,0.41316839,0.59915478,0.82231096
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-10 00:00:00.000000,0.00044665,0.01851444,0.05447939,0,3,9,0,1,5,0.00017474,0.00845604,0.03147880,0.41316838,0.59915479,0.82230267
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-11 00:00:00.000000,0.00050561,0.02069235,0.06061353,0,3,10,0,1,5,0.00020171,0.00906197,0.03082152,0.41316834,0.59892476,0.82228455
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-12 00:00:00.000000,0.00057961,0.02324426,0.06751384,0,4,11,0,1,5,0.00023186,0.01005241,0.03266708,0.41316801,0.59685847,0.82224483
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-13 00:00:00.000000,0.00068703,0.02590601,0.07525842,0,4,13,0,1,6,0.00026457,0.01085762,0.03606125,0.41316523,0.59628663,0.82215756
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-14 00:00:00.000000,0.00080812,0.02852464,0.08391054,0,4,14,0,2,6,0.00031245,0.01225099,0.04001033,0.41314225,0.59535022,0.81711061
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-15 00:00:00.000000,0.00094547,0.03105043,0.09346380,0,5,16,0,2,7,0.00036874,0.01371001,0.04450080,0.41295237,0.59474201,0.80811742
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-16 00:00:00.000000,0.00110175,0.03368331,0.10371652,0,5,18,0,2,8,0.00043271,0.01518084,0.04952588,0.41140709,0.59473033,0.80810882
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-17 00:00:00.000000,0.00127964,0.03640186,0.10964983,0,6,19,0,2,9,0.00050550,0.01682181,0.05502508,0.40445685,0.58973887,0.80807489
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-18 00:00:00.000000,0.00148148,0.03917953,0.11828657,0,6,20,0,3,10,0.00058840,0.01866610,0.06008578,0.39871098,0.58240428,0.80794317
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-19 00:00:00.000000,0.00170850,0.04198650,0.13100125,0,7,22,0,3,11,0.00068269,0.02074180,0.06633340,0.36207901,0.57300383,0.79666790
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-20 00:00:00.000000,0.00195997,0.04558698,0.14009397,0,7,24,0,3,12,0.00078938,0.02301333,0.07196080,0.35486202,0.55059030,0.78105547
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-21 00:00:00.000000,0.00223307,0.04970539,0.14755735,0,8,25,0,4,13,0.00090887,0.02496121,0.07692760,0.32053850,0.53450472,0.77180605
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-22 00:00:00.000000,0.00252520,0.05409927,0.15492332,0,9,26,0,4,14,0.00104072,0.02686159,0.08158085,0.31310405,0.52187976,0.74513762
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-23 00:00:00.000000,0.01300716,0.06762745,0.17046898,2,11,29,0,4,14,0.00118404,0.02876558,0.08605168,0.31267686,0.49102523,0.71839798
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-24 00:00:00.000000,0.02000088,0.08533527,0.19793981,3,14,34,0,5,15,0.00411757,0.03423094,0.09101397,0.31264854,0.47098124,0.69813917
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-25 00:00:00.000000,0.02695647,0.09967352,0.23916718,4,17,41,1,7,16,0.00610619,0.04221880,0.09605324,0.31272259,0.46302404,0.68040997
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-26 00:00:00.000000,0.03349252,0.11501264,0.26393174,5,19,45,1,8,18,0.00885488,0.04954651,0.10865836,0.31337919,0.44953298,0.66870256
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-27 00:00:00.000000,0.04183596,0.12936115,0.28851499,7,22,50,2,9,21,0.01285993,0.05550195,0.12323933,0.31052273,0.43814087,0.68274186
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-28 00:00:00.000000,0.05001189,0.14586382,0.31315562,8,25,54,3,10,23,0.01730882,0.06236303,0.13810558,0.27327332,0.42688661,0.65036314
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-29 00:00:00.000000,0.05840417,0.15562712,0.33984203,10,27,59,3,11,27,0.02186494,0.06861583,0.16014678,0.26270519,0.42547513,0.61913159
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-30 00:00:00.000000,0.07358548,0.18024467,0.37231123,12,31,64,4,13,30,0.02507095,0.07648265,0.17415898,0.26134969,0.41401870,0.61596022
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-03-31 00:00:00.000000,0.08852692,0.20364368,0.41723066,15,35,72,5,14,34,0.03063632,0.08586917,0.19743691,0.25970883,0.41385128,0.60816631
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-04-01 00:00:00.000000,0.10307443,0.22812723,0.46415848,17,39,80,6,17,38,0.03557899,0.09836270,0.22239253,0.25605294,0.41003813,0.58716368
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-04-02 00:00:00.000000,0.11894133,0.24860076,0.51303194,20,43,89,7,18,42,0.04542649,0.10775614,0.24313915,0.25113843,0.41412587,0.57199458
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-04-03 00:00:00.000000,0.13654223,0.26994696,0.56367693,23,46,97,9,21,47,0.05411826,0.12170512,0.27070958,0.24188568,0.40198253,0.56298394
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-04-04 00:00:00.000000,0.15483513,0.29837593,0.61577547,26,51,106,10,23,50,0.05985414,0.13571723,0.29064659,0.23261488,0.38741501,0.57295448
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-04-05 00:00:00.000000,0.16591408,0.32527593,0.66878379,28,56,116,11,25,55,0.06587715,0.14922482,0.32163562,0.22396164,0.37689360,0.57732623
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-04-06 00:00:00.000000,0.17715180,0.36093388,0.71060285,30,62,123,12,28,62,0.07222748,0.16245287,0.35801815,0.22391446,0.35439181,0.57633015
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-04-07 00:00:00.000000,0.21054354,0.39683106,0.75170373,36,68,130,14,30,65,0.08622836,0.17624107,0.37838560,0.22425111,0.34230570,0.57201815
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-04-08 00:00:00.000000,0.24353509,0.43161524,0.78954118,42,74,137,17,33,69,0.09840309,0.19151000,0.39903168,0.22127231,0.33877133,0.56364094
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-04-09 00:00:00.000000,0.26830244,0.46957066,0.82269860,46,81,142,19,36,76,0.11035945,0.20841695,0.43886122,0.20668960,0.33560017,0.54351581
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-04-10 00:00:00.000000,0.29366143,0.50653906,0.87551420,51,87,152,22,39,83,0.12806636,0.22835374,0.47925976,0.20496460,0.31963642,0.50479615
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-04-11 00:00:00.000000,0.31813334,0.54312009,0.93923085,55,94,163,24,43,87,0.14384411,0.24765526,0.50195585,0.20438075,0.30907149,0.47887650
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-04-12 00:00:00.000000,0.34160340,0.57732180,0.99415706,59,100,172,26,46,90,0.15508161,0.26657732,0.52188514,0.19834511,0.29508070,0.47688887
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-04-13 00:00:00.000000,0.37545887,0.59284864,1.02980346,65,102,178,28,50,93,0.16463593,0.28847498,0.53953260,0.19580194,0.28557716,0.45942375
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-04-14 00:00:00.000000,0.39604547,0.61089779,1.04137350,68,106,180,30,53,96,0.17798232,0.30774645,0.55664812,0.18648281,0.27349795,0.45615716
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-04-15 00:00:00.000000,0.41186962,0.63542646,1.05088662,71,110,182,33,56,99,0.19309714,0.32485474,0.57295102,0.16442968,0.26344055,0.43607246
51570,0,USVirginiaColonialHeights,Virginia,Colonial Heights,2021-07-21 03:41:03.776625,2020-04-16 00:00:00.000000,0.44188268,0.65157189,1.05675702,76,113,183,35,58,102,0.20620441,0.33935715,0.58829189,0.15742421,0.26135078,0.42147361
