FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51065,0,USVirginiaFluvanna,Virginia,Fluvanna,2021-11-10 07:08:05.974492,2020-03-09 00:00:00.000000,0.00036984,0.01362837,0.03561825,0,3,9,0,2,5,0.00020363,0.00765360,0.02137191,0.43399092,0.56148478,0.75622782
51065,0,USVirginiaFluvanna,Virginia,Fluvanna,2021-11-10 07:08:05.974492,2020-03-10 00:00:00.000000,0.00036884,0.01477902,0.03627522,0,4,9,0,2,6,0.00019914,0.00830723,0.02302141,0.43396086,0.56148409,0.75622727
51065,0,USVirginiaFluvanna,Virginia,Fluvanna,2021-11-10 07:08:05.974492,2020-03-11 00:00:00.000000,0.00037844,0.01560432,0.03803981,0,4,10,0,2,6,0.00020463,0.00908638,0.02485099,0.43390463,0.56148274,0.75622580
51065,0,USVirginiaFluvanna,Virginia,Fluvanna,2021-11-10 07:08:05.974492,2020-03-12 00:00:00.000000,0.00038971,0.01675425,0.04164324,0,4,11,0,2,6,0.00021178,0.00973276,0.02545826,0.43379949,0.56118768,0.75622174
51065,0,USVirginiaFluvanna,Virginia,Fluvanna,2021-11-10 07:08:05.974492,2020-03-13 00:00:00.000000,0.00040066,0.01787446,0.04555103,0,4,12,0,2,7,0.00021936,0.01052500,0.02608898,0.43360317,0.56028095,0.75621038
51065,0,USVirginiaFluvanna,Virginia,Fluvanna,2021-11-10 07:08:05.974492,2020-03-14 00:00:00.000000,0.00042402,0.01877430,0.04979677,0,5,13,0,3,7,0.00024380,0.01129366,0.02791387,0.43323743,0.55898989,0.75617809
51065,0,USVirginiaFluvanna,Virginia,Fluvanna,2021-11-10 07:08:05.974492,2020-03-15 00:00:00.000000,0.00047039,0.02013981,0.05298814,0,5,14,0,3,8,0.00027079,0.01195182,0.03054728,0.43255908,0.55599842,0.75608560
51065,0,USVirginiaFluvanna,Virginia,Fluvanna,2021-11-10 07:08:05.974492,2020-03-16 00:00:00.000000,0.00543989,0.02816616,0.06403618,1,7,17,0,3,9,0.00030054,0.01286949,0.03340209,0.43131100,0.55203117,0.75581946
51065,0,USVirginiaFluvanna,Virginia,Fluvanna,2021-11-10 07:08:05.974492,2020-03-17 00:00:00.000000,0.01043790,0.03561432,0.07462222,2,9,20,0,4,10,0.00348655,0.01767135,0.03948493,0.42904850,0.54990397,0.75505501
51065,0,USVirginiaFluvanna,Virginia,Fluvanna,2021-11-10 07:08:05.974492,2020-03-18 00:00:00.000000,0.01522076,0.04214887,0.08643566,4,11,23,1,5,12,0.00669597,0.02146389,0.04657145,0.40223952,0.53428550,0.75289047
