FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51640,0,USVirginiaGalax,Virginia,Galax,2021-03-04 15:22:26.205248,2020-03-09 00:00:00.000000,0.00284744,0.02636748,0.10884290,0,1,6,0,0,3,0.00160798,0.01392424,0.06263858,0.37369496,0.53550671,0.78090585
51640,0,USVirginiaGalax,Virginia,Galax,2021-03-04 15:22:26.205248,2020-03-10 00:00:00.000000,0.00329445,0.02890135,0.11754530,0,1,7,0,0,3,0.00167047,0.01385719,0.06278013,0.37369550,0.53550671,0.78021023
51640,0,USVirginiaGalax,Virginia,Galax,2021-03-04 15:22:26.205248,2020-03-11 00:00:00.000000,0.00376387,0.03210352,0.12706559,0,2,8,0,0,4,0.00184287,0.01452045,0.06540624,0.37369690,0.53550669,0.77928047
51640,0,USVirginiaGalax,Virginia,Galax,2021-03-04 15:22:26.205248,2020-03-12 00:00:00.000000,0.00426528,0.03530510,0.13196493,0,2,8,0,1,4,0.00207564,0.01589835,0.06766513,0.37370055,0.53550667,0.77802740
51640,0,USVirginiaGalax,Virginia,Galax,2021-03-04 15:22:26.205248,2020-03-13 00:00:00.000000,0.00480600,0.03864820,0.13784048,0,2,8,0,1,4,0.00234771,0.01702557,0.07068635,0.37371007,0.53524472,0.77513223
51640,0,USVirginiaGalax,Virginia,Galax,2021-03-04 15:22:26.205248,2020-03-14 00:00:00.000000,0.00539174,0.04133552,0.14444041,0,2,9,0,1,4,0.00265115,0.01834858,0.07438979,0.37373477,0.53416758,0.76655848
51640,0,USVirginiaGalax,Virginia,Galax,2021-03-04 15:22:26.205248,2020-03-15 00:00:00.000000,0.00602589,0.04414672,0.15321878,0,2,9,0,1,4,0.00298395,0.01982990,0.07850051,0.37379844,0.53416708,0.75331229
51640,0,USVirginiaGalax,Virginia,Galax,2021-03-04 15:22:26.205248,2020-03-16 00:00:00.000000,0.01341854,0.05949289,0.18861425,0,3,11,0,1,5,0.00334627,0.02168066,0.08411588,0.37395989,0.53273297,0.73374708
51640,0,USVirginiaGalax,Virginia,Galax,2021-03-04 15:22:26.205248,2020-03-17 00:00:00.000000,0.02399095,0.07460437,0.22444818,1,4,14,0,1,6,0.00565100,0.02580491,0.10372553,0.37435282,0.53151243,0.71834031
51640,0,USVirginiaGalax,Virginia,Galax,2021-03-04 15:22:26.205248,2020-03-18 00:00:00.000000,0.03311448,0.09026670,0.26265594,2,5,16,0,2,7,0.00908283,0.03219522,0.12169734,0.36691872,0.52141069,0.68432515
