FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51660,0,USVirginiaHarrisonburg,Virginia,Harrisonburg,2021-01-20 16:24:35.092111,2020-03-09 00:00:00.000000,0.00227799,0.00978567,0.02408310,1,5,12,0,2,6,0.00119225,0.00507087,0.01312135,0.54805096,0.73337324,1.00242291
51660,0,USVirginiaHarrisonburg,Virginia,Harrisonburg,2021-01-20 16:24:35.092111,2020-03-10 00:00:00.000000,0.00295954,0.01137188,0.02806540,1,6,14,0,2,7,0.00133386,0.00552032,0.01491275,0.54805233,0.73337384,1.00242322
51660,0,USVirginiaHarrisonburg,Virginia,Harrisonburg,2021-01-20 16:24:35.092111,2020-03-11 00:00:00.000000,0.00343063,0.01291693,0.03305183,1,6,17,0,3,9,0.00177572,0.00617212,0.01742125,0.54805520,0.73337501,1.00242421
51660,0,USVirginiaHarrisonburg,Virginia,Harrisonburg,2021-01-20 16:24:35.092111,2020-03-12 00:00:00.000000,0.00394142,0.01494298,0.03894665,2,7,20,1,3,10,0.00211693,0.00717774,0.02049063,0.54806122,0.73337742,1.00242746
51660,0,USVirginiaHarrisonburg,Virginia,Harrisonburg,2021-01-20 16:24:35.092111,2020-03-13 00:00:00.000000,0.00453260,0.01722016,0.04593732,2,9,24,1,4,12,0.00242675,0.00838088,0.02415611,0.54807380,0.73338258,1.00243811
51660,0,USVirginiaHarrisonburg,Virginia,Harrisonburg,2021-01-20 16:24:35.092111,2020-03-14 00:00:00.000000,0.00521582,0.01956176,0.05421505,2,10,28,1,5,15,0.00278681,0.00976521,0.02850894,0.54809990,0.73339445,1.00247298
51660,0,USVirginiaHarrisonburg,Virginia,Harrisonburg,2021-01-20 16:24:35.092111,2020-03-15 00:00:00.000000,0.00600478,0.02249274,0.06400246,3,11,33,1,5,17,0.00320380,0.01127061,0.03366751,0.54815338,0.73575464,1.00258695
51660,0,USVirginiaHarrisonburg,Virginia,Harrisonburg,2021-01-20 16:24:35.092111,2020-03-16 00:00:00.000000,0.01127404,0.03069355,0.07376553,5,16,39,1,6,20,0.00368592,0.01282526,0.03952860,0.54826006,0.74200075,1.00295787
51660,0,USVirginiaHarrisonburg,Virginia,Harrisonburg,2021-01-20 16:24:35.092111,2020-03-17 00:00:00.000000,0.01581868,0.03796245,0.08705152,8,20,46,3,8,23,0.00599884,0.01573633,0.04407609,0.54846195,0.74402230,1.00414989
51660,0,USVirginiaHarrisonburg,Virginia,Harrisonburg,2021-01-20 16:24:35.092111,2020-03-18 00:00:00.000000,0.01908321,0.04521727,0.10496545,10,23,55,4,10,26,0.00912763,0.02068666,0.04945422,0.54880777,0.74373532,1.00783051
51660,0,USVirginiaHarrisonburg,Virginia,Harrisonburg,2021-01-20 16:24:35.092111,2020-03-19 00:00:00.000000,0.02411130,0.05405484,0.12514480,12,28,66,6,13,29,0.01162915,0.02558320,0.05547695,0.55401660,0.74733305,1.01793795
51660,0,USVirginiaHarrisonburg,Virginia,Harrisonburg,2021-01-20 16:24:35.092111,2020-03-20 00:00:00.000000,0.02947944,0.06492532,0.14237640,15,34,75,7,15,35,0.01483391,0.03016513,0.06655290,0.57869546,0.75864001,1.03325286
51660,0,USVirginiaHarrisonburg,Virginia,Harrisonburg,2021-01-20 16:24:35.092111,2020-03-21 00:00:00.000000,0.03543487,0.07818165,0.16360473,18,41,86,9,18,40,0.01860718,0.03543748,0.07588176,0.55105489,0.75821432,1.01034161
51660,0,USVirginiaHarrisonburg,Virginia,Harrisonburg,2021-01-20 16:24:35.092111,2020-03-22 00:00:00.000000,0.04238802,0.09219902,0.19540575,22,48,103,11,22,45,0.02245369,0.04214950,0.08629950,0.54749561,0.76778526,1.01167633
