FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-09 00:00:00.000000,0.00130405,0.00841185,0.02834199,0,1,6,0,1,3,0.00071466,0.00465858,0.01549731,0.37137790,0.50507351,0.75123642
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-10 00:00:00.000000,0.00147596,0.00965796,0.03070511,0,2,6,0,1,3,0.00068939,0.00486319,0.01560906,0.37105661,0.50507351,0.75123634
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-11 00:00:00.000000,0.00165813,0.01094447,0.03329623,0,2,7,0,1,3,0.00075194,0.00505470,0.01612707,0.37041756,0.50505280,0.75123615
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-12 00:00:00.000000,0.00185653,0.01246331,0.03613789,0,2,8,0,1,3,0.00083479,0.00537774,0.01694069,0.36916930,0.50494355,0.75123565
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-13 00:00:00.000000,0.00207564,0.01385765,0.03926237,0,3,8,0,1,4,0.00093367,0.00596151,0.01817959,0.36681499,0.50468911,0.75123430
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-14 00:00:00.000000,0.00231924,0.01475023,0.04269806,0,3,9,0,1,4,0.00104699,0.00657543,0.02020139,0.36265458,0.50409903,0.75123061
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-15 00:00:00.000000,0.00259082,0.01570115,0.04647009,0,3,10,0,1,5,0.00117463,0.00726354,0.02240509,0.35608421,0.50274457,0.75122048
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-16 00:00:00.000000,0.00796889,0.02068807,0.05548175,1,4,12,0,1,5,0.00131735,0.00800210,0.02425778,0.34734880,0.49741036,0.75119249
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-17 00:00:00.000000,0.01102506,0.02473087,0.06167556,2,5,13,0,2,6,0.00286036,0.00971287,0.02668080,0.34618760,0.49366013,0.75091456
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-18 00:00:00.000000,0.01341567,0.03036219,0.06992814,3,6,15,0,2,6,0.00409688,0.01158765,0.02969081,0.32976881,0.48813654,0.74135702
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-19 00:00:00.000000,0.01608061,0.03675587,0.08169280,3,8,18,1,3,7,0.00520483,0.01425380,0.03293174,0.32343017,0.46353495,0.72588453
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-20 00:00:00.000000,0.01959116,0.04384131,0.09451686,4,9,21,1,3,8,0.00676593,0.01707745,0.03856827,0.30783617,0.43352464,0.70674677
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-21 00:00:00.000000,0.02362159,0.04892348,0.10744480,5,11,24,1,4,10,0.00852026,0.02037647,0.04491401,0.28032728,0.40226072,0.69346787
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-22 00:00:00.000000,0.02784708,0.05604781,0.11999180,6,12,27,2,5,12,0.01046709,0.02394573,0.05351431,0.26816029,0.38644338,0.66228646
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-23 00:00:00.000000,0.03354883,0.06470705,0.12904610,7,14,29,2,6,13,0.01246097,0.02779285,0.05930824,0.26797893,0.36364541,0.63928240
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-24 00:00:00.000000,0.03917234,0.07169351,0.13768561,8,16,31,3,7,14,0.01509446,0.03218836,0.06567749,0.26689947,0.35370591,0.62429506
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-25 00:00:00.000000,0.04534908,0.07852094,0.15087868,10,17,33,4,8,16,0.01786531,0.03661528,0.07175150,0.24514604,0.34981762,0.59595655
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-26 00:00:00.000000,0.05110197,0.08825830,0.16362225,11,19,36,4,9,17,0.02042114,0.04118969,0.07801762,0.22789263,0.33229752,0.57429459
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-27 00:00:00.000000,0.05754821,0.09707417,0.18114513,12,21,40,5,10,18,0.02314962,0.04514763,0.08393599,0.21160329,0.32068519,0.50986305
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-28 00:00:00.000000,0.06187923,0.10412850,0.19353626,13,23,43,5,11,20,0.02602816,0.05031141,0.08953776,0.20221059,0.30141301,0.49071375
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-29 00:00:00.000000,0.06748212,0.11285319,0.20594196,15,25,46,6,12,22,0.02903793,0.05510386,0.09894635,0.19512316,0.28389810,0.45019079
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-30 00:00:00.000000,0.07644614,0.12181894,0.22105042,17,27,49,7,13,24,0.03117294,0.05971355,0.10737875,0.19356135,0.27517479,0.41343731
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-03-31 00:00:00.000000,0.08518288,0.12922257,0.23577188,19,29,53,7,14,25,0.03331158,0.06420303,0.11385531,0.18159552,0.26748169,0.38581208
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-04-01 00:00:00.000000,0.09163896,0.13793327,0.25045641,20,31,56,8,15,27,0.03628447,0.06871502,0.12189150,0.17747185,0.25707374,0.37568746
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-04-02 00:00:00.000000,0.09751840,0.14459153,0.26514046,21,32,59,9,16,29,0.04109486,0.07379896,0.13013823,0.16967771,0.25148610,0.37352576
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-04-03 00:00:00.000000,0.10316783,0.15144115,0.27921866,23,34,62,10,17,31,0.04627593,0.07832942,0.13941115,0.16364002,0.24798431,0.36165956
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-04-04 00:00:00.000000,0.10871655,0.15733067,0.29312924,24,35,66,11,18,33,0.04913813,0.08358634,0.14848065,0.14997782,0.23832217,0.33905234
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-04-05 00:00:00.000000,0.11423736,0.16272460,0.31041245,25,36,69,11,19,35,0.05258408,0.08630164,0.15719239,0.14866968,0.23255047,0.33843352
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-04-06 00:00:00.000000,0.12419470,0.16778232,0.32789259,27,37,73,12,20,37,0.05508405,0.09106168,0.16553002,0.14233542,0.22731943,0.32177115
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-04-07 00:00:00.000000,0.12947373,0.17855447,0.34531871,29,40,77,12,21,39,0.05742003,0.09510794,0.17482184,0.14365498,0.22162563,0.31274971
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-04-08 00:00:00.000000,0.13270846,0.18516160,0.35441546,29,41,79,13,22,41,0.06001665,0.09965492,0.18535409,0.14512673,0.21788634,0.29799951
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-04-09 00:00:00.000000,0.13383295,0.19515948,0.36050310,30,43,81,14,23,44,0.06278971,0.10432707,0.19569840,0.13232156,0.21557795,0.29081053
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-04-10 00:00:00.000000,0.13839260,0.20271085,0.36621102,31,45,82,14,24,45,0.06568193,0.10873800,0.20235955,0.12190202,0.21074381,0.28618186
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-04-11 00:00:00.000000,0.14086634,0.20963755,0.37151950,31,47,83,15,25,46,0.06865334,0.11201006,0.20650187,0.11870210,0.20554324,0.27931367
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-04-12 00:00:00.000000,0.13968591,0.21228572,0.37631737,31,47,84,16,26,47,0.07224534,0.11618388,0.21028154,0.11791598,0.19916954,0.26858157
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-04-13 00:00:00.000000,0.15149789,0.21704063,0.38628713,34,48,87,16,26,48,0.07467631,0.11956606,0.21374761,0.11777056,0.19629508,0.26896819
51670,0,USVirginiaHopewell,Virginia,Hopewell,2021-09-01 23:03:25.425371,2020-04-14 00:00:00.000000,0.15666496,0.22483870,0.40108712,35,50,90,17,27,49,0.07750928,0.12332030,0.21803242,0.11798748,0.19641819,0.27897005
